DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-09,0.06,0.06,-0.06,0.0,0.0,0.03,15.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,8.474269999999999,8.12601
2012-10-09,0.0,0.03,-0.16,0.03,,0.06,15.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,20,8.86359,8.45585
2013-01-08,0.06,0.06,0.15,0.0,0.0,0.03,14.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,8.865210000000001,8.84573
2013-04-08,0.1,0.11,0.02,0.01,10.0,0.04,15.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,8.20105,8.20105
2013-07-08,0.07,0.07,-0.18,0.0,0.0,0.04,12.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,7.7679100000000005,7.7581
2013-10-08,0.06,0.11,-0.09,0.05,83.33,0.03,12.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,20,7.81717,7.9747
2014-01-09,0.06,0.04,-2.23,-0.02,-33.33,0.02,13.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,10.55702,9.98423
2014-04-08,0.05,0.09,-0.25,0.04,80.0,0.02,12.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,12.40663,12.872010000000001
2014-07-08,0.13,0.18,-0.06,0.05,38.46,0.02,12.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,14.736979999999999,15.57059
2014-10-08,0.21,0.31,-0.19,0.1,47.62,0.03,12.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,20,15.97685,15.3008
2015-01-12,0.26,0.33,-0.22,0.07,26.92,0.04,12.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,16.10545,15.73693
2015-04-08,0.26,0.28,-0.14,0.02,7.69,0.03,10.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,13.640070000000001,13.181070000000002
