DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-30,0.1,0.17,0.0,0.07,70.0,0.03,5.0,2013.0,1.0,2012.0,2.0,20120630.0,-11.0,20,15.92,16.77
2012-10-25,0.15,0.21,0.0,0.06,40.0,0.02,5.0,2013.0,2.0,2012.0,3.0,20120930.0,-10.0,20,16.35,18.39
2013-01-30,0.16,0.19,0.0,0.03,18.75,0.01,5.0,2013.0,3.0,2012.0,4.0,20121231.0,-9.0,19,18.68,17.73
2013-05-15,0.18,0.19,-0.01,0.01,5.56,,1.0,2013.0,4.0,2013.0,1.0,20130331.0,-8.0,20,21.33,21.48
2013-07-31,0.16,0.17,0.0,0.01,6.25,,1.0,2014.0,1.0,2013.0,2.0,20130630.0,-7.0,20,25.77,25.75
2013-11-06,0.21,0.2,-0.07,-0.01,-4.76,,1.0,2014.0,2.0,2013.0,3.0,20130930.0,-6.0,19,32.63,31.36
2014-01-29,0.18,0.25,-0.06,0.07,38.89,,1.0,2014.0,3.0,2013.0,4.0,20131231.0,-5.0,19,32.15,36.5
2014-05-14,0.2,0.24,-0.62,0.04,23.08,0.01,2.0,2014.0,4.0,2014.0,1.0,20140331.0,-4.0,20,27.14,21.44
2014-08-04,0.17,0.09,-0.19,-0.08,-47.06,0.01,2.0,2015.0,1.0,2014.0,2.0,20140630.0,-3.0,20,18.6,17.97
2014-11-03,0.17,0.18,-0.2,0.01,5.88,0.02,2.0,2015.0,2.0,2014.0,3.0,20140930.0,-2.0,19,18.69,17.84
2015-02-04,0.24,0.16,-0.1,-0.08,-33.33,0.0,2.0,2015.0,3.0,2014.0,4.0,20141231.0,-1.0,19,19.28,18.46
2015-05-21,0.19,0.13,-0.21,-0.06,-31.58,,1.0,2015.0,4.0,2015.0,1.0,20150331.0,0.0,20,16.58,17.0
