DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-24,0.33,0.32,0.0,-0.01,-3.03,0.01,8.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,12.808,13.144589999999999
2012-10-23,0.31,0.32,0.0,0.01,3.23,0.01,9.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,20,12.86642,13.198170000000001
2013-02-05,0.33,0.35,0.0,0.02,6.06,0.01,8.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,14.41441,15.121970000000001
2013-04-23,0.32,0.31,0.0,-0.01,-3.12,0.01,6.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,16.26033,16.08618
2013-07-23,0.32,0.31,0.0,-0.01,-3.12,0.01,5.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,15.327110000000001,14.70587
2013-10-22,0.32,0.32,0.0,0.0,0.0,0.01,5.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,20,14.635929999999998,14.32593
2014-02-04,0.32,0.33,0.0,0.01,3.13,0.01,5.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,15.211229999999999,15.48693
2014-04-29,0.32,0.3,0.0,-0.02,-6.25,0.01,6.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,16.12379,16.13341
2014-07-29,0.32,0.31,0.0,-0.01,-3.12,0.01,6.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,17.487370000000002,17.43879
2014-10-28,0.33,0.32,0.0,-0.01,-3.03,0.01,5.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,20,19.008029999999998,18.86068
2015-02-03,0.33,0.33,0.0,0.0,0.0,0.01,4.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,24.49707,24.4475
2015-05-01,0.3,0.29,0.0,-0.01,-3.33,0.0,5.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,28.51,28.52
