DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-08-01,0.14,0.11,-0.22,-0.03,-21.43,0.01,2.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,31.399620000000002,31.83069
2012-11-08,0.14,0.31,0.0,0.17,121.43,0.01,3.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,19,28.59765,28.734809999999996
2013-02-19,0.14,0.2,0.0,0.06,42.86,0.05,3.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,34.636070000000004,34.75415
2013-05-09,0.07,0.05,0.07,-0.02,-28.57,0.04,2.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,33.61665,33.330009999999994
2013-08-08,0.09,0.15,-0.04,0.06,66.67,0.04,2.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,42.39244,41.62852
2013-11-07,0.1,0.13,-0.03,0.03,30.0,0.01,2.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,19,35.80303,36.23008
2014-02-20,0.17,0.31,0.15,0.14,82.35,0.08,2.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,38.35683,41.57809
2014-05-08,0.12,-0.02,0.7,-0.14,-116.67,,1.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,38.07845,37.77024
2014-08-07,0.1,0.19,0.0,0.09,90.0,0.11,2.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,39.09148,39.1114
2014-11-05,0.08,0.21,0.0,0.13,162.5,0.01,2.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,19,39.19109,40.6175
2015-03-09,0.06,0.14,0.0,0.08,133.33,0.06,2.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,20,39.71004,38.6314
2015-05-07,0.23,0.51,0.0,0.28,121.74,0.02,2.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,40.07,42.33
