DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-26,0.75,0.765,-0.3,0.015,2.0,0.02,12.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,16.92117,17.14601
2012-10-25,1.045,1.045,0.09,0.0,0.0,0.07,11.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,20,18.6563,18.71495
2013-01-24,0.365,0.35,-0.045,-0.015,-4.11,0.04,11.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,22.67398,22.78151
2013-04-25,0.265,0.305,-0.05,0.04,15.09,0.03,8.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,29.44343,29.648709999999998
2013-07-25,0.74,0.735,0.0,-0.005,-0.68,0.025,7.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,29.50696,30.58714
2013-10-24,1.05,1.105,0.935,0.055,5.24,0.05,10.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,20,34.16687,34.39734
2014-01-23,0.52,0.55,0.005,0.03,5.77,0.05,8.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,39.99429,39.15852
2014-04-25,0.6,0.64,0.035,0.04,6.67,0.045,9.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,46.0769,46.047309999999996
2014-07-24,1.09,1.13,0.06,0.04,3.67,0.03,9.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,44.53111,45.26291
2014-10-23,1.41,1.47,-0.02,0.06,4.26,0.02,8.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,20,49.53358,49.7815
2015-01-22,0.91,0.94,0.17,0.03,3.3,0.06,8.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,67.52369,68.22934000000001
2015-04-23,1.11,1.12,0.0,0.01,0.9,0.06,10.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,66.14367,68.09788
