DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-25,1.15,1.13,0.02,-0.02,-1.74,0.01,13.0,2013.0,1.0,2012.0,2.0,20120630.0,-11.0,20,74.58797,74.24586
2012-10-23,1.06,1.05,-0.02,-0.01,-0.94,0.02,13.0,2013.0,2.0,2012.0,3.0,20120930.0,-10.0,20,80.09461999999999,81.49812
2013-01-24,1.08,1.04,0.01,-0.04,-3.7,0.01,14.0,2013.0,3.0,2012.0,4.0,20121231.0,-9.0,19,89.44197,89.39403
2013-05-02,1.13,1.14,-0.01,0.01,0.88,0.0,12.0,2013.0,4.0,2013.0,1.0,20130331.0,-8.0,20,92.47925,93.22054
2013-07-25,1.15,1.14,0.0,-0.01,-0.87,0.02,13.0,2014.0,1.0,2013.0,2.0,20130630.0,-7.0,20,98.78336,97.042
2013-10-23,1.23,1.25,0.02,0.02,1.63,0.02,13.0,2014.0,2.0,2013.0,3.0,20130930.0,-6.0,20,103.98952,104.04783
2014-01-30,1.18,1.18,-0.08,0.0,0.0,0.01,13.0,2014.0,3.0,2013.0,4.0,20131231.0,-5.0,19,102.92159000000001,100.77412
2014-05-01,1.2,1.15,0.02,-0.05,-4.17,0.03,13.0,2014.0,4.0,2014.0,1.0,20140331.0,-4.0,20,100.3526,103.64703
2014-07-24,1.18,1.18,0.0,0.0,0.0,0.02,13.0,2015.0,1.0,2014.0,2.0,20140630.0,-3.0,20,107.4007,108.88869
2014-10-23,1.29,1.3,0.0,0.01,0.78,0.02,12.0,2015.0,2.0,2014.0,3.0,20140930.0,-2.0,20,108.01391000000001,108.9647
2015-02-03,1.23,1.23,0.0,0.0,0.0,0.01,12.0,2015.0,3.0,2014.0,4.0,20141231.0,-1.0,19,112.49773,111.56223
2015-04-30,1.14,1.15,0.0,0.01,0.88,0.01,12.0,2015.0,4.0,2015.0,1.0,20150331.0,0.0,20,101.28,102.07
