DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-25,0.19,0.2,-0.07,0.01,5.26,0.0,3.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,13.17,12.35
2012-10-24,0.17,0.16,-0.01,-0.01,-5.88,0.01,4.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,20,13.03,13.9
2013-02-06,0.25,0.22,-0.09,-0.03,-12.0,0.01,3.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,16.52,16.42
2013-04-24,0.21,0.17,-0.3,-0.04,-19.05,0.01,2.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,16.64,16.38
2013-08-07,0.17,0.41,-0.78,0.24,141.18,0.04,2.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,15.62,16.61
2013-10-30,0.28,0.36,-0.23,0.08,28.57,0.01,2.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,20,16.49,17.85
2014-02-19,0.42,0.49,-0.51,0.07,16.67,,1.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,27.94,31.34
2014-05-06,0.41,0.45,-0.17,0.04,9.76,,1.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,25.72,28.6
2014-07-31,0.64,0.63,-0.37,-0.01,-1.56,,1.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,34.17,29.3
2014-10-29,0.65,0.75,-0.38,0.1,15.38,0.02,3.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,20,27.98,29.26
2015-02-18,0.57,0.71,0.58,0.14,24.56,0.02,2.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,27.81,29.1
2015-04-29,0.39,0.38,-0.25,-0.01,-2.56,0.03,2.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,34.68,33.67
