DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-19,0.24,0.24,0.0,0.0,0.0,0.01,16.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,12.22862,11.64316
2012-10-18,0.25,0.26,0.0,0.01,4.0,0.01,16.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,20,11.90582,12.228110000000001
2013-01-17,0.26,0.26,0.0,0.0,0.0,0.01,16.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,13.458420000000002,13.0769
2013-04-18,0.25,0.27,0.0,0.02,8.0,0.01,14.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,13.409870000000002,13.3715
2013-07-18,0.26,0.28,0.0,0.02,7.69,0.01,13.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,16.17951,16.044520000000002
2013-10-17,0.26,0.27,0.0,0.01,3.85,0.01,10.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,20,15.833060000000001,15.78461
2014-01-16,0.28,0.28,0.0,0.0,0.0,0.02,12.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,16.665670000000002,16.753339999999998
2014-04-17,0.25,0.27,0.0,0.02,8.0,0.01,13.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,17.031470000000002,17.44281
2014-07-17,0.28,0.28,0.0,0.0,0.0,0.01,12.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,17.65233,17.64248
2014-10-16,0.3,0.31,0.0,0.01,3.33,0.01,12.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,20,16.74098,16.76077
2015-01-22,0.3,0.31,0.0,0.01,3.33,0.01,12.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,17.61514,17.21728
2015-04-16,0.29,0.3,0.0,0.01,3.45,0.01,11.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,18.95,18.58
