DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-26,0.41,0.39,-0.03,-0.02,-4.88,0.03,12.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,9.99,10.06
2012-10-25,0.21,0.21,-0.05,0.0,0.0,0.04,15.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,20,11.22,10.44
2013-02-19,-0.19,-0.27,-0.22,-0.08,-42.11,0.05,15.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,16.0,14.87
2013-04-24,-0.25,-0.22,0.0,0.03,12.0,0.03,12.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,12.55,12.6
2013-07-25,-0.09,-0.15,-0.17,-0.06,-66.67,0.03,12.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,13.78,12.22
2013-10-24,-0.1,-0.12,-0.05,-0.02,-20.0,0.04,13.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,20,12.97,13.79
2014-02-19,-0.26,-0.18,0.0,0.08,30.77,0.07,11.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,20.0,23.1
2014-04-24,-0.08,-0.05,0.0,0.03,37.5,0.04,9.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,27.93,26.03
2014-07-24,0.1,0.13,-0.07,0.03,30.0,0.02,11.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,27.8,25.31
2014-10-23,0.26,0.24,0.0,-0.02,-7.69,0.03,12.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,20,14.85,13.91
2015-02-19,0.2,0.11,-0.56,-0.09,-45.0,0.04,11.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,7.39,7.1
2015-04-23,-0.77,-0.81,0.0,-0.04,-5.19,0.19,14.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,8.08,8.7
