DATE,EPS_MEAN_EST,EPS_ACT,EPS_ACT_ADJ,EPS_AMT_DIFF_SURP,EPS_PCT_DIFF_SURP,EPS_STD_EST,EPS_CNT_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,PER_END_DATE,PER_CODE,ANNOUCE_HOUR,BEFORE_CLOSE,AFTER_CLOSE
2012-07-18,0.14,0.14,0.03,0.0,0.0,0.02,8.0,2012.0,2.0,2012.0,2.0,20120630.0,-11.0,20,8.396410000000001,8.23728
2012-10-17,0.17,0.19,0.0,0.02,11.76,0.01,9.0,2012.0,3.0,2012.0,3.0,20120930.0,-10.0,20,9.15438,9.15438
2013-01-16,0.17,0.14,0.01,-0.03,-17.65,0.01,9.0,2012.0,4.0,2012.0,4.0,20121231.0,-9.0,19,8.714830000000001,8.61164
2013-04-16,0.17,0.13,0.02,-0.04,-23.53,0.01,9.0,2013.0,1.0,2013.0,1.0,20130331.0,-8.0,20,9.04442,9.006689999999999
2013-07-17,0.19,0.18,-0.07,-0.01,-5.26,0.01,6.0,2013.0,2.0,2013.0,2.0,20130630.0,-7.0,20,10.7601,10.7601
2013-10-17,0.19,0.2,0.02,0.01,5.26,0.01,6.0,2013.0,3.0,2013.0,3.0,20130930.0,-6.0,20,11.04526,10.96895
2014-01-15,0.19,0.2,0.0,0.01,5.26,0.01,6.0,2013.0,4.0,2013.0,4.0,20131231.0,-5.0,19,11.64205,12.87055
2014-04-15,0.2,0.2,0.02,0.0,0.0,0.01,6.0,2014.0,1.0,2014.0,1.0,20140331.0,-4.0,20,12.01155,12.17583
2014-07-15,0.21,0.25,0.02,0.04,19.05,0.01,6.0,2014.0,2.0,2014.0,2.0,20140630.0,-3.0,20,12.90777,12.586780000000001
2014-10-15,0.21,0.2,0.02,-0.01,-4.76,0.01,6.0,2014.0,3.0,2014.0,3.0,20140930.0,-2.0,20,11.386239999999999,11.33729
2015-01-21,0.22,0.14,-0.01,-0.08,-36.36,0.01,6.0,2014.0,4.0,2014.0,4.0,20141231.0,-1.0,19,12.18469,11.48532
2015-04-14,0.18,0.21,0.02,0.03,16.67,0.0,5.0,2015.0,1.0,2015.0,1.0,20150331.0,0.0,20,12.21172,12.588989999999999
