Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-22,,0.36,BMO,26.78,26.32,27.13,26.59
2015-01-29,,0.59,BMO,27.28477,26.47847,26.27938,25.811529999999998
2014-10-22,0.36,0.37,BMO,26.72608,26.974,27.142590000000002,27.46985
2014-07-23,0.33,0.35,BMO,27.983359999999998,28.17103,28.398220000000002,28.5365
2014-04-23,,0.27,BMO,26.484,26.316809999999997,25.48089,25.08751
2014-01-29,0.52,0.5,BMO,24.83921,24.86861,24.15331,24.123920000000002
2013-10-22,0.32,0.37,BMO,24.47663,24.63278,23.46165,23.10055
2013-07-24,0.35,0.34,BMO,24.5196,24.62655,26.00711,26.00711
2013-04-24,,0.4,BMO,21.15427,21.64803,21.80294,21.90943
2013-01-29,,0.52,BMO,24.45569,24.3976,23.410079999999997,23.81671
2012-10-24,,0.42,BMO,24.2427,23.89416,23.681160000000002,23.37135
2012-07-24,,0.39,BMO,24.25238,24.01034,24.53315,24.35888
2012-04-19,0.37,0.36,BMO,28.3961,28.21215,27.20526,27.01163
2012-01-24,,,BMO,22.50969,22.69364,24.33951,24.872
2011-10-18,,,BMO,22.354789999999998,21.95784,23.226129999999998,22.96473
2011-07-20,,,BMO,25.79175,26.508190000000003,26.498509999999996,26.469459999999998
2011-04-20,,,BMO,25.704620000000002,25.8692,27.06972,27.54412
2011-01-25,,,BMO,23.21645,23.07122,23.61339,23.94257
2010-10-19,,,,20.1377,20.16675,20.51529,20.67987
2010-07-21,,,,19.59554,18.85973,19.23732,19.566489999999998
2010-04-21,,,BMO,18.63706,18.79196,19.21795,19.208270000000002
2010-01-26,0.33,0.3,BMO,16.22634,16.40061,17.04928,17.020229999999998
2009-10-22,0.23,0.21,BMO,17.15577,16.952460000000002,16.77819,16.9331
2009-07-23,0.18,0.16,BMO,14.13512,13.951170000000001,14.522379999999998,14.473970000000001
2009-04-23,,0.16,BMO,12.07294,12.29562,11.78249,11.579180000000001
2009-01-27,0.31,0.23,BMO,10.80465,10.64007,10.34962,11.23064
