Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.22,BMO,36.625370000000004,35.65971,34.24606,33.37
2015-02-26,,0.36,BMO,31.07034,32.06586,33.569109999999995,32.3247
2014-11-04,0.25,0.28,BMO,38.78131,38.37703,34.42297,34.32437
2014-08-05,-0.07,0.17,BMO,41.55579,41.16274,42.98062,42.61704
2014-05-06,0.2,0.14,BMO,41.70843,41.09147,43.24593,43.668459999999996
2014-02-25,0.18,0.15,BMO,35.256890000000006,35.608090000000004,37.30558,38.35918
2013-11-05,0.34,0.23,BMO,28.00845,28.35965,30.154690000000002,30.701
2013-08-06,0.31,0.09,BMO,31.21805,31.393659999999997,29.00352,27.823090000000004
2013-05-02,,0.03,BMO,25.77441,25.4232,26.3695,27.10117
2013-02-26,,0.02,BMO,23.16965,22.44773,23.94035,24.11595
2012-11-01,,-0.11,BMO,19.7942,19.491770000000002,20.77952,20.56489
2012-08-02,-0.48,-0.4,BMO,14.40908,14.35055,14.70175,15.2188
2012-05-03,-0.43,-0.52,BMO,13.4823,13.18963,13.17012,12.389660000000001
2012-02-23,-0.14,-0.46,BMO,11.79457,11.81408,14.08715,14.057879999999999
2011-11-03,-0.48,-0.43,BMO,8.955680000000001,9.297130000000001,11.21899,11.36532
2011-08-04,-0.42,-0.4,BMO,17.18944,16.89677,13.511560000000001,11.91164
2011-05-05,-0.45,-0.54,BMO,21.33559,20.994139999999998,20.71123,20.33076
2011-02-24,-0.51,-0.34,BMO,22.603820000000002,22.584310000000002,21.68679,21.78435
2010-11-04,-0.25,-0.27,BMO,24.87689,25.77441,23.5989,22.23311
2010-08-05,-0.33,,BMO,26.92557,27.08166,25.3354,23.7745
2010-05-06,-0.02,-0.05,BMO,27.94016,27.208479999999998,25.48174,24.29155
2010-02-25,-0.27,0.05,BMO,21.10145,21.39412,22.48675,22.19409
2009-11-05,0.38,0.13,BMO,20.340510000000002,20.45758,21.481920000000002,21.1795
2009-08-06,0.39,0.31,BMO,17.26749,17.08213,17.78453,17.247970000000002
2009-05-07,0.53,0.42,BMO,21.55021,22.8282,19.52104,19.033260000000002
2009-02-26,0.85,0.59,BMO,18.311339999999998,17.5504,17.443089999999998,17.65771
2008-11-06,0.56,0.65,BMO,22.789179999999998,22.2136,20.04784,19.76493
2008-08-06,0.35,0.63,BMO,54.11455,54.06576999999999,48.4953,47.451440000000005
2008-05-07,0.78,0.68,BMO,65.56766999999999,67.05053000000001,67.45051,71.12839
2008-02-28,0.95,0.65,BMO,66.62128,68.4846,70.26013,67.94804
2007-11-02,0.82,0.37,BMO,82.1425,80.25966,81.2645,82.42541999999999
