Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-23,,0.57,AMC,91.97916,93.27887,93.82874,90.9194
2015-01-29,0.43,0.67,AMC,78.67365,78.18388,71.31705,76.37472
2014-11-06,1.1,0.92,AMC,61.09474,61.70429,70.28793,70.67764
2014-07-24,0.65,0.69,AMC,62.97235,62.73261,58.44721,58.0876
2014-04-24,0.64,0.61,AMC,54.27248,54.172630000000005,57.32812,58.17691
2014-01-22,,0.6,AMC,59.841809999999995,59.89171999999999,57.60585,56.597680000000004
2013-10-30,0.85,0.8,AMC,57.736000000000004,56.59845,57.15725,56.568509999999996
2013-07-30,0.67,0.63,AMC,49.663509999999995,50.00265,49.833079999999995,51.77813
2013-04-24,,0.67,AMC,43.87041,43.87041,44.14959,44.04988
2013-01-30,,0.73,AMC,44.22943,44.289229999999996,44.9171,45.11642
2012-11-01,,0.62,AMC,46.42021,47.67535,43.30229,43.56128
2012-07-25,,0.59,AMC,43.003809999999994,43.68088,39.02106,43.003809999999994
2012-04-25,,0.55,AMC,41.47034,42.84373,43.10248,44.10764
2012-01-26,0.81,0.62,AMC,39.0021,39.022,35.81907,36.306470000000004
2011-11-02,0.64,0.61,AMC,25.76897,27.02163,33.79195,33.78201
2011-08-03,0.58,0.54,AMC,28.83662,29.184279999999998,27.81348,26.40294
2011-05-04,0.39,0.43,AMC,28.93566,28.886029999999998,28.389709999999997,28.290440000000004
2011-01-26,0.42,0.41,AMC,23.82478,24.56869,25.77877,25.44154
2010-11-03,,0.41,AMC,24.22061,24.4089,25.21163,25.25127
2010-07-28,0.4,0.37,AMC,24.24948,23.32861,24.15046,23.61576
2010-04-28,0.28,0.37,AMC,24.69315,23.96106,21.83405,20.83485
2010-01-27,0.37,0.35,AMC,22.65383,22.4265,21.952070000000003,21.67533
2009-11-04,0.35,0.41,AMC,20.052039999999998,19.26221,18.324270000000002,18.41313
2009-07-22,0.37,0.36,AMC,15.21981,15.594629999999999,17.83371,17.55752
2009-04-22,0.37,0.31,AMC,14.906239999999999,14.96535,15.044170000000001,15.773229999999998
2009-01-28,0.25,0.32,,15.00019,15.767420000000001,12.89525,12.49197
2008-11-05,0.42,0.36,AMC,14.74324,13.94764,13.672620000000002,14.7236
2008-07-23,0.41,0.38,,21.296689999999998,22.59216,21.65,22.209410000000002
2008-04-28,0.44,0.43,AMC,26.18114,25.91638,22.80798,24.28864
2008-01-22,,0.39,AMC,22.14312,21.61404,21.57485,22.848570000000002
2008-01-14,,0.39,,27.91405,27.767090000000003,22.44686,23.21109
2007-10-30,0.48,0.41,AMC,33.57862,33.3436,37.133309999999994,36.58493
2007-07-25,0.42,0.36,AMC,36.97675,37.338879999999996,36.86908,37.65208
2007-04-25,0.37,0.46,,36.00779,35.84149,35.76324,35.32304
2007-04-16,,,,39.333690000000004,39.66628,36.27191,36.17408
2007-01-24,0.48,0.58,AMC,40.125609999999995,40.0865,39.94962,39.43143
2006-11-01,0.6,0.57,AMC,35.79657,35.63043,39.001940000000005,38.23969
2006-07-26,0.55,0.54,AMC,34.076840000000004,33.363859999999995,32.47506,32.87551
2006-04-26,0.5,0.52,AMC,39.67214,39.43786,36.43121,36.226209999999995
2006-01-25,0.52,0.5,AMC,44.29878,44.103629999999995,43.420609999999996,43.74261
2005-11-02,0.53,0.49,AMC,40.50496,41.12916,43.40165,43.17733
2005-07-27,0.53,0.44,AMC,35.99123,36.06922,36.702870000000004,36.683370000000004
2005-04-27,0.45,0.39,AMC,32.20002,32.394870000000004,31.76159,32.03439
2005-01-26,,0.36,AMC,33.583490000000005,33.78797,33.5348,33.28164
2004-11-10,,,AMC,30.575740000000003,31.0623,30.32273,30.78009
2004-08-04,,,AMC,27.83036,27.723390000000002,26.75099,26.64402
2004-07-28,,,AMC,26.01195,26.1092,27.65533,27.791459999999997
2004-05-05,,,AMC,33.12993,33.51867,33.18824,33.03275
2004-04-29,,,AMC,35.287409999999994,35.18051,32.77036,33.1105
2004-02-04,,,AMC,38.860890000000005,39.21712,39.95547,40.026720000000005
2004-01-26,,,AMC,35.369890000000005,35.62249,38.14845,38.057759999999995
2003-11-04,,,AMC,41.42292,36.56716,36.21754,35.563629999999996
2003-11-03,,,AMC,41.293440000000004,41.42292,36.56716,36.21754
