Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.86,AMC,78.62,77.48,78.89,79.2
2015-02-03,,0.89,AMC,73.44,74.49,75.8,77.12
2014-10-28,0.86,0.84,AMC,66.12,67.26,67.69,68.57
2014-07-29,,0.81,AMC,62.35,62.36,62.55,61.67
2014-04-29,0.82,0.74,AMC,56.79,57.5,60.78,60.91
2014-02-05,0.79,0.81,AMC,55.52,55.73,54.85,55.23
2013-10-29,1.56,1.51,AMC,53.33,53.32,52.595,52.365
2013-07-30,1.5,1.44,AMC,46.2,46.255,48.12,48.44
2013-04-30,,1.34,AMC,45.42,45.555,43.465,43.15
2013-02-05,,1.39,AMC,40.045,40.405,40.16,39.98
2012-07-30,1.28,1.26,AMC,36.19,36.125,35.065,34.825
2012-05-01,1.2,1.15,AMC,35.145,35.375,34.915,34.535
2012-02-02,,1.27,AMC,31.925,31.555,32.94,32.605
2011-11-01,1.16,1.14,AMC,29.435,28.565,28.38,29.145
2011-07-26,1.13,1.08,AMC,30.895,30.755,30.725,30.7
2011-04-27,1.02,1.04,AMC,32.185,32.195,30.735,30.655
2011-02-03,1.06,1.07,AMC,31.255,31.155,30.135,30.235
2010-10-26,1.04,0.99,AMC,27.575,27.725,27.42,27.07
2010-07-27,1.0,0.96,AMC,23.815,23.815,24.44,24.61
2010-04-29,0.95,0.96,AMC,27.015,27.345,25.565,26.06
2010-02-02,,0.94,AMC,22.9,23.2,23.495,22.85
2009-10-27,,0.92,AMC,24.395,24.54,23.07,23.315
2009-07-29,0.9,0.88,AMC,24.765,25.22,23.925,23.705
2009-04-30,0.88,0.85,AMC,18.52,18.66,19.795,19.685
2009-02-03,0.85,0.86,AMC,15.91,16.47,17.01,17.585
2008-10-28,0.81,0.83,AMC,14.475,16.76,15.24,16.065
2008-07-29,0.83,0.79,AMC,23.135,24.085,24.815,23.91
2008-04-30,0.78,0.76,AMC,25.68,25.275,26.16,26.715
2008-02-06,0.69,0.71,AMC,25.05,24.795,25.61,25.4
2007-10-24,0.72,0.71,AMC,26.23,26.08,26.535,27.055
2007-07-25,0.68,0.71,AMC,27.35,27.345,25.425,24.77
2007-04-25,0.63,0.67,AMC,27.525,27.425,26.67,26.855
2007-01-31,,0.64,,25.945,26.3,26.005,26.905
2006-10-24,0.63,0.62,AMC,24.92,24.805,24.05,24.12
2006-07-25,0.63,0.6,AMC,21.435,21.36,22.15,21.6
2006-04-25,0.64,0.59,,20.915,20.97,22.615,22.8
2006-01-30,,0.56,AMC,22.565,22.395,21.99,21.99
2005-10-20,0.58,0.55,AMC,22.83,22.675,21.22,21.295
2005-07-21,0.59,0.54,AMC,22.5,22.23,21.8,21.375
2005-04-21,0.58,0.52,AMC,19.9,20.125,20.905,21.13
2005-01-27,,,AMC,19.77,19.78,19.235,19.125
2004-10-21,,,AMC,17.345,17.7,17.05,17.155
2004-07-21,,,AMC,18.43,17.895,17.25,16.985
2004-04-21,,,,17.31,17.53,20.425,19.46
2004-01-27,,,AMC,19.39,19.395,18.405,18.6
2003-10-21,,,AMC,17.925,17.99,17.34,17.24
2003-07-22,,,AMC,18.44,18.805,19.45,19.175
2003-04-22,,,AMC,16.95,16.84,15.905,14.87
2002-10-21,,,AMC,15.22,16.01,14.645,14.92
2002-07-22,,,AMC,16.15,15.7,15.265,16.21
2002-04-22,,,AMC,21.455,21.15,21.4,21.8
2001-10-22,,,AMC,18.005,17.96,19.005,19.0
2001-07-23,,,,20.41667,19.98,19.32333,19.23333
2001-04-23,,,AMC,16.86,16.89,16.793329999999997,18.1
2001-01-22,,,AMC,15.541670000000002,15.541670000000002,17.39583,17.33333
2000-10-23,,,AMC,20.3125,19.27083,15.520829999999998,16.22917
2000-07-24,,,AMC,16.25,16.0,17.5,17.33333
2000-04-24,,,AMC,12.375,12.375,14.0,14.208329999999998
2000-01-24,,,AMC,11.89583,11.33854,11.89583,11.6875
1999-10-19,,,,8.25,9.58333,10.45833,9.9375
1999-07-19,,,AMC,11.125,10.75,10.29167,10.35417
1999-04-19,,,AMC,11.69444,11.66667,11.47222,11.77778
