Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-23,,1.05,BMO,99.92,98.92,96.41,97.94
2015-01-29,0.92,0.88,BMO,99.01385,98.27695,101.33411,98.07779000000001
2014-10-23,0.93,0.91,BMO,99.56815999999999,99.14156,99.8658,102.57426
2014-07-22,0.88,0.9,BMO,91.52204,91.18604,94.29903,93.96303
2014-04-24,1.0,0.91,BMO,83.82592,82.94012,86.82779000000001,85.72546
2014-01-31,0.78,0.77,BMO,76.22846,77.76675,75.33685,73.92593000000001
2013-10-24,0.91,0.8,BMO,79.37817,80.37357,78.38277,79.13419
2013-07-25,,0.84,BMO,69.56562,68.65245,72.32454,71.57652
2013-04-25,,0.85,BMO,78.22113,78.34688,77.14735,77.36018
2013-01-31,,0.68,BMO,66.16604,65.62678000000001,73.18613,72.27131
2012-10-25,,0.72,BMO,67.09248000000001,66.63235,60.89991,59.43325
2012-07-26,0.83,0.76,BMO,69.80131999999999,69.67721,67.49084,68.76065
2012-04-26,0.82,0.78,BMO,76.96828000000001,79.03281,82.32465,81.79186999999999
2012-01-26,0.52,0.51,BMO,67.0603,68.81381999999999,70.15029,70.16924
2011-10-27,0.78,0.77,BMO,67.81175999999999,67.83064,68.71843,69.32288
2011-07-28,0.72,0.69,BMO,64.79205999999999,63.51204,67.54037,67.1733
2011-04-28,0.76,0.71,BMO,57.77591999999999,58.113409999999995,61.075790000000005,62.6976
2011-01-27,0.57,0.56,BMO,56.6508,56.00694,55.624359999999996,54.411269999999995
2010-10-28,,0.58,BMO,53.08875,53.2561,54.604240000000004,54.68792
2010-07-29,,0.62,BMO,50.51389,49.069320000000005,48.41185,49.208220000000004
2010-04-29,,0.6,BMO,45.67042,46.49107,49.40483,47.58834
2010-01-28,,0.51,BMO,40.531420000000004,40.39371,41.46781,41.5229
2009-10-22,,0.54,BMO,39.325390000000006,39.89201,39.005520000000004,38.53029
2009-07-23,,0.49,BMO,31.477390000000003,30.931859999999997,33.19583,33.64135
