Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-08,,0.08,BMO,27.17,29.12,29.75,28.63
2015-02-10,,0.44,BMO,31.96,31.42,28.12,29.25
2014-10-30,,0.14,BMO,30.6,30.36,34.54,35.5
2014-08-05,0.18,0.19,BMO,25.54,25.47,24.86,25.55
2014-05-01,0.08,0.07,BMO,34.74,34.73,32.74,32.07
2014-02-06,0.38,0.42,BMO,40.77,41.74,35.45,34.45
2013-10-31,0.15,0.17,BMO,41.5,40.6,41.07,40.9
2013-08-01,0.17,0.16,BMO,38.92,38.83,37.5,39.0
2013-05-02,,0.07,AMC,32.68,32.73,31.87,31.64
2013-02-12,,0.47,AMC,31.13,30.97,30.3,31.31
2012-11-01,,0.13,AMC,37.77,39.59,39.65,40.49
2012-08-02,0.11,0.07,AMC,24.15,23.75,32.0,32.36
2012-05-08,0.01,0.06,,29.06,27.28,30.2,29.45
2012-02-15,0.3,0.42,AMC,43.07,41.83,37.52,38.88
2011-11-08,0.13,0.17,AMC,45.41,48.81,32.82,31.59
2011-08-04,0.19,0.2,AMC,39.87,36.59,35.43,34.0
2011-05-05,,0.16,,58.09,55.79,51.71,51.4
2011-02-10,0.41,0.43,,60.38,63.66,55.87,56.62
2010-11-04,0.19,0.18,AMC,44.84,45.5,48.3,48.28
2010-08-05,0.19,0.23,AMC,49.24,47.54,45.26,44.09
2010-05-06,,0.16,AMC,51.51,50.9,49.85,50.55
2010-02-11,0.35,0.38,AMC,50.91,52.56,50.24,49.11
2009-11-05,0.17,0.16,AMC,56.59,58.72,61.1,61.24
2009-08-06,,0.19,AMC,49.7,51.29,49.83,52.15
2009-05-07,0.13,0.1,AMC,44.19,44.58,47.1,45.77
2009-02-18,0.24,0.35,AMC,21.62,21.03,19.39,21.22
2008-11-04,0.15,0.16,AMC,28.73,28.25,25.54,25.14
2008-08-05,0.2,0.17,,38.78,39.52,40.13,41.13
2008-05-06,0.16,0.14,AMC,47.76,45.18,46.4,45.6
2008-02-12,0.45,0.44,AMC,55.2,53.85,44.67,44.15
2007-11-06,0.18,0.16,AMC,76.63,74.68,81.51,82.55
2007-08-06,0.23,0.18,,81.07,82.0,95.0,95.19
2007-05-07,0.19,0.15,,48.13,47.35,55.04,55.34
2007-02-12,0.35,0.31,AMC,41.26,38.6,40.11,40.0
2006-10-30,0.11,0.1,AMC,38.92,39.1,38.21,37.07
2006-08-01,0.18,0.13,AMC,26.34,24.1,31.77,31.48
2006-05-02,0.13,0.12,AMC,33.92,33.65,35.93,34.92
2006-02-07,0.29,0.33,AMC,37.31,37.29,33.63,33.42
2005-11-08,0.13,0.12,,37.56,37.32,36.09,37.85
2005-08-02,0.15,0.13,AMC,33.34,34.56,33.06,32.87
2005-05-04,0.14,0.12,,25.04,25.49,27.48,27.58
2005-02-08,,,,24.96,24.95,28.07,29.47
2004-10-26,,,AMC,34.97,35.0,29.35,27.21
2004-07-28,,,BMO,30.0,33.29,27.25,28.15
