Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-29,,0.49,BMO,42.5,43.07,40.97,40.75
2015-01-30,0.49,0.45,BMO,44.68,43.41,42.11,41.87
2014-10-28,0.64,0.66,BMO,50.23,50.95,48.96,49.82
2014-07-30,0.53,0.7,BMO,44.17,42.97,45.2,45.65
2014-04-25,0.34,0.33,BMO,38.1,38.5,40.04,40.63
2014-01-31,0.32,0.33,BMO,31.95,32.92,33.66,31.93
2013-10-30,0.51,0.53,BMO,33.85,34.5,32.55,32.53
2013-07-26,,0.54,BMO,31.09,31.38,31.32,29.9
2013-04-26,0.49,0.37,BMO,24.433329999999998,24.78,26.48667,26.49333
2013-01-30,,0.33,BMO,16.76,16.74667,16.82667,17.293329999999997
2012-11-01,,0.52,BMO,14.78667,15.066670000000002,14.62,14.45333
2012-07-27,0.72,0.5,BMO,12.23333,12.53333,15.006670000000002,15.2
2012-04-27,0.34,0.18,BMO,11.19333,11.16667,11.98,12.52
2012-01-31,0.15,0.14,BMO,9.84,9.93333,10.02667,10.76
2011-10-26,0.3,0.24,BMO,8.89333,8.24667,9.286669999999999,9.84
2011-07-27,0.21,0.26,BMO,10.90667,10.76,10.5,10.34
2011-04-28,0.04,-0.04,BMO,10.31333,10.73333,10.97333,11.06667
2011-01-31,0.04,0.07,BMO,10.26667,9.9,9.54,10.07333
2010-10-28,0.16,0.15,BMO,9.39333,9.10667,9.31333,9.65333
2010-07-29,0.12,0.09,BMO,10.453330000000001,10.07333,9.793330000000001,10.06667
2010-04-29,-0.21,-0.31,BMO,10.26,10.53333,11.46,11.046669999999999
2010-01-29,-0.31,-0.32,BMO,7.86667,7.58,8.0,8.36
2009-10-23,0.24,-0.01,BMO,9.786669999999999,9.94667,9.41333,9.38
2009-07-24,-0.13,-0.09,BMO,10.54,10.81333,10.64667,10.3
2009-04-24,-0.47,-0.06,BMO,9.06667,8.88667,8.373330000000001,7.933330000000001
2009-01-30,0.11,-0.04,BMO,6.44667,6.393330000000001,7.12667,7.513330000000001
2008-10-24,0.21,0.19,BMO,5.62,5.3133300000000006,5.18,5.15333
2008-10-23,0.21,0.19,,5.62,5.3133300000000006,5.18,5.15333
2008-07-25,0.36,0.13,BMO,10.74,9.84667,10.58,10.43333
2008-04-25,-0.06,,BMO,9.49333,9.86667,9.93333,9.61333
2008-01-30,0.05,0.26,BMO,8.98667,8.83333,9.03333,9.40667
2007-10-26,0.43,0.45,BMO,9.92667,9.38,10.08667,9.42
2007-07-24,0.51,0.62,BMO,17.76667,16.56,14.1,13.826670000000002
2007-04-20,0.31,0.24,BMO,15.933329999999998,16.54,19.76,19.26
2007-01-31,0.45,0.43,BMO,17.44667,17.933329999999998,17.76667,17.52
2006-10-24,0.53,0.64,AMC,21.03333,21.34667,18.01333,17.30667
2006-07-20,0.67,0.51,AMC,18.16667,17.41333,18.66,18.83333
2006-04-20,0.16,0.32,AMC,19.98667,20.04,18.3,17.4
2006-01-24,0.73,0.41,AMC,15.98,16.82,18.69333,18.68
2005-10-25,0.47,0.4,AMC,11.23333,11.02,11.74,11.97333
2005-07-18,0.38,0.33,AMC,11.49333,11.48667,11.72,12.046669999999999
2005-04-20,0.26,0.23,AMC,11.0,11.16667,11.52667,10.83333
2005-01-25,,,AMC,13.366670000000001,13.6,14.866670000000001,15.0
2004-10-19,,,AMC,12.68,12.51333,12.82667,12.48667
2004-07-15,,,AMC,16.726670000000002,16.76667,16.23333,16.14
2004-04-21,,,AMC,15.566670000000002,15.826670000000002,15.5,15.673329999999998
2004-01-22,,,AMC,12.08,12.05333,12.06667,12.25333
2003-10-16,,,AMC,9.36667,9.18,9.76667,10.66
2003-07-17,,,AMC,9.17333,9.00667,9.18667,9.02667
2003-04-24,,,BMO,8.16667,8.03125,7.80208,8.19792
2003-01-24,,,,6.89583,7.03125,7.11458,7.64583
2002-10-17,,,AMC,5.79167,6.41667,6.60417,6.45833
