Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,-0.27,BMO,52.64,51.54,48.5,49.43
2015-02-12,,0.06,BMO,43.99,43.16,54.45,53.35
2014-10-28,0.15,,BMO,38.22,39.38,38.75,40.44
2014-08-05,0.15,,BMO,36.21,37.24,37.72,37.12
2014-04-29,0.1,-0.04,BMO,29.53,28.02,30.83,31.33
2014-02-11,0.11,0.01,BMO,27.51,27.8,31.0,30.75
2013-10-29,0.12,,BMO,27.97,28.04,27.33,26.98
2013-07-25,0.08,-0.05,BMO,26.46,26.33,28.17,28.65
2013-05-02,,-0.07,AMC,15.67,15.94,18.98,18.9
2013-02-14,,-0.02,AMC,15.28,15.51,16.25,15.88
2012-11-01,,-0.05,AMC,14.15,13.7,13.95,13.9
2012-08-02,-0.09,-0.01,AMC,15.04,15.45,12.21,13.09
2012-05-02,-0.01,,AMC,19.65,19.67,19.09,19.1
2012-02-14,0.06,-0.04,BMO,22.51,22.98,23.08,22.98
2011-11-02,-0.12,-0.25,AMC,20.42,20.5,20.82,20.56
2011-08-03,-0.26,-0.08,AMC,20.6,21.07,13.0,14.25
2011-05-02,-0.01,-0.04,AMC,29.81,30.69,27.89,26.76
2011-02-16,,-0.02,AMC,26.73,28.04,28.86,28.02
2010-11-02,-0.07,0.01,AMC,23.81,24.27,23.65,22.24
2010-07-29,0.03,0.04,BMO,18.36,18.01,19.11,19.81
2010-04-28,,0.01,AMC,16.8,17.01,18.2,18.15
2010-02-10,0.05,0.04,,12.93,13.02,14.84,15.14
2009-10-29,0.03,0.05,AMC,16.99,16.45,15.33,14.56
2009-07-30,0.04,0.02,AMC,14.5,14.75,15.22,15.6
2009-04-30,,0.01,AMC,12.25,12.76,11.66,11.5
2009-02-11,0.67,0.04,AMC,12.46,12.82,9.5,8.54
2008-10-30,,0.02,AMC,12.01,12.7,12.2,11.91
2008-07-31,0.06,0.07,AMC,19.79,19.08,20.6,17.85
2008-05-01,0.08,0.09,AMC,18.87,19.84,22.7,22.28
2008-02-07,0.21,0.19,AMC,25.75,27.45,22.92,23.9
