Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-27,,0.21,AMC,18.99,18.76,19.42,18.93
2015-02-04,0.24,0.18,AMC,18.24,18.1,17.21,17.13
2014-10-20,0.19,0.15,AMC,16.5,16.62,16.59,16.33
2014-07-21,0.17,0.12,AMC,17.24,17.5,17.03,16.93
2014-04-21,0.16,0.12,AMC,14.86,14.84,14.8,14.88
2014-01-29,0.21,0.14,AMC,14.01,14.08,14.3,14.12
2013-10-23,0.18,0.12,AMC,14.57,14.51,13.01,12.79
2013-07-24,0.16,0.14,AMC,15.58,15.4,14.88,14.48
2013-04-24,,0.19,AMC,12.67,12.72,13.72,13.65
2013-01-30,,0.19,AMC,14.04,13.94,13.93,14.15
2012-10-24,,0.18,AMC,12.42,12.71,12.73,12.8
2012-07-25,0.19,0.18,AMC,11.23,11.42,12.02,12.39
2012-04-25,0.17,0.15,AMC,11.28,11.67,11.88,11.86
2012-02-01,0.17,0.15,AMC,10.56,10.8,11.64,11.73
2011-10-26,0.14,0.12,AMC,10.34,10.3,11.15,11.1
2011-07-28,0.12,0.1,AMC,9.51,9.41,10.33,10.06
2011-04-27,0.09,0.08,,9.93,10.29,10.15,10.38
2011-02-02,0.07,0.04,,8.77,8.83,9.45,9.49
2010-10-27,0.04,0.03,,8.2,8.09,8.43,8.47
2010-07-28,0.07,0.03,,6.62,6.45,6.71,6.96
2010-04-28,0.02,0.01,,7.16,7.15,7.65,7.45
2010-02-03,0.06,0.03,AMC,6.09,6.08,5.77,5.73
2009-10-28,0.03,-0.01,AMC,7.35,7.03,6.35,6.11
2009-07-29,-0.05,-0.08,AMC,6.23,6.23,6.22,5.9
2009-04-29,-0.1,-0.12,AMC,4.61,4.81,5.58,5.33
2009-02-04,-0.04,-0.06,AMC,3.68,3.65,4.2,4.5
2008-12-10,-0.09,-0.11,AMC,3.93,3.93,3.04,2.73
2008-07-23,0.09,0.14,AMC,10.14,10.27,7.11,7.35
2008-04-23,0.0,0.04,AMC,10.93,11.24,11.39,11.44
2008-01-30,,0.46,AMC,14.93,15.16,10.15,10.61
2007-10-24,0.33,0.32,,21.88,21.69,19.32,19.74
2007-07-25,0.3,0.29,,22.44,22.43,21.98,21.55
2007-04-25,0.26,0.24,AMC,22.79,22.94,22.75,22.86
2007-01-31,0.38,0.35,AMC,18.7,18.92,20.06,20.06
2006-10-25,0.26,0.25,AMC,17.71,17.67,17.8,17.75
2006-07-26,0.23,0.22,,15.44,15.57,15.42,16.03
2006-04-26,0.21,0.2,AMC,18.13,18.22,18.74,18.93
2006-02-01,0.29,0.28,,17.66,17.46,17.0,16.9
2005-10-26,0.21,0.2,AMC,16.1,16.01,16.15,16.0
2005-07-27,0.17,0.16,AMC,14.8,14.85,15.71,16.09
2005-04-27,0.15,0.14,,13.95,14.28,13.95,14.0
2005-02-03,,,AMC,13.49,13.55,13.95,13.95
2005-01-24,,,AMC,13.08,12.96,13.04,13.08
2004-10-21,,,AMC,12.04,13.13,12.41,12.39
2004-10-20,,,AMC,12.16,12.04,13.13,12.41
2004-07-26,,,AMC,12.97,13.17,13.42,13.18
2004-07-21,,,AMC,13.42,13.01,13.31,12.97
2004-04-26,,,AMC,14.15,14.11,13.91,13.65
2004-04-21,,,AMC,13.7,13.75,14.37,14.15
2004-01-28,,,AMC,18.58,18.31,16.85,16.57
2004-01-20,,,AMC,19.4,19.2,18.85,18.48
2003-10-20,,,AMC,14.53,15.34,15.16,14.97
2003-10-15,,,AMC,13.83,14.01,14.67,14.53
2003-07-21,,,AMC,12.73,12.6,13.12,13.1
2003-07-15,,,AMC,13.27,13.0,12.4,12.58
2003-04-21,,,AMC,10.45,10.63,10.92,11.09
2003-04-15,,,AMC,9.75,9.8,10.6,10.45
2003-01-22,,,AMC,9.6,10.01,10.29,10.02
2003-01-21,,,AMC,9.85,9.6,10.01,10.29
2002-10-17,,,AMC,10.82,10.6,10.3,11.4
2002-10-15,,,AMC,11.42,11.69,10.82,10.6
2002-07-23,,,AMC,14.51,13.45,11.0,11.18
2002-07-22,,,AMC,15.0,14.51,13.45,11.0
2002-04-22,,,AMC,22.07,21.79,21.23,21.07
2002-04-16,,,AMC,21.81,22.72,22.45,22.3
2002-01-22,,,AMC,20.91,21.1,22.19,22.51
2001-10-22,,,AMC,20.92,21.5,21.25,21.75
2001-10-16,,,AMC,19.37,18.6,20.0,20.9
2001-07-23,,,AMC,21.37,22.0,21.41,22.08
2001-07-17,,,AMC,18.3,18.55,20.5,21.54
2001-04-26,,,AMC,19.51,20.2,20.28,20.7
2001-04-17,,,AMC,17.65,16.99,19.55,20.95
2001-01-23,,,AMC,32.3125,32.0,30.0,29.0
2000-10-17,,,AMC,22.25,21.375,24.5625,25.8125
2000-07-18,,,AMC,22.6875,22.1875,21.75,22.5
2000-04-18,,,AMC,14.75,15.75,16.5625,16.1875
2000-01-25,,,AMC,23.6875,24.0,22.6875,21.4375
1999-10-19,,,AMC,13.9375,14.125,13.8125,14.5
1999-07-20,,,AMC,15.5,14.875,11.6875,11.0
1999-04-20,,,AMC,21.0,20.8125,12.5,12.0
