Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-30,,-0.12,AMC,6.08,6.49,6.52,7.02
2015-02-17,,0.06,AMC,7.98,8.21,7.82,8.2
2014-10-29,0.02,-0.01,AMC,11.65,11.4,11.37,11.97
2014-07-29,0.01,,AMC,15.43,15.34,15.52,15.48
2014-04-29,-0.11,-0.02,AMC,20.17,20.44,19.69,19.91
2014-02-13,0.3,0.25,AMC,18.65,18.72,18.9,18.15
2013-10-29,0.34,0.32,AMC,15.98,15.9,16.17,15.61
2013-07-30,-0.02,0.07,AMC,16.68,16.44,16.03,16.13
2013-04-30,,0.28,AMC,19.3,19.54,18.89,18.56
2013-02-13,,0.5,AMC,16.95,16.95,16.66,16.58
2012-10-25,,0.49,AMC,19.2,18.99,21.2,21.1
2012-07-31,0.34,0.37,AMC,16.71,16.55,17.73,17.07
2012-04-30,0.47,0.48,AMC,15.13,15.39,15.6,15.1
2012-02-16,0.7,0.52,AMC,16.97,17.49,18.43,18.04
2011-10-27,0.61,0.47,AMC,22.09,23.26,24.02,22.95
2011-08-02,0.56,0.42,AMC,22.45,21.67,21.41,19.74
2011-05-04,0.44,0.42,AMC,20.48,20.18,19.59,19.95
2011-02-24,0.29,0.48,AMC,21.07,21.36,19.84,20.5
2010-11-04,0.6,0.42,AMC,17.72,18.3,18.78,19.81
2010-08-04,0.51,0.31,AMC,16.14,16.35,16.67,17.12
2010-05-12,0.38,0.31,AMC,14.28,14.9,14.7,14.6
2010-03-16,0.5,0.49,AMC,16.84,16.75,16.59,16.25
