Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-30,,0.29,AMC,17.4376,17.10074,16.62517,16.52609
2015-01-29,0.32,0.31,AMC,16.31021,16.59498,16.221829999999997,16.68335
2014-10-30,0.31,0.28,AMC,16.21509,16.27349,17.07159,17.35385
2014-07-24,,0.28,AMC,15.695039999999999,15.78186,16.003729999999997,15.733629999999998
2014-04-29,0.28,0.27,AMC,15.733620000000002,15.561570000000001,15.475539999999999,15.37995
2014-01-30,0.31,0.28,AMC,15.7936,15.97361,15.708329999999998,15.139870000000002
2013-10-24,,0.26,AMC,14.79403,14.831579999999999,14.672,14.79403
2013-07-25,0.27,0.26,AMC,15.04084,14.985510000000001,14.930179999999998,14.83796
2013-04-24,,0.26,AMC,14.279979999999998,14.56158,14.207310000000001,14.089220000000001
2013-01-29,,0.25,AMC,13.40495,13.60116,13.58332,13.63684
2012-10-25,,0.29,AMC,14.182360000000001,14.38359,13.648660000000001,13.73615
2012-07-24,,0.3,AMC,13.89076,13.925120000000001,13.66741,13.63305
2012-04-25,0.29,0.3,AMC,14.39215,14.4259,14.206560000000001,14.290920000000002
2012-01-25,0.31,0.28,AMC,14.73983,14.82264,14.532810000000001,14.541089999999999
2011-10-26,0.31,0.27,AMC,12.976360000000001,13.195879999999999,13.87072,13.854460000000001
2011-07-28,0.27,0.3,AMC,12.601360000000001,12.289530000000001,12.801260000000001,12.801260000000001
2011-04-27,0.29,0.28,AMC,13.0941,13.32424,13.17346,13.07823
2011-01-26,0.24,0.33,AMC,14.150070000000001,14.2525,13.653720000000002,13.314929999999999
2010-11-02,0.27,0.26,AMC,12.70279,12.79683,13.61181,13.86258
2010-08-03,0.3,0.27,AMC,12.73981,12.646360000000001,13.31606,13.09023
2010-04-29,0.17,0.28,AMC,15.30435,16.15545,14.78595,14.221129999999999
2010-01-26,0.25,0.17,AMC,11.98863,11.39613,11.65006,12.46572
2009-11-05,4.38,0.08,AMC,9.425980000000001,9.46417,9.540560000000001,9.73152
2009-08-05,0.01,0.07,BMO,6.61791,6.5877300000000005,6.52736,6.29343
2009-08-03,0.01,0.07,BMO,6.46699,6.51981,6.61791,6.5877300000000005
2009-05-11,0.14,0.1,BMO,7.82527,8.55632,8.20571,7.9073199999999995
2009-04-29,0.14,0.1,AMC,7.84019,8.28777,8.04906,7.81035
2009-04-01,0.06,0.09,,7.10913,7.243410000000001,7.474660000000001,7.728289999999999
2009-01-28,0.06,0.09,AMC,6.55462,6.84855,6.29009,5.9667699999999995
2008-11-10,0.15,0.17,,9.30563,9.31287,9.24046,9.15356
2008-10-29,0.15,0.17,AMC,9.15356,9.09562,9.44322,9.74014
2008-08-07,0.21,0.18,,8.52095,8.528089999999999,8.842360000000001,9.128060000000001
