Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-07,,2.08,BMO,133.43227,133.29272,123.12608,118.3617
2015-02-19,,1.98,BMO,124.74768,127.63006999999999,132.19218,136.8537
2014-11-06,1.67,1.84,BMO,104.46821,103.94334,104.89403999999999,105.79523
2014-08-07,2.04,1.82,BMO,88.91483000000001,88.36134,92.07765,93.7579
2014-05-08,1.81,1.64,BMO,100.63157,102.33803,99.38873000000001,98.86594000000001
2014-02-27,1.66,1.22,BMO,95.49686,95.39841,99.11983000000001,99.75976999999999
2013-11-07,1.17,0.8,BMO,70.95474,71.34756999999999,71.65202,74.71609000000001
2013-08-07,1.12,0.92,BMO,62.313069999999996,61.960080000000005,62.097359999999995,62.293459999999996
2013-05-08,,0.86,BMO,52.30583,52.85394,52.38413,52.521159999999995
2013-02-27,,0.9,BMO,43.252140000000004,44.504979999999996,46.11996,47.02044
2012-11-08,,0.8,BMO,43.799640000000004,42.33835,40.22436,39.162490000000005
2012-08-08,1.0,0.69,BMO,37.91552,37.64275,39.191720000000004,40.13668
2012-05-09,0.67,0.69,BMO,38.09088,38.324690000000004,36.14249,35.70411
2012-03-28,1.19,0.94,BMO,37.116690000000006,36.92185,39.41578,38.96765
2011-11-10,1.05,0.85,,28.41716,30.19993,29.7518,29.556959999999997
2011-08-11,0.8,0.82,,27.2871,27.11174,27.296840000000003,27.85213
2011-05-11,0.92,0.98,BMO,38.57797,39.13326,37.779140000000005,37.3992
