Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-04,,1.27,BMO,137.10001,138.84,142.06,138.33
2015-02-11,,1.51,BMO,139.23,141.22,141.99001,142.46001
2014-11-06,1.34,1.31,BMO,120.84,122.21,130.31,128.84
2014-08-04,1.35,1.33,BMO,116.25,117.39,116.76,115.31
2014-05-06,1.18,1.13,BMO,113.94,115.18,113.62,113.17
2014-02-11,1.43,1.39,BMO,113.37,114.84,114.43,115.01
2013-11-05,1.22,1.21,BMO,112.38,113.09,110.58,110.18
2013-08-06,1.23,1.22,BMO,105.99,105.24,105.01,104.97
2013-05-07,,1.07,BMO,90.72,91.13,91.91,93.06
2013-02-13,,1.21,BMO,89.45,90.37,89.25,88.4
2012-11-07,,1.07,BMO,75.84,77.2,78.3,76.72
2012-08-02,1.11,1.1,BMO,74.81,75.03,74.92,76.39
2012-05-08,0.98,0.91,BMO,74.88,74.73,77.53,76.56
2012-02-15,1.15,1.12,BMO,72.11,73.15,73.13,75.67
2011-11-01,0.99,1.01,BMO,70.98,69.32,64.35,64.91
2011-08-02,1.01,1.0,BMO,66.46,66.81,65.2,65.29
2011-05-03,0.82,0.8,BMO,73.07,74.08,73.55,72.58
2011-02-22,1.0,0.96,BMO,69.29,69.85,66.92,67.16
2010-10-29,0.94,0.87,BMO,59.5,58.62,56.15,56.22
2010-08-02,0.9,0.86,BMO,51.64,52.49,53.27,53.6
2010-05-04,0.75,0.69,BMO,60.5,61.1,60.55,60.37
2010-02-23,0.93,0.91,BMO,57.22,57.18,57.1,57.1
2009-11-04,0.8,0.82,BMO,53.57,54.06,50.42,51.12
2009-08-04,0.81,0.76,BMO,51.38,52.44,50.68,49.73
2009-05-04,0.64,0.58,BMO,41.04,41.68,45.66,44.43
2009-02-24,0.9,0.88,BMO,36.75,36.03,38.57,37.21
2008-11-05,0.78,0.75,BMO,46.82,46.25,41.63,41.8
2008-08-05,0.71,0.68,BMO,52.77,53.47,58.68,58.8
2008-05-06,0.57,0.55,BMO,56.3,57.15,55.94,55.06
2008-02-25,0.83,0.82,BMO,60.33,60.38,60.66,61.76
2007-11-01,0.66,0.62,BMO,58.23,59.9,61.35,62.37
2007-08-07,0.6,0.58,BMO,54.83,56.7,60.6,60.81
2007-05-08,,0.48,BMO,54.34,54.42,53.26,53.54
2007-02-21,0.7,0.67,BMO,52.41,52.51,54.08,53.48
2006-11-02,0.44,0.53,BMO,49.69,49.02,49.91,50.51
2006-07-27,0.5,0.49,BMO,48.54,48.87,47.43,48.45
2006-04-27,0.4,0.39,,46.75,47.13,46.62,46.39
2006-02-22,0.59,0.58,BMO,48.57,46.73,46.73,46.72
2005-10-25,0.41,0.42,BMO,41.14,42.01,40.69,38.91
2005-07-26,0.45,0.44,BMO,42.74,43.19,42.6,41.97
2005-05-03,0.37,0.36,BMO,37.51,37.81,37.91,38.53
2005-03-01,,,BMO,36.925,36.17,37.71,39.72
2004-10-26,,,BMO,29.07,29.55,30.04,30.98
2004-07-27,,,BMO,30.505,30.495,33.055,32.885
2004-04-27,,,BMO,39.205,39.025,36.8,35.52
2004-03-02,,,BMO,35.75,36.32,36.985,36.785
2003-11-04,,,BMO,31.025,31.95,31.2,31.375
2003-08-05,,,BMO,28.58,28.375,29.66,28.905
2003-05-06,,,,22.63,24.715,24.725,23.875
2003-03-04,,,BMO,20.0,20.35,20.995,21.415
2002-11-05,,,BMO,25.98,24.725,23.215,24.28
2002-08-06,,,BMO,21.58,20.975,21.46,22.375
2002-05-07,,,BMO,23.685,23.63,24.58,24.545
2002-03-05,,,BMO,21.425,20.925,20.41,21.46
2001-11-06,,,BMO,16.1,16.3,18.03,18.06
2001-08-07,,,BMO,17.605,16.565,17.05,16.675
2001-05-08,,,BMO,18.815,18.615,19.125,19.55
2001-03-06,,,BMO,14.9375,14.625,15.28125,16.46875
2000-10-31,,,BMO,10.3125,11.1875,12.1875,12.4375
2000-08-01,,,BMO,6.875,7.03125,8.375,9.28125
2000-05-01,,,AMC,6.992189999999999,7.5,7.46875,7.4375
2000-02-29,,,AMC,8.3125,9.375,9.09375,7.84375
1999-10-21,,,,7.28125,6.875,5.4375,5.75
1999-08-02,,,AMC,11.0,10.4375,7.75,7.625
