Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-04,,-0.14,AMC,43.28,43.4,48.72,47.73
2015-02-04,0.13,-0.16,AMC,43.14,43.98,43.33,43.43
2014-11-03,-0.08,-0.36,AMC,48.26,47.7,53.73,49.19
2014-08-04,-0.3,-0.39,AMC,44.89,45.99,45.79,43.67
2014-05-05,,-0.12,AMC,63.06,62.1,50.16,48.67
2014-01-29,0.18,-0.03,AMC,70.36,68.69,78.24,75.94
2013-11-05,0.1,-0.1,AMC,57.19,57.8,68.2,67.48
2013-08-05,0.08,-0.08,AMC,57.56,58.0,66.29,66.0
2013-05-06,,0.02,AMC,41.39,42.0,49.99,51.29
2013-02-04,,0.24,AMC,41.85,41.21,41.97,41.8
2012-11-01,,0.04,AMC,31.72,32.58,34.11,33.14
2012-07-31,,0.03,AMC,26.05,26.08,24.5,24.57
2012-04-25,0.09,0.15,AMC,29.54,30.75,30.01,30.42
2012-02-01,0.37,0.36,AMC,25.81,26.38,25.89,27.78
2011-10-24,0.29,0.31,AMC,33.17,33.79,25.61,26.08
2011-07-25,0.32,0.31,AMC,35.3,36.68,39.31,38.53
2011-04-25,0.28,0.27,AMC,40.66,41.78,36.62,37.95
2011-01-28,0.55,0.5,BMO,33.2,34.0,32.52,32.73
2011-01-10,,,AMC,28.42,29.41,36.58,36.27
2010-11-01,,0.37,AMC,24.71,24.53,26.98,27.14
2010-07-26,0.26,0.28,AMC,18.94,18.79,16.03,16.1
2010-04-27,0.22,0.23,AMC,20.15,19.92,20.07,20.99
2010-01-28,,0.27,AMC,18.89,17.81,17.3,18.25
2009-10-26,0.31,0.3,AMC,22.0,22.08,18.5,17.06
2009-07-30,0.24,0.18,AMC,17.56,17.63,16.16,17.01
2009-04-27,0.16,0.11,AMC,11.45,11.06,11.6,11.74
2009-01-29,0.18,0.07,AMC,6.59,6.39,6.87,6.4
2008-10-27,0.11,0.12,AMC,6.43,6.47,7.05,7.02
2008-07-28,,0.13,AMC,9.12,8.75,8.54,8.68
2008-07-07,,,BMO,10.51,10.46,7.78,7.55
2008-04-28,0.15,0.13,AMC,12.76,12.94,12.62,12.69
2008-01-30,0.16,0.12,AMC,14.09,13.59,16.38,17.13
2007-10-29,0.19,0.12,AMC,23.2,22.54,24.6,26.05
2007-07-30,0.17,0.1,AMC,19.28,20.5,20.69,21.17
2007-05-01,0.13,0.07,AMC,14.59,15.3,18.29,18.11
2007-02-12,0.08,0.09,AMC,20.25,20.34,16.58,17.28
2006-10-23,,0.36,,15.83,16.51,18.53,18.38
2006-07-25,,0.05,AMC,15.55,15.81,13.8,13.18
2006-04-25,0.06,0.02,AMC,9.27,10.05,11.34,11.5
2006-01-30,0.1,0.04,AMC,5.17,5.31,6.81,7.13
2005-10-25,0.0,0.02,AMC,5.99,5.57,5.53,5.25
2005-07-26,0.02,-0.01,AMC,5.65,5.73,5.21,5.33
2005-04-21,,,AMC,5.15,5.09,4.65,4.55
2005-01-25,,,AMC,4.22,4.27,4.31,4.17
2004-10-19,,,AMC,3.58,3.63,3.63,3.9
2004-07-27,,,AMC,4.46,4.31,4.3,4.14
2004-04-20,,,AMC,5.92,5.89,6.03,5.81
2004-01-27,,,AMC,6.14,6.04,5.8,5.59
2003-10-21,,,AMC,3.5,3.5,3.4,3.48
2003-07-22,,,AMC,3.4,3.4,3.24,3.03
2003-04-22,,,AMC,2.93,3.4,3.35,3.49
2003-02-12,,,AMC,3.18,3.08,3.08,3.01
2002-10-24,,,AMC,3.5,3.42,3.11,3.15
2002-07-23,,,AMC,3.48,3.05,3.25,3.2
2002-04-23,,,AMC,4.12,4.23,4.24,4.03
2002-01-29,,,AMC,7.05,6.8,7.0,7.05
2001-10-16,,,,4.8,4.99,4.8,4.77
2001-07-24,,,AMC,9.3,8.94,9.11,8.7
2001-04-19,,,,17.41,17.55,15.99,14.9
2001-02-01,,,AMC,35.0,35.0,33.0,32.5
2000-10-12,,,AMC,39.4375,39.5,39.3125,38.9375
2000-07-13,,,AMC,39.25,42.5,42.25,43.25
2000-04-13,,,AMC,32.75,34.5,26.75,23.25
2000-01-27,,,AMC,29.8125,30.0,30.25,26.125
1999-10-21,,,,23.125,29.0,27.625,25.8125
