Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-06,,0.35,AMC,30.15,30.53,33.32,34.25
2015-02-25,,0.34,AMC,29.17,28.93,33.61,33.8
2014-11-05,0.36,0.34,AMC,24.1,23.63,23.75,23.64
2014-08-06,0.35,0.32,AMC,23.3,23.67,23.54,24.13
2014-05-07,0.24,0.27,AMC,20.69,20.94,20.62,21.05
2014-03-05,0.29,0.32,AMC,22.78,22.9,22.83,22.26
2013-11-06,,0.31,AMC,21.23,21.33,19.79,20.28
2013-08-07,0.34,0.29,AMC,23.09,23.57,26.29,26.49
2013-05-08,,0.33,AMC,23.33,23.5,23.36,22.85
2013-03-06,,0.37,AMC,21.36,21.24,20.11,20.35
2012-11-07,,0.37,AMC,17.81,17.24,17.35,16.72
2012-08-06,0.32,0.4,AMC,17.68,17.69,16.86,16.96
2012-05-02,0.44,0.37,AMC,17.4,17.13,18.87,18.31
2012-02-29,0.39,0.35,AMC,17.4,17.02,19.11,18.62
2011-11-02,0.39,0.5,AMC,15.38,15.34,14.33,14.36
2011-08-03,0.56,0.49,AMC,19.67,20.81,20.99,19.98
2011-05-04,0.42,0.36,AMC,29.92,29.35,28.25,27.85
2011-03-02,0.63,0.66,AMC,29.25,30.05,27.98,28.15
2010-11-01,0.73,0.7,AMC,26.9,26.79,27.5,26.1
2010-08-04,0.68,0.7,AMC,22.97,22.7,21.85,20.95
2010-04-28,,0.64,AMC,35.64,36.25,34.88,34.1
2010-03-03,0.7,0.51,AMC,29.75,28.94,31.42,31.61
2009-10-28,0.54,0.52,AMC,31.65,30.6,29.45,27.91
2009-08-04,0.57,0.53,AMC,29.41,29.06,26.18,24.37
2009-05-06,0.62,0.48,AMC,24.67,24.91,28.11,28.54
2009-03-10,0.6,0.45,AMC,17.0,18.22,19.13,20.24
2008-10-29,0.45,0.37,AMC,24.52,24.99,33.03,35.28
2008-07-30,0.35,0.31,AMC,23.67,23.4,28.02,27.91
2008-04-30,0.31,0.29,AMC,15.42,15.6,19.57,19.24
2008-02-27,0.39,0.37,AMC,21.48,21.51,17.3,17.0
2007-10-31,0.38,0.34,AMC,23.8,22.98,23.02,23.56
2007-08-01,0.35,0.36,AMC,24.22,22.95,23.06,23.35
2007-04-30,0.35,0.34,AMC,27.54,25.6,25.97,27.29
2007-02-28,0.33,0.29,AMC,27.76,28.68,30.43,31.7
2006-11-02,0.29,0.26,,24.12,24.84,25.27,25.72
2006-08-08,0.26,0.24,,22.16,22.65,23.6,23.67
2006-05-09,0.23,0.21,,18.15,17.95,18.0,17.95
2006-02-23,0.19,0.17,,15.64,15.79,16.51,16.26
2005-11-08,0.17,0.18,BMO,16.56,16.6,16.72,16.99
2005-08-09,,0.2,,18.85,17.95,19.34,19.0
