Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.08,AMC,168.33,163.05,159.89999,159.57001
2015-02-10,,0.95,AMC,154.0824,153.08264,146.93416000000002,148.10387
2014-11-04,1.35,1.25,AMC,188.09412,180.86588,172.81784,174.78735
2014-08-04,1.35,1.26,AMC,216.36275,222.31007000000002,209.88565,206.26729
2014-05-06,1.28,1.05,AMC,198.16092,198.03098,208.10645,202.9088
2014-02-10,1.0,1.01,AMC,184.93573,186.80447,180.5387,180.04901
2013-11-04,1.26,1.34,AMC,205.15215,213.26668999999998,210.21875,198.41666999999998
2013-07-31,1.1,1.12,AMC,153.19411000000002,154.62283,173.99565,181.04941000000002
2013-05-01,,0.97,AMC,122.12167,118.86456000000001,126.19805,129.5251
2013-02-13,,0.87,AMC,128.34406,126.60616999999999,129.89218,130.40155
2012-10-31,,0.99,AMC,103.50423,105.52179,109.20731,105.83141
2012-07-31,0.78,0.97,AMC,90.23526,88.48807,93.70969000000001,91.85266999999999
2012-05-02,1.23,1.21,AMC,115.97398000000001,112.45962,110.68247,106.75877
2012-02-06,1.17,1.03,AMC,104.18374,105.53107,108.13592,109.62297
2011-11-01,1.14,0.87,AMC,83.73423000000001,80.81002,90.97989,93.96396999999999
2011-08-03,0.94,0.83,AMC,88.76482,87.36835,80.8848,78.38116
2011-05-03,0.68,0.51,AMC,100.94391999999999,95.97652,92.09637,88.48552
2011-02-07,0.51,0.42,AMC,95.46947,94.72166,93.69468,94.00376999999999
2010-10-26,0.35,0.37,AMC,72.97556,71.78905,69.69521,68.97731
2010-07-28,0.43,0.42,AMC,58.85037,59.09948000000001,58.19271,57.71441
2010-05-04,0.48,0.43,AMC,65.99492,63.90237,62.636880000000005,61.21195
2010-02-02,0.18,0.05,AMC,45.64271,46.57867,45.672579999999996,43.93011
2009-11-03,0.02,0.07,AMC,41.36122,42.35692,41.0426,42.60584
2009-08-04,-0.1,-0.2,AMC,30.00545,30.36348,29.717029999999998,29.25954
2009-05-06,-0.15,-0.26,BMO,26.58421,25.32113,28.38434,27.27044
2009-05-05,,-0.24,AMC,26.58421,25.32113,28.38434,27.27044
2009-02-03,-0.15,0.06,AMC,14.310260000000001,14.647670000000002,14.18125,14.270560000000001
2008-11-04,0.91,1.21,AMC,25.554029999999997,28.9877,24.60134,23.23184
2008-08-04,1.31,1.36,AMC,59.52794,56.064130000000006,54.827059999999996,57.815819999999995
2008-05-07,1.01,0.84,BMO,60.755109999999995,62.348459999999996,64.90178,67.28685
2008-02-06,0.99,0.76,BMO,42.85726,40.962579999999996,39.89683,41.62375
2007-11-06,0.62,0.57,BMO,51.09715,50.98859,53.662859999999995,52.69579
2007-08-07,0.52,0.53,BMO,43.83489,43.05774,41.808409999999995,41.92646
2007-05-03,0.32,0.42,,50.39635,50.63244,50.052040000000005,48.81255
2007-02-06,0.22,0.19,AMC,40.284279999999995,40.26467,39.17617,39.63707
2006-11-01,0.64,0.61,BMO,40.088159999999995,39.94106,39.61745,40.088159999999995
2006-08-03,,0.59,BMO,44.26997,44.475190000000005,43.89861,43.39043
2006-05-09,-0.01,0.48,BMO,41.45545,40.83,40.74205,40.45864
2006-02-08,1.07,0.97,BMO,51.44569,48.921640000000004,47.65475,44.03922
2005-11-03,0.74,0.72,BMO,49.36018,49.92541,49.711009999999995,48.14201
2005-08-02,0.72,0.66,BMO,42.13284,42.78433,41.38412,39.28379
