Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-07,,0.17,AMC,14.08,14.11,13.29,13.42
2015-02-12,,0.19,AMC,11.61,11.69,12.11,12.81
2014-11-05,0.06,0.07,AMC,14.94,14.64,12.36,12.24
2014-08-06,0.04,0.08,AMC,14.13,14.01,14.11,14.21
2014-05-08,0.04,0.09,AMC,14.34,13.94,14.1,14.7
2014-02-12,0.1,0.11,AMC,18.88,18.65,19.7,19.36
2013-11-05,0.08,0.1,AMC,19.15,18.96,16.9,16.05
2013-08-07,0.05,0.09,AMC,18.79,17.93,18.3,18.22
2013-05-09,,0.14,AMC,13.56,13.77,13.25,13.1
2013-02-13,,0.16,AMC,15.41,16.06,15.37,15.17
2012-11-06,,0.12,AMC,13.03,12.88,14.51,13.88
2012-08-08,0.1,0.09,AMC,20.38,20.0,21.4,21.43
2012-05-08,0.09,0.08,AMC,19.48,19.3,21.97,21.6
2012-02-15,0.08,0.07,AMC,17.69,16.81,18.1,17.32
2011-11-08,0.07,0.06,,13.44,13.97,14.4,13.68
2011-08-23,,,AMC,9.82,9.75,11.01,11.1
