Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-02-26,,0.36,BMO,12.02853,11.90943,12.53468,12.87211
2014-11-06,0.37,0.34,BMO,13.54638,13.73342,12.85724,13.25103
2014-08-07,,0.28,BMO,14.22166,14.08435,14.11377,14.46686
2014-05-08,0.24,0.28,BMO,13.87153,14.14524,13.764,13.72489
2014-02-26,0.29,0.28,BMO,13.90113,13.92061,13.80371,13.42379
2013-11-07,0.39,0.34,BMO,13.54969,13.63704,13.29733,13.79234
2013-08-08,0.32,0.26,BMO,12.35032,12.45678,12.70844,12.66972
2013-05-09,,0.32,BMO,13.4682,13.41031,12.75427,12.8411
2013-02-27,,0.3,BMO,10.48477,10.53287,11.19658,11.17735
2012-11-07,,0.35,BMO,9.93767,10.04309,9.65018,9.72685
2012-08-06,0.18,0.27,BMO,11.56071,11.69436,11.17886,11.00702
2012-05-04,0.37,0.27,BMO,11.75164,11.65618,11.53207,11.52253
2012-02-27,0.23,0.22,BMO,13.14542,13.17406,13.07859,12.83039
2011-11-04,0.27,0.26,BMO,10.77791,11.05475,11.36978,11.38888
2011-08-08,0.28,0.24,BMO,10.2624,10.32922,9.16456,9.45095
2011-08-05,0.28,0.27,BMO,11.15976,10.2624,10.32922,9.16456
2011-05-09,0.22,0.26,BMO,12.34352,12.34352,12.54399,12.45808
2011-02-28,0.23,0.25,,11.70391,11.80892,12.15259,12.22896
2010-11-04,0.2,0.26,,11.36024,11.40797,11.22659,11.22659
2010-08-06,0.23,0.21,,10.18603,10.16693,10.56788,10.6538
2010-05-07,0.26,0.25,,10.22421,9.44141,10.16693,10.30058
2010-02-26,0.22,0.19,BMO,11.26477,11.16931,11.15976,10.66335
2009-11-06,0.28,0.26,BMO,12.69674,13.23134,13.39362,13.28861
2009-11-05,,0.26,,12.69674,13.23134,13.39362,13.28861
2009-08-07,0.28,0.2,BMO,12.49626,12.54399,13.25043,13.34589
2009-08-06,,0.2,BMO,12.54399,12.49626,12.54399,13.25043
2009-05-08,0.37,0.21,BMO,7.8567,7.77078,9.18365,8.61087
2009-02-26,0.18,0.24,AMC,6.20517,6.64431,6.01424,5.34599
2008-11-07,0.25,0.28,,6.31018,8.09536,7.3412,6.85433
2008-08-08,0.17,0.3,BMO,15.25518,15.322,15.00697,15.16926
2008-05-08,0.39,0.27,AMC,16.85897,17.11673,18.24321,18.61551
2008-03-17,0.26,0.24,BMO,17.02126,16.8017,15.34109,15.66567
2007-11-06,0.18,0.28,,20.92575,21.50808,20.85892,21.03076
2007-08-09,0.26,0.21,AMC,18.31958,17.52722,17.81362,18.48187
2007-06-21,0.27,0.3,,20.20022,19.92338,20.54389,20.81119
2007-05-23,0.06,0.11,AMC,22.30998,22.81594,22.09041,22.11905
2006-11-06,0.27,0.21,,20.9162,21.61309,21.02121,21.39352
2006-08-07,0.29,0.17,BMO,18.88282,17.42221,19.15966,19.37923
2006-05-08,0.42,0.21,,16.54394,16.94489,16.97353,16.95444
2006-04-04,0.28,0.19,BMO,16.28619,15.92343,16.35301,16.22891
2006-01-19,0.35,0.28,,15.9998,16.87807,16.83988,16.82079
2005-05-05,,0.17,BMO,15.36973,15.35064,15.06425,15.20744
2005-02-03,,,BMO,13.64183,13.82321,14.26235,14.50101
2004-10-28,,,BMO,10.78745,10.86382,10.17648,10.4056
2004-07-29,,,BMO,9.30776,9.1932,9.21229,9.21229
2004-04-28,,,BMO,7.40802,7.35074,8.19083,8.13355
2004-02-05,,,BMO,9.13592,8.56314,8.62042,9.04046
2003-10-30,,,BMO,7.78033,7.76124,8.48677,8.35312
2003-07-30,,,BMO,6.42474,6.29109,6.01424,6.0047
2003-05-01,,,BMO,5.7183,5.7374,5.68967,6.57748
2003-02-13,,,BMO,2.82574,2.70164,3.23624,3.05485
2002-10-24,,,BMO,1.30786,1.27922,1.22194,1.12648
2002-07-25,,,BMO,2.1384,2.33887,1.68972,1.48924
2002-04-25,,,BMO,7.53212,6.95934,7.55122,7.27437
2002-02-05,,,AMC,11.71346,10.99747,9.45095,9.81372
2001-10-25,,,AMC,12.59173,12.51535,13.97596,13.43181
2001-07-26,,,AMC,33.36473,32.55328,35.60814,35.87544
2001-04-26,,,,45.82281,44.86816,45.29776,45.50777
2001-01-29,,,,56.02554,56.99212,53.8418,55.01601
2000-10-26,,,AMC,49.16405,48.68673,51.78932,53.34061
2000-07-27,,,AMC,49.40271,50.29769,48.62707,51.01367
2000-04-27,,,,40.81094,40.30378,42.92905,41.94458
2000-02-03,,,,37.85751,38.36467,35.9184,38.18567
1999-10-21,,,,26.07365,26.25265,26.43164,26.31231
1999-07-22,,,BMO,26.90897,26.58081,25.92449,27.20729
1999-04-20,,,BMO,24.04504,24.3732,24.22404,23.26939
