Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-06,,0.71,AMC,60.0,60.0,62.83,63.16
2015-01-28,0.99,1.01,AMC,56.06467,55.07009,47.51125,47.9986
2014-10-22,1.14,1.02,AMC,55.96175,54.68472,56.22903,56.62501
2014-07-30,1.1,1.09,AMC,66.29102,65.75872,60.46529,60.86945
2014-04-16,0.96,0.95,AMC,64.43796,65.08607,65.47886,65.98949
2014-01-28,1.08,1.04,AMC,62.18251,61.80115,63.80577,63.18972
2013-10-16,1.09,1.06,AMC,62.60117,62.77657,65.72927,65.58311
2013-07-17,0.98,0.99,AMC,62.81333,62.90071,60.93961,60.98815
2013-04-17,,1.0,AMC,59.585,58.26003,55.85186,56.8867
2013-01-22,,0.99,AMC,62.09151,61.98552,62.31313,59.84643
2012-10-17,1.1,1.08,AMC,51.66619,52.12716,53.51005,53.13552
2012-07-17,1.24,1.23,AMC,54.85269,54.76657,53.2163,55.05365
2012-04-18,1.2,1.16,AMC,61.15443,62.23217,60.78247,62.41338
2012-01-23,1.11,1.09,AMC,56.70033,57.12815,59.57148,59.02957
2011-10-24,1.28,1.19,AMC,44.08447,46.05515,48.28164,49.94913
2011-07-21,1.23,1.12,AMC,64.29201,65.99111,63.1404,64.84893
2011-04-19,1.15,0.96,AMC,53.58456,54.44138,61.07943,61.19241
2011-01-24,0.92,0.87,AMC,54.15566,54.16505,53.50793,53.6112
2010-10-21,1.02,0.85,AMC,45.28252,45.58215,45.90052,46.8837
2010-07-26,0.89,0.76,AMC,41.26473,42.22589,41.52601,40.40621
2010-04-26,0.74,0.63,AMC,41.53584,41.65674,41.15452,42.07526
2010-01-25,0.64,0.58,AMC,33.45165,33.83168,34.63807,34.16536
2009-10-26,0.57,0.55,AMC,31.92218,31.33103,30.49972,29.42826
2009-07-22,0.41,0.33,AMC,24.24983,25.02288,27.74696,27.97703
2009-04-27,,0.28,AMC,24.91953,24.7363,23.64607,24.13163
2009-01-26,0.42,0.48,AMC,20.3814,20.46325,19.3355,20.91799
2008-10-27,0.61,0.65,,18.9174,17.23545,18.70941,19.80359
2008-07-21,0.67,0.65,BMO,35.32379,34.96334,34.58487,33.20616
2008-04-21,0.7,0.66,AMC,33.92217,35.04542,33.81433,34.4793
2008-01-28,0.6,0.59,AMC,33.40929,35.01258,31.67165,31.88662
2007-10-22,,0.61,AMC,41.57476,42.54868,40.83315,41.30671
2007-07-24,0.59,0.54,AMC,36.89278,36.24225,37.08883,36.3581
2007-04-23,0.6,0.55,AMC,38.83847,39.17619,35.92336,38.03859
2007-01-23,0.59,0.47,AMC,32.02264,32.02264,34.13709,34.341
2006-10-18,0.63,0.44,AMC,24.56324,24.72684,27.09252,27.30477
2006-07-24,0.45,0.35,AMC,19.87546,20.11784,22.12742,22.43151
2006-04-25,0.36,0.31,,20.50884,20.70204,21.47479,20.97865
2006-01-25,0.36,0.28,,17.59872,17.2882,18.56087,19.30873
2005-10-24,0.23,0.29,AMC,15.48113,15.60307,15.14146,15.07179
2005-07-19,0.3,0.29,AMC,16.10988,16.62578,16.04052,16.04485
2005-04-26,0.27,0.23,BMO,14.09978,14.57035,15.42946,15.41219
2005-02-02,,,AMC,15.22191,15.29071,15.11871,15.3251
2004-10-28,,,BMO,15.03509,15.27925,15.32209,15.35636
2004-07-22,,,,12.79601,13.22681,13.06046,13.02207
2004-04-21,,,BMO,12.52004,12.31208,12.18901,12.68981
2004-01-29,,,BMO,12.79485,12.7864,12.66394,12.49504
2003-10-21,,,BMO,11.98305,11.857,11.69314,11.21415
2003-07-23,,,BMO,11.75223,11.96545,11.60172,11.45121
2003-04-23,,,BMO,10.23138,10.44766,10.43518,10.75543
2003-01-23,,,BMO,11.73834,11.60608,11.66808,11.49862
2002-10-23,,,BMO,11.49566,11.21588,11.32285,11.01838
2002-07-25,,,BMO,10.82713,11.425,11.83449,11.425
2002-04-19,,,,11.53003,11.68502,11.50556,11.50556
2002-01-23,,,,9.2232,9.53159,9.24349,9.62898
2001-10-19,,,BMO,8.06258,7.99398,8.08679,8.28856
2001-07-23,,,,8.41976,8.25466,8.29493,8.31909
2001-04-20,,,BMO,8.94709,9.04316,9.23131,9.20329
2001-01-19,,,BMO,9.231,9.38029,9.08171,9.65399
2000-10-17,,,BMO,7.8908,7.76712,7.86606,8.11342
2000-07-18,,,BMO,8.76481,8.78943,8.74019,8.74019
2000-04-17,,,,7.79117,7.64417,7.42367,7.64417
2000-01-20,,,,7.08064,6.98331,7.08064,6.95898
1999-10-15,,,BMO,7.23474,7.23474,7.5009,7.33153
1999-07-16,,,BMO,7.57786,7.67409,7.69814,7.57786
