Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-07,,0.87,BMO,49.01765,48.74055,48.602,48.36448
2015-02-17,,0.68,BMO,54.25293,53.09504,52.23404,53.96593
2014-11-03,0.97,0.72,BMO,50.69795,50.74652,50.67852,50.98938
2014-08-01,0.46,0.44,BMO,45.83188,45.1108,46.02417,45.37039
2014-05-07,0.83,0.85,BMO,48.15339,47.66785,48.77221,48.23907
2014-02-14,0.82,0.84,BMO,46.34454,47.19184,47.38225,48.74364
2013-11-01,0.63,0.73,BMO,47.76079,47.17265,46.6872,47.50873
2013-08-01,0.35,0.4,BMO,49.65302,49.59752,49.33852,49.17203
2013-05-08,,0.76,BMO,46.40795,47.00363,47.37937,46.6004
2013-02-15,,0.75,BMO,42.96218,42.77889,42.54062,42.97134
2012-10-31,,0.73,BMO,37.25605,37.10361,37.31881,37.14845
2012-08-02,0.39,0.37,BMO,36.76208,36.72662,36.39854,36.85076
2012-05-02,0.66,0.77,BMO,36.12323,36.07063,35.64988,35.45704
2012-02-15,0.53,0.57,BMO,36.17582,35.98298,35.80766,36.55274
2011-11-02,0.57,0.54,BMO,33.85718,32.88886,33.44586,33.43729
2011-07-29,0.4,0.47,BMO,34.67297,34.41056,34.07195,34.33437
2011-04-29,0.89,0.81,BMO,34.05106,34.20177,33.90036,34.09293
2011-02-16,0.38,0.44,BMO,31.42209,31.39697,31.27138,31.31325
2010-10-29,0.56,0.38,BMO,29.89076,29.95615,29.73546,29.41669
2010-08-04,0.57,0.37,BMO,29.63669,29.8628,30.09699,29.97585
2010-04-30,0.68,0.64,BMO,29.40231,29.56987,29.09911,30.06456
2010-02-12,0.56,0.53,BMO,24.57507,24.95008,25.22934,25.89956
2009-10-30,0.49,0.52,BMO,26.64877,26.63325,26.27617,25.88804
2009-08-05,0.34,0.29,BMO,24.86572,24.81208,25.04196,25.4864
2009-05-01,0.66,0.68,BMO,19.80171,19.62834,20.2389,20.48765
2009-02-13,0.78,0.81,BMO,23.1937,22.92234,22.76405,21.95751
2008-10-31,0.85,0.7,BMO,26.83607,27.45265,25.69098,26.50575
2008-08-01,0.37,0.49,BMO,30.6144,30.91219,29.77187,28.37733
2008-05-02,0.82,0.81,BMO,30.03101,30.57742,29.85127,29.59245
2008-02-15,0.77,0.69,BMO,27.15517,26.67346,27.27739,26.83883
2007-10-26,0.58,0.62,BMO,31.33265,32.2335,32.02236,30.98075
2007-07-27,0.8,0.89,BMO,33.47715,32.68257,30.86338,30.97491
2007-05-04,0.93,0.8,BMO,34.14217,34.22511,34.37025,34.54994
2007-02-16,0.82,0.79,BMO,33.60308,33.58926,33.81734,34.01777
2006-10-30,0.78,0.76,BMO,30.26002,30.01522,30.43002,30.66802
2006-07-28,0.49,0.52,BMO,32.38406,32.38406,32.3301,31.31156
2006-05-05,0.68,0.79,BMO,31.58288,31.60296,32.2389,32.32592
2006-02-16,0.88,0.55,BMO,29.21985,29.44745,30.12356,30.40471
2005-10-28,0.58,0.55,BMO,27.99332,27.35396,28.39539,29.00838
2005-07-29,0.39,0.38,BMO,31.42326,31.42326,31.63274,31.23341
2005-04-29,0.78,0.57,BMO,26.54557,26.40254,27.09169,27.23473
2005-02-10,,,BMO,27.18716,27.00643,26.90315,26.59758
2004-10-22,,,BMO,21.00093,21.02013,21.44245,21.39766
2004-07-21,,,AMC,50.98365,49.40511,42.27135,43.18204
2004-04-22,,,BMO,51.53674,52.69537,54.17,53.89915
2004-01-30,,,BMO,48.87339,49.05236,48.84357,48.54528
2003-10-24,,,BMO,40.6366,40.31162,42.83756,42.6603
2003-07-24,,,,38.13176,38.39484,38.36562,38.52639
2003-04-25,,,BMO,32.47279,32.61724,32.64613,33.51284
2003-01-24,,,BMO,28.35137,28.62192,29.59023,28.90672
2002-10-18,,,BMO,28.81813,29.25392,28.11525,28.46669
2002-07-19,,,BMO,33.46783,33.25936,32.31425,29.8264
2002-04-25,,,BMO,42.05296,41.52953,40.84082,40.75817
2002-01-24,,,BMO,34.0984,33.74378,34.35755,35.21683
2001-10-18,,,BMO,31.36258,31.28168,29.63669,29.73108
2001-07-19,,,BMO,31.62148,31.38141,31.54145,31.48811
2001-04-18,,,BMO,34.02859,33.8967,32.16889,31.87872
2001-01-18,,,BMO,27.05044,27.5393,27.21339,28.10964
2000-10-18,,,BMO,27.92322,27.60134,27.4404,27.19899
2000-07-19,,,BMO,26.56157,26.87968,26.72062,27.03873
2000-04-19,,,BMO,22.26776,21.71891,21.71891,22.18936
2000-01-18,,,BMO,21.61056,21.30184,20.91593,21.22466
1999-10-18,,,BMO,20.60452,20.37642,20.75658,20.52849
1999-07-21,,,AMC,23.00005,23.37464,23.37464,23.37464
