Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-29,,1.27,AMC,88.47,86.38,88.24,89.64
2015-01-28,1.45,1.07,AMC,86.84,86.88,86.92,84.59
2014-10-29,1.74,1.21,AMC,74.39,74.52,82.05,82.29
2014-08-20,1.51,1.43,AMC,70.24,70.4,71.09,71.13
2014-04-30,1.21,1.23,AMC,69.2,69.65,72.31,72.78
2014-01-29,1.96,1.39,AMC,77.4,76.02,74.4,74.02
2013-10-29,1.74,1.25,AMC,70.85,71.17,70.94,71.98
2013-08-14,1.56,1.61,AMC,68.38,68.75,68.01,68.8
2013-05-01,,1.64,AMC,58.49,57.25,57.9,61.26
2013-01-30,,1.64,AMC,56.07,55.27,53.63,54.77
2012-10-31,,1.49,AMC,49.45,50.43,53.88,53.53
2012-08-15,1.59,1.5,AMC,56.55,57.38,53.23,52.16
2012-05-02,1.45,1.43,AMC,61.47,61.42,51.52,49.16
2012-02-01,1.51,1.3,AMC,58.69,58.93,59.13,59.7
2011-11-02,1.41,1.11,AMC,53.14,54.25,58.04,56.97
2011-08-17,1.44,1.17,AMC,49.73,48.82,48.81,49.78
2011-05-04,1.16,1.03,AMC,60.11,59.57,60.94,61.14
2011-02-02,1.08,0.97,AMC,56.36,55.5,58.04,57.08
2010-10-27,0.92,0.88,AMC,46.74,46.29,50.27,50.12
2010-08-17,0.96,0.93,AMC,40.36,40.75,43.44,42.5
2010-04-28,0.87,0.85,AMC,51.26,50.51,47.93,47.43
2010-01-27,0.85,0.81,AMC,47.61,48.52,47.88,47.97
2009-10-28,0.78,0.75,AMC,48.16,47.87,47.0,47.62
2009-08-12,0.95,0.92,AMC,46.33,47.36,47.0,45.87
2009-04-29,0.77,0.76,AMC,35.85,37.41,39.55,39.83
2009-01-28,0.73,0.7,AMC,42.29,43.31,45.82,45.15
2008-10-28,0.69,0.68,AMC,37.77,38.32,37.9,39.07
2008-08-13,,0.77,AMC,48.68,48.9,49.28,50.31
2008-04-30,0.73,0.7,AMC,49.33,50.12,48.97,51.47
2008-01-30,,0.63,AMC,42.97,42.05,43.59,43.83
2007-10-31,0.6,0.58,AMC,51.96,53.85,52.14,50.2
2007-08-15,0.67,0.63,AMC,45.64,45.33,48.31,51.2
2007-05-02,,0.59,AMC,45.56,46.9,47.38,46.65
2007-01-31,,0.65,AMC,46.63,47.03,47.58,47.8
2006-11-01,0.6,0.58,AMC,57.54,57.35,57.16,57.66
2006-08-16,0.71,0.72,,49.15,50.13,51.57,52.03
2006-04-26,0.69,0.7,AMC,65.5,64.89,63.23,62.54
2006-01-25,0.72,0.7,AMC,59.66,58.24,58.0,57.71
2005-10-26,,0.62,AMC,59.41,60.5,52.21,53.99
2005-08-17,,,AMC,63.66,62.48,62.75,62.7
2005-04-20,,,AMC,52.52,51.75,61.07,62.82
2005-01-24,,,AMC,59.3,60.4,52.4,52.0
2004-10-20,,,AMC,55.7,56.27,59.89,59.1
2004-08-18,,,AMC,40.0,40.92,46.55,48.68
2004-04-21,,,AMC,45.6,46.7,48.06,47.85
2004-01-21,,,AMC,45.6,43.15,46.41,46.85
2003-10-22,,,AMC,44.5,44.1,47.53,47.09
2003-08-13,,,AMC,40.9,39.68,43.09,44.57
2003-04-24,,,BMO,35.04,34.96,33.5,33.06
2003-01-23,,,BMO,34.88,35.62,37.35,37.21
2002-10-22,,,BMO,37.91,38.58,38.7,38.45
2002-08-14,,,BMO,32.57,32.75,32.75,33.88
2002-04-23,,,BMO,39.77,40.49,32.0,32.23
2002-01-22,,,BMO,33.55,33.02,33.98,36.89
2001-10-18,,,BMO,26.675,26.5,26.335,27.05
2001-08-16,,,BMO,20.53,20.21,21.0,20.55
2001-04-19,,,BMO,14.12,14.6,15.175,15.0
2001-01-18,,,BMO,12.875,12.75,12.53125,12.1875
2000-10-19,,,,9.5625,9.90625,9.96875,9.9375
2000-08-17,,,BMO,9.59375,9.9375,10.0,10.5
2000-04-20,,,BMO,12.375,11.83594,12.03125,11.1875
2000-01-20,,,BMO,10.65625,10.71875,11.25,12.0
