Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-23,,0.7,BMO,48.66,49.02,52.78,52.81
2015-01-29,1.34,1.2,BMO,44.4,42.23,42.23,44.78
2014-10-23,1.17,1.11,BMO,59.78,58.31,60.35,59.84
2014-07-24,1.0,0.88,BMO,69.08,69.57,72.44,74.15
2014-04-24,0.75,0.72,BMO,64.11,64.18,64.9,64.6
2014-01-30,1.0,0.96,BMO,57.55,56.73,60.33,59.97
2013-10-24,0.81,0.83,BMO,64.2,62.82,53.85,53.25
2013-07-25,0.79,0.78,BMO,64.38,63.57,60.0,57.18
2013-04-25,,0.74,BMO,61.09,62.47,60.38,60.4
2013-01-31,,0.95,BMO,61.79,60.9,63.31,65.46
2012-10-31,,0.88,BMO,51.08,51.24,50.64,50.85
2012-07-26,0.74,0.73,BMO,44.35,44.84,49.91,51.82
2012-04-26,,0.54,BMO,49.01,49.25,51.45,51.28
2012-02-02,,,BMO,53.2,54.16,53.22,55.83
2011-10-27,,,BMO,50.86,51.53,52.07,51.78
2011-07-28,,,BMO,52.28,50.56,55.23,55.94
2011-04-28,,,BMO,54.55,54.44,52.2,52.72
2011-02-02,,,BMO,53.3,53.68,56.08,56.99
2010-11-02,,,BMO,43.75,43.89,43.4,43.66
2010-08-04,,,BMO,40.63,39.64,38.98,39.49
2010-04-29,,,BMO,43.59,44.47,38.7,39.46
2010-02-09,,,BMO,37.31,36.91,39.33,39.25
2009-11-03,,,BMO,36.97,37.42,38.38,38.47
2009-08-04,,,BMO,31.23,32.96,34.6,34.69
2009-05-07,,,BMO,27.48,28.19,29.06,30.5
2009-02-03,0.75,0.74,,21.98,21.24,21.66,21.92
2008-10-30,0.73,0.71,BMO,20.67,21.94,24.44,24.26
2008-07-30,0.65,0.62,,46.58,49.82,47.76,48.96
2008-05-01,0.55,0.54,,49.23,47.65,47.65,48.44
2008-01-31,0.61,0.6,BMO,44.39,43.06,39.92,42.12
2007-11-01,0.57,0.55,BMO,47.395,48.68,47.72,49.3
2007-07-31,0.51,0.47,,39.05,39.0,38.32,38.705
2007-04-27,0.44,0.41,,33.425,33.47,32.285,32.575
2007-02-02,0.46,0.43,BMO,26.25,26.49,26.625,27.2
2006-11-01,0.4,0.37,BMO,25.3,25.05,24.94,24.73
2006-07-27,0.32,0.27,,24.0,24.9,24.71,25.205
2006-04-27,0.26,0.21,,24.09,23.93,25.12,25.785
2006-01-31,0.24,0.23,BMO,24.445,25.11,24.195,23.215
2005-10-27,0.22,0.2,BMO,17.3375,17.16,17.3,17.85
2005-07-21,0.18,0.15,BMO,16.295,16.4625,16.75,17.3775
2005-04-25,0.13,0.1,BMO,13.8,13.98,14.34,14.29
2005-02-09,,,BMO,14.375,14.25,13.975,14.275
2004-10-29,,,BMO,12.5075,12.2275,12.0875,12.1675
2004-07-28,,,BMO,12.3075,12.4425,12.7475,12.77
2004-04-28,,,BMO,11.9825,12.1875,12.5175,12.065
2004-01-28,,,BMO,12.2375,12.08,10.5,10.6
2003-10-28,,,BMO,10.815,10.72,10.5725,10.56
2003-07-30,,,BMO,12.0025,11.6675,11.875,11.9525
2003-04-29,,,BMO,11.875,11.6875,11.5425,11.965
2003-01-29,,,BMO,11.5225,11.495,11.7375,11.9125
2002-10-29,,,BMO,10.8875,11.235,10.975,11.5025
2002-07-24,,,BMO,9.835,9.3575,10.1775,10.19
2002-04-30,,,BMO,13.9425,13.895,13.71,13.86
2002-01-30,,,BMO,10.0275,9.935,10.13,10.6325
2001-10-30,,,BMO,10.775,10.67,9.975,9.75
2001-07-31,,,,13.3725,12.7275,12.4175,12.5925
2001-04-30,,,BMO,15.5875,14.905,15.765,16.02
2001-01-30,,,BMO,15.48438,15.1725,15.625,16.0575
2000-10-26,,,BMO,15.89062,15.375,15.34375,13.875
2000-07-28,,,BMO,15.625,16.09375,16.0,16.15625
2000-04-27,,,BMO,17.15625,16.98438,18.5,18.75
2000-01-27,,,BMO,12.32812,12.09375,11.5,11.89062
1999-10-26,,,BMO,10.03125,9.75,9.8125,9.82812
1999-07-21,,,BMO,8.82812,8.29688,8.5625,8.78125
