Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-03-24,,-0.1,AMC,5.89,5.86,5.29,5.23
2014-12-04,0.24,0.18,BMO,6.61,6.87,4.95,4.6
2014-09-03,0.09,0.05,AMC,9.88,9.59,10.65,11.04
2014-06-10,0.07,0.02,BMO,6.7,6.65,7.29,7.55
2014-03-13,-0.01,-0.03,BMO,6.1,6.18,6.69,6.5
2013-12-04,0.23,0.13,BMO,6.14,6.48,6.94,6.9
2013-09-10,-0.01,-0.02,BMO,5.53,5.89,6.61,7.33
2013-06-07,0.05,0.26,BMO,6.4,6.83,6.96,7.08
2013-03-13,,-0.03,AMC,6.39,6.57,6.01,6.25
2012-11-29,,0.01,AMC,3.5,3.67,4.57,4.53
2012-08-29,,0.06,AMC,2.37,2.36,2.35,2.46
2012-06-05,0.06,0.07,AMC,1.12,1.07,1.05,1.03
2012-03-27,0.09,0.02,AMC,2.38,2.36,1.99,1.91
2011-12-22,0.11,,AMC,2.37,2.35,2.36,2.31
2011-10-05,0.35,0.09,AMC,3.67,3.61,3.57,3.39
2011-06-30,0.59,0.14,AMC,5.55677,5.58591,6.31238,6.36146
2011-04-14,0.18,0.05,AMC,6.16879,6.20765,6.25622,6.10079
2010-12-22,0.08,0.03,AMC,5.42886,5.47648,5.42886,5.88603
2010-09-30,0.26,0.01,AMC,7.42749,7.46524,6.29497,6.2289
2010-06-30,0.48,0.25,AMC,5.98114,5.79394,6.83292,6.5781
2010-04-15,-1.16,-0.65,AMC,9.5848,10.08089,10.09025,10.10897
2010-01-06,-0.85,-0.58,AMC,6.87883,7.05379,6.15135,6.24343
2009-09-24,-0.51,-0.61,AMC,7.19726,7.13341,6.85063,6.74116
2009-06-25,-0.54,-0.56,BMO,5.00798,5.0171,5.8016,6.06613
2009-04-09,-0.9,-0.21,AMC,4.51004,4.41082,3.77039,3.60803
2009-03-26,,,AMC,4.52808,4.93398,3.58097,3.47273
2009-01-07,-0.34,0.33,AMC,4.31057,4.21261,4.4976,4.54213
2008-09-25,0.39,0.36,AMC,7.89059,7.61789,7.05491,6.50952
2008-06-26,0.34,0.53,AMC,8.34224,7.71264,6.12114,5.94625
2008-04-09,0.25,0.32,AMC,8.93367,8.5513,9.95044,9.28129
2007-12-27,0.41,0.45,AMC,11.59147,11.1596,9.63941,9.88989
2007-09-27,0.94,0.56,AMC,10.01952,9.83031,10.42374,10.49254
2007-06-28,0.74,0.61,AMC,15.23548,15.24404,14.67913,14.49939
2007-04-11,0.43,0.49,AMC,16.19468,16.17762,15.53768,15.50355
2006-12-19,0.27,0.33,AMC,15.56311,15.26545,16.60916,16.37954
2006-09-19,0.35,0.74,AMC,23.14047,23.40324,24.58145,24.97136
2006-06-20,0.9,0.39,AMC,23.8343,23.91887,24.3756,23.85121
2006-04-05,0.41,0.45,AMC,19.21305,19.72821,21.22303,20.76698
2005-12-20,0.35,0.23,,13.91783,13.87568,15.15703,15.13174
2005-09-20,0.24,0.23,,13.88533,13.5321,11.55569,11.96779
2005-06-21,0.53,0.25,,15.82296,16.35151,15.52093,15.0595
2005-04-06,,,AMC,14.82653,14.82653,15.00234,14.70933
2004-12-21,,,,13.87977,14.01339,15.60848,15.28278
2004-09-21,,,AMC,15.49839,16.05667,13.82357,13.32362
2004-06-22,,,AMC,14.79873,14.6657,14.05048,14.09205
2004-04-07,,,,17.33555,17.4102,17.21113,17.17796
2003-12-23,,,AMC,18.04629,17.09431,15.52974,15.72014
2003-09-23,,,,22.65423,22.38159,20.82009,20.05172
2003-06-24,,,,18.07894,18.12295,19.75099,20.22399
2003-04-09,,,AMC,11.92429,11.64378,13.00782,12.89232
2002-12-19,,,AMC,11.44028,10.72526,11.74279,11.26427
2002-09-24,,,,19.27798,19.36048,17.02291,16.08239
2002-06-25,,,,23.48008,22.19855,22.55055,22.96306
2002-04-10,,,AMC,20.92251,20.76301,20.3065,20.488
2001-12-20,,,AMC,15.32888,15.84039,17.94694,18.84346
2001-09-25,,,AMC,9.71691,9.30257,10.41359,10.26692
2001-06-21,,,BMO,11.74829,11.44028,12.26897,12.1553
2001-04-11,,,BMO,12.65031,12.52198,12.46331,11.91695
