Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.02,AMC,6.99891,6.85,6.82,6.92
2015-02-19,,,AMC,7.56478,7.41587,7.46551,7.52507
2014-10-30,,0.14,AMC,6.54259,6.58177,6.73848,6.68951
2014-08-06,0.14,0.13,AMC,6.07246,6.14102,6.05288,6.11164
2014-05-06,0.13,0.12,AMC,5.89718,5.849,5.96559,5.95587
2014-02-25,,0.13,AMC,6.10917,6.13808,5.9839,5.79118
2013-11-07,,0.13,AMC,5.37099,5.34232,5.19897,5.16074
2013-08-06,,0.12,AMC,5.13408,5.11531,5.03006,5.09637
2013-05-09,0.12,0.11,AMC,6.04452,6.02574,6.02574,6.00697
2013-03-07,0.12,0.09,AMC,5.32724,5.25273,5.34587,5.34587
2012-11-08,0.11,0.1,AMC,4.76248,4.6148,4.65172,4.56866
2012-08-09,0.16,0.11,AMC,4.69909,4.66252,4.8088,4.93679
2012-05-07,,0.11,AMC,4.4099,4.59813,4.45471,4.39134
2012-03-06,0.12,0.11,AMC,4.23063,4.20375,4.46368,4.36508
2011-11-09,0.12,0.11,AMC,3.31995,3.08027,2.81396,3.00926
2011-08-04,0.12,0.1,AMC,3.90286,3.70814,3.36103,3.20864
2011-05-05,0.14,0.13,AMC,4.75013,4.7918,4.65634,4.82566
2011-03-02,0.15,0.12,AMC,4.9668,5.00847,5.01681,4.95847
2010-10-27,,0.15,AMC,5.33819,5.28958,5.07897,5.11137
2010-07-28,,0.16,AMC,5.21887,5.13908,4.91564,4.94756
2010-05-06,,0.18,AMC,5.95303,5.60191,5.38645,5.64181
2010-03-03,,0.21,AMC,5.47206,5.4484,5.36167,5.3459
2009-10-28,,0.23,AMC,4.74374,4.6582,4.96149,4.72041
2009-07-29,,0.24,AMC,3.88054,3.77944,4.11384,4.12939
2009-05-05,,0.25,AMC,2.97067,2.58962,3.08732,3.25841
