Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-29,,1.09,BMO,68.96358,70.20466,71.74358,72.41872
2015-01-28,,1.11,BMO,63.54641,62.5806,61.25014,61.41768
2014-10-29,1.19,1.1,BMO,75.91099,77.27197,78.06506,78.39795
2014-07-30,1.02,1.01,BMO,76.10654,75.84386,77.24478,75.8536
2014-04-23,0.96,0.97,BMO,74.86974,75.1693,76.62843,75.41087
2014-01-29,0.99,0.97,BMO,70.58168,70.63927,69.81386,71.87737
2013-10-30,,0.96,BMO,68.27444,68.04569,68.39836,67.4738
2013-07-24,,0.94,BMO,68.44576,69.08942,68.42683,67.94408
2013-04-24,,,BMO,57.51313,57.94521,57.06227,56.42355
2013-01-30,0.98,0.93,BMO,54.61388,54.57661,55.20092,54.87479
2013-01-21,,,BMO,53.62615,54.12933,54.25047,54.38092
2012-10-24,,,BMO,50.61776,50.39608,49.99889,51.36594
2012-07-25,,,BMO,51.15468,50.90742,50.1565,50.24807
2012-04-25,,,BMO,51.12141,51.7753,52.99226,53.16482
2012-01-25,,,BMO,51.42373,51.45076,51.66697,50.81112
2011-10-26,,,BMO,43.85467,42.82857,42.92672,45.05922
2011-07-27,,,BMO,49.23312,48.99438,48.35775,47.95985
2011-04-27,,,BMO,52.30012,53.00178,52.1861,51.90543
2011-01-26,,,BMO,53.3487,53.78384,51.27741,50.98151
2010-10-27,,,BMO,44.95591,45.27523,46.12102,45.59456
2010-07-28,,,BMO,45.47462,45.78263,46.28743,47.57937
2010-04-28,,,BMO,49.6567,49.04575,49.16455,50.5901
2010-01-27,0.86,0.75,BMO,43.31255,43.53143,44.30592,44.14597
2009-10-21,0.75,0.77,BMO,42.29577,42.24571,40.49382,40.92762
2009-07-22,0.63,0.73,BMO,39.16793,39.13485,36.60415,37.9522
2009-04-22,0.76,0.83,BMO,38.57196,40.07189,38.0392,37.32612
2009-01-28,0.89,0.87,BMO,32.17837,33.65541,38.18391,35.77358
2008-10-22,0.82,0.88,BMO,43.14945,42.2235,41.56325,40.81444
2008-07-23,,0.89,BMO,41.05883,43.04826,42.61682,41.19466
2008-04-23,0.89,0.92,BMO,42.56437,42.04897,42.23927,43.59518
2008-01-23,,0.93,BMO,35.72199,37.13103,41.0984,40.98032
2007-10-24,0.95,0.92,BMO,38.1469,38.15471,39.43539,40.55207
2007-07-25,0.89,0.88,,39.41233,40.16385,39.78421,39.31936
2007-04-25,0.84,0.89,,40.84888,40.25675,40.41055,39.9953
2007-01-31,0.84,0.87,,40.94169,40.91112,40.98755,41.30854
2007-01-24,0.84,0.87,BMO,41.72889,41.43847,41.1939,40.59777
2006-10-25,,0.88,BMO,44.10217,43.95787,42.9174,41.89213
2006-10-16,,0.88,,44.23129,44.14014,44.14774,44.32242
2006-07-26,0.86,0.85,BMO,43.7575,43.56118,44.11995,44.15015
2006-07-17,0.86,0.85,AMC,42.51915,42.45874,42.91935,43.59893
2006-04-26,0.83,0.81,BMO,40.2249,40.67526,42.04887,42.7094
2006-04-12,0.83,0.81,AMC,39.2266,39.26413,39.56437,39.61691
2006-01-25,,0.81,BMO,39.75954,40.55832,40.17759,39.90884
2006-01-23,,0.81,AMC,39.57291,39.75954,40.55832,40.17759
2005-10-26,0.79,0.77,BMO,37.81771,37.3797,37.78059,37.48364
2005-10-17,0.79,0.77,AMC,36.76351,36.46655,36.59276,37.12729
2005-07-27,0.77,0.73,BMO,36.22079,36.47903,36.60447,36.85534
2005-07-18,0.77,0.73,AMC,36.29457,36.16176,35.93303,36.39787
2005-04-27,0.7,0.72,BMO,31.62527,31.11223,31.58862,31.74253
2005-04-13,0.7,0.72,AMC,33.64078,33.15706,32.49744,32.05769
2005-01-26,,,BMO,33.59439,33.62355,33.44865,33.90775
2005-01-25,,,AMC,33.59439,33.62355,33.44865,33.90775
2004-10-27,,,BMO,33.58363,33.88077,34.06195,34.53302
2004-10-12,,,AMC,34.23588,34.35184,33.95324,33.48217
2004-07-28,,,BMO,30.97954,31.08761,31.03718,31.03718
2004-07-12,,,AMC,31.54149,31.81527,31.90893,31.80807
2004-04-28,,,BMO,30.44252,30.82923,30.75762,30.6502
2004-04-12,,,AMC,30.27065,30.27781,29.61182,29.48291
2004-01-28,,,BMO,29.63782,29.54527,28.88317,28.83334
2004-01-21,,,AMC,29.23202,28.97572,28.80486,28.93301
2003-10-22,,,BMO,27.87715,27.57283,27.15528,27.11989
2003-10-14,,,AMC,27.99747,28.09655,27.65068,27.97623
2003-07-23,,,BMO,23.65952,23.84936,24.48919,25.19932
2003-07-14,,,,23.2025,23.89154,23.79311,24.25716
2003-04-23,,,BMO,22.2319,22.79031,22.78333,22.74843
2003-04-10,,,,21.09413,21.31749,21.35937,21.65952
2003-01-22,,,,22.46156,21.80317,21.94871,21.58833
2002-10-23,,,BMO,24.24609,23.79174,24.10152,23.78485
2002-10-10,,,BMO,21.57503,20.34276,21.8917,22.46309
2002-07-23,,,AMC,20.69879,20.11717,21.89624,22.92263
2002-07-15,,,,22.98421,22.5326,22.92947,22.68998
2002-04-24,,,BMO,25.15638,24.59855,25.88426,26.27882
2002-04-12,,,,24.89787,25.15638,25.37406,25.82304
2002-01-23,,,BMO,20.41795,20.35034,20.62078,21.31715
2001-10-24,,,BMO,16.17936,15.99154,16.70257,17.44043
2001-10-15,,,,16.48792,16.60195,16.50133,16.33364
2001-07-25,,,BMO,22.24326,22.14264,22.06886,22.39083
2001-07-12,,,AMC,22.13593,22.1896,22.56524,22.12252
2001-04-18,,,AMC,23.26906,23.32238,21.38274,21.32275
2001-04-12,,,BMO,23.31572,23.28905,23.19574,23.0291
2001-01-24,,,BMO,24.32565,24.94726,25.19591,24.9887
2001-01-23,,,AMC,24.32565,24.94726,25.19591,24.9887
2000-10-26,,,BMO,20.6442,20.10852,19.69646,20.14973
2000-10-11,,,BMO,21.09746,20.6854,19.69646,18.74872
2000-07-26,,,BMO,18.5477,18.46581,18.34298,18.38392
2000-07-11,,,,18.75242,18.34298,18.79336,18.1792
2000-04-25,,,AMC,16.34414,17.27926,16.79137,16.26283
2000-04-10,,,AMC,16.54743,16.46611,17.2386,17.19794
2000-01-20,,,BMO,16.44985,16.28858,16.12731,15.8854
2000-01-18,,,AMC,16.73208,16.44985,16.28858,16.12731
1999-10-19,,,BMO,15.98531,16.18563,16.70645,16.62633
1999-07-15,,,BMO,17.7116,17.19418,17.27378,17.35338
