Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-06,,-0.07,AMC,17.3,17.24,16.0,16.65
2015-02-11,,0.43,AMC,11.57,11.46,11.62,12.98
2014-10-29,0.47,0.34,AMC,18.0,18.97,18.62,19.31
2014-07-30,0.28,0.25,AMC,32.58,32.47,29.96,29.15
2014-04-30,0.21,0.17,AMC,30.28,30.06,29.62,29.87
2014-02-12,0.13,0.23,AMC,24.74,24.93,24.36,24.5
2013-10-30,0.25,0.36,AMC,22.29,21.9,23.04,23.2
2013-07-31,0.39,0.38,AMC,19.39,19.35,21.25,21.15
2013-05-01,,0.56,AMC,19.79,19.29,18.35,18.08
2013-02-13,,0.67,AMC,23.46,23.67,25.04,24.77
2012-10-31,,0.88,AMC,19.46,19.38,20.69,20.27
2012-08-08,1.0,0.92,AMC,19.9,20.39,19.76,19.41
2012-05-09,0.92,0.97,AMC,18.31,18.67,19.94,19.2
2012-02-15,1.0,0.91,AMC,19.99,19.85,20.16,20.99
2011-11-09,0.89,0.78,AMC,20.19,19.33,20.28,20.86
2011-08-31,,,AMC,25.05,26.14,26.25,26.25
