Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-30,,0.08,AMC,12.24853,12.2189,12.05098,12.16951
2015-01-27,0.19,0.14,AMC,12.91549,12.6031,12.56405,12.78858
2014-10-23,0.23,0.09,AMC,11.36503,11.45193,12.40787,12.89067
2014-07-29,0.22,0.13,AMC,12.23773,12.31403,11.45558,11.3125
2014-04-24,0.2,0.12,AMC,12.26318,12.13101,11.77228,11.4041
2014-01-28,0.25,0.14,AMC,10.65017,11.10754,10.91153,11.06087
2013-10-22,0.2,0.13,AMC,9.37337,9.18904,9.08766,9.07844
2013-08-06,0.22,0.15,AMC,9.86352,9.81798,9.5994,9.70869
2013-05-07,,0.18,AMC,10.44162,10.56763,9.79352,9.91053
2013-02-04,,0.19,AMC,9.21547,9.08204,9.25105,9.36669
2012-11-06,,0.2,AMC,9.71992,9.74631,9.08659,8.85788
2012-08-02,0.18,0.17,AMC,9.30792,9.38628,9.46465,9.42111
2012-05-07,0.34,0.22,AMC,10.83765,10.96718,10.96718,10.72538
2012-02-02,0.0,0.21,AMC,11.27664,11.34519,11.36233,11.1224
2011-11-03,0.31,0.24,AMC,10.16254,10.76634,10.53673,10.44318
2011-08-02,0.32,0.26,AMC,11.38416,10.86938,12.16054,11.15631
2011-05-03,0.23,0.26,AMC,13.71242,13.31824,13.13373,12.89051
2011-04-28,0.23,0.26,AMC,13.89693,13.94725,13.64532,13.71242
2011-02-03,0.28,0.25,AMC,13.50937,13.50103,13.56775,14.00138
2010-10-26,0.23,0.22,AMC,9.98006,9.77283,9.82257,9.71481
2010-08-05,0.23,0.15,AMC,7.92124,7.83076,8.95766,8.82605
2010-05-04,0.24,0.21,AMC,10.66971,10.22786,11.16064,10.65334
2010-01-26,0.23,0.2,AMC,9.96485,9.84283,11.21757,10.92473
2009-10-27,0.13,0.16,AMC,10.45659,10.00336,8.7408,8.9917
2009-07-28,0.09,0.14,AMC,11.52462,11.56491,10.64617,11.06524
2009-04-30,0.17,0.1,AMC,8.55939,9.15302,9.87499,11.43124
2009-01-27,-1.24,0.03,AMC,4.40913,4.56802,5.11618,4.71896
2008-10-27,-0.05,0.06,AMC,4.84194,4.59748,4.68422,4.84982
2008-07-17,0.09,0.23,AMC,12.92486,13.32484,14.32872,13.74051
2008-04-22,0.02,0.19,AMC,13.08751,12.27637,12.15157,13.13431
2008-01-28,0.42,0.39,AMC,15.78352,17.07941,16.85438,16.83886
2007-10-23,0.32,0.34,AMC,24.07402,24.71589,25.24176,24.94016
2007-07-24,0.16,0.29,AMC,20.88329,20.37525,21.09882,20.02117
2007-04-23,0.32,0.34,AMC,18.39007,18.55865,17.82304,18.19084
2007-01-30,0.38,0.36,BMO,20.45576,20.22678,20.95952,20.90609
2006-10-24,0.34,0.35,AMC,22.0633,21.86549,21.72855,22.07091
2006-07-25,0.34,0.36,AMC,19.93642,20.16315,19.41496,19.7097
2006-04-25,0.38,0.37,AMC,30.49539,30.42,29.15344,28.96496
2006-01-30,0.35,0.33,AMC,26.24635,26.0208,26.11854,25.86292
2005-10-25,0.33,0.3,AMC,20.06165,19.75416,18.7867,18.23172
2005-07-26,0.3,0.28,BMO,21.83036,21.90517,21.65829,21.32911
2005-04-26,0.28,0.26,AMC,16.59691,16.27617,16.75356,17.05939
2005-01-31,,,,18.08877,18.84216,20.15499,21.39324
2004-12-06,,,BMO,18.96917,18.82783,18.1137,18.15089
