Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-23,,0.29,AMC,16.1061,16.22504,16.0169,16.06646
2015-01-27,0.33,0.28,AMC,15.16025,15.02279,14.70859,15.07531
2014-10-23,0.33,0.27,AMC,14.10935,14.23585,14.62507,14.69319
2014-07-24,0.29,0.27,AMC,14.80678,14.93209,14.86462,14.80678
2014-04-24,,0.28,AMC,15.96747,15.74769,15.55658,15.46102
2014-01-27,0.29,0.28,AMC,16.02667,15.75198,15.92248,15.69515
2013-10-28,0.3,0.32,BMO,15.97429,16.07759,15.58926,15.36387
2013-07-25,0.34,0.31,AMC,16.37959,16.52866,16.67774,16.63115
2013-04-25,,0.32,AMC,13.28169,13.26325,12.9681,13.04189
2013-01-24,,0.12,AMC,12.78307,13.1483,12.66437,12.41784
2012-10-25,,0.3,AMC,12.67883,12.70597,13.12196,13.11292
2012-07-26,0.34,0.3,AMC,12.83964,12.63371,13.17988,13.0993
2012-04-26,0.3,0.31,AMC,12.6097,12.69832,12.98188,12.28183
2012-01-26,0.38,0.33,AMC,12.10075,12.013,12.28503,12.1885
2011-10-27,0.33,0.35,AMC,10.67887,11.1556,10.60086,10.33215
2011-07-28,0.36,0.34,AMC,11.76487,11.76487,12.05663,12.18535
2011-04-27,,0.33,BMO,12.52234,12.77738,12.79438,13.00691
2011-01-28,0.31,0.33,BMO,12.52935,12.72314,12.78212,12.70629
2011-01-27,,0.33,AMC,12.52935,12.72314,12.78212,12.70629
2010-10-25,0.36,0.32,AMC,12.21918,12.05225,12.14406,12.06059
2010-07-23,,0.3,BMO,10.39603,10.61898,11.23828,11.79978
2010-04-28,0.28,0.27,BMO,11.11781,10.95443,10.66852,11.00707
2010-01-26,0.23,0.27,BMO,9.70187,9.60493,9.49184,10.18656
2009-10-29,0.25,0.24,BMO,8.92637,8.78096,9.16063,8.8779
2009-07-27,0.21,0.2,BMO,8.51771,8.39952,9.02987,9.01411
2009-04-29,0.09,0.21,BMO,6.51632,6.74483,6.72119,6.57148
2009-01-23,0.16,0.25,BMO,9.7282,9.18477,8.80207,8.82503
2008-10-24,0.25,0.26,BMO,11.26987,11.21678,11.2547,10.71624
2008-07-23,,0.24,BMO,12.82025,13.48194,13.47442,12.54956
2008-04-21,,0.18,AMC,13.28291,12.66354,13.96944,13.63364
2008-01-25,,0.17,BMO,10.15387,9.91739,10.16126,10.67856
2007-10-19,,0.17,BMO,9.80587,9.90831,9.51315,9.98881
2007-07-25,,0.17,BMO,8.94135,8.50766,8.65222,8.26912
2007-04-24,0.17,0.16,AMC,9.26338,9.2133,9.64249,9.74369
2007-01-26,0.17,0.18,BMO,9.6273,9.51403,9.54235,9.55666
2006-10-25,,0.2,,10.09232,10.09232,10.05027,9.87506
2006-07-25,0.24,0.22,BMO,9.5685,9.70727,9.69339,9.60319
2006-04-25,,0.23,BMO,9.82584,9.72964,9.77774,9.88768
2006-01-27,,0.25,BMO,10.57492,10.58854,10.5748,10.16253
2005-10-20,,0.26,BMO,9.24253,9.53916,9.33017,9.465
2005-07-21,0.29,0.26,BMO,10.54698,10.80096,10.59376,10.72744
2005-04-26,0.3,0.28,AMC,9.34635,9.24045,9.59788,9.77835
2005-01-25,,,AMC,10.53464,10.60028,10.94159,10.9813
2004-10-21,,,AMC,10.80319,10.73811,10.43875,10.4778
2004-07-22,,,BMO,11.3454,11.02272,11.1647,10.79685
2004-04-22,,,BMO,11.91738,12.09028,11.77009,12.16713
2004-01-22,,,AMC,13.08638,13.36202,13.01853,12.50966
2003-10-21,,,BMO,10.68172,10.72807,10.94718,10.91347
2003-07-22,,,BMO,11.14446,11.14028,10.77201,10.69668
2003-04-22,,,BMO,9.74906,9.76153,9.81976,9.79897
2003-01-23,,,AMC,7.97215,8.07123,7.94738,7.84417
2002-10-21,,,,9.38748,9.25202,8.94827,9.00984
2002-07-18,,,,9.86342,9.35697,9.32021,9.23037
2002-04-16,,,AMC,8.9109,9.04644,9.13591,9.08711
2002-01-15,,,AMC,7.62108,7.92581,8.01211,8.00132
2001-10-15,,,AMC,6.5739,6.55783,6.44527,6.16387
2001-07-16,,,AMC,5.88167,5.99188,6.33671,6.62466
2001-04-18,,,,4.58979,4.80339,4.85105,4.80163
2001-01-22,,,BMO,4.44592,4.38021,4.39116,4.38021
