Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-29,,0.3,AMC,20.03533,19.80732,19.63879,19.84698
2015-01-28,,0.3,AMC,22.20475,21.92941,22.03758,21.46722
2014-10-29,,0.3,AMC,18.07408,17.97659,18.28855,18.48353
2014-07-30,0.3,0.29,AMC,17.55731,17.55731,17.37382,17.38347
2014-04-30,,0.28,AMC,16.61265,16.75611,16.7848,16.69873
2014-01-30,0.29,0.27,AMC,13.84592,14.57465,14.86804,14.42323
2013-10-31,0.29,0.28,AMC,15.59801,15.51375,15.4763,15.67291
2013-08-01,,0.27,,15.25421,14.96709,14.76333,14.6985
2013-04-24,,,AMC,16.07751,15.97657,15.68291,15.53609
2013-01-31,,0.27,AMC,13.73741,13.99164,14.11875,14.25495
2013-01-30,,,AMC,13.84637,13.73741,13.99164,14.11875
2012-10-31,,,AMC,12.77856,12.98481,12.77856,12.74269
2012-07-26,,0.26,,12.39553,12.6702,12.81196,12.92715
2012-07-25,,,AMC,12.38667,12.39553,12.6702,12.81196
2012-04-26,,0.24,AMC,13.07521,12.9526,12.90005,12.97887
2012-04-25,,,AMC,12.96136,13.07521,12.9526,12.90005
2012-01-25,,,AMC,11.40917,11.70327,11.53892,11.68597
2011-10-27,,0.29,,10.01729,10.71637,10.7249,10.46914
2011-10-26,,,AMC,9.86384,10.01729,10.71637,10.7249
2011-07-28,0.29,0.28,,11.75791,11.7663,11.78309,11.79988
2011-07-27,,,AMC,12.15236,11.75791,11.7663,11.78309
2011-04-28,,0.28,,12.61759,12.70055,12.65077,12.86646
2011-04-27,,,AMC,12.58441,12.61759,12.70055,12.65077
2011-01-27,0.28,0.27,,10.68341,11.34703,11.1586,11.22414
2011-01-26,,,AMC,10.8063,10.68341,11.34703,11.1586
2010-10-28,,0.26,,9.66115,9.96811,10.05697,10.1539
2010-10-27,,,AMC,9.74193,9.66115,9.96811,10.05697
2010-07-29,,,,9.54045,9.58023,9.51657,10.00195
2010-04-29,,,,10.37855,10.99969,10.63802,10.92893
2010-01-27,,,AMC,9.26883,9.32299,8.85103,8.75819
2009-10-28,,,AMC,8.94399,8.56274,8.98211,8.57037
2009-07-30,,0.36,,6.8064,6.95649,7.12158,7.08406
2009-07-29,,,AMC,6.88895,6.8064,6.95649,7.12158
2009-04-29,,,AMC,6.73658,7.1567,7.20092,6.79555
2009-01-28,,,AMC,7.82499,8.68567,7.14362,6.6057
2008-10-30,,,,8.18245,9.07633,9.70205,9.46139
2008-07-30,,,AMC,17.11926,17.12601,16.69398,16.84924
2008-04-30,,,AMC,16.79802,16.17538,16.33435,17.05635
2008-01-30,,,AMC,16.49738,15.79026,15.29722,15.82918
2007-10-31,,,AMC,20.30261,20.50672,20.04747,19.11622
2007-07-26,,,,21.6082,21.18722,20.67199,20.35154
2007-04-25,,,,27.6638,27.4401,27.3469,27.29097
2007-02-01,,,,27.14327,27.74003,28.2322,28.33679
2006-10-25,,,AMC,23.41623,23.63507,24.21866,23.75057
2006-07-26,,,AMC,21.57647,22.08048,22.14048,22.42849
2006-04-26,,,AMC,20.8694,20.8161,20.99968,20.96415
2006-01-25,,,AMC,21.01402,21.04322,20.93223,21.17175
2005-10-26,,,AMC,19.3708,19.30742,19.08848,19.6416
2005-07-27,,,AMC,19.24591,19.1324,19.26861,19.27429
2005-04-27,,,AMC,16.94572,17.13587,16.83386,17.1135
2005-01-26,,,AMC,17.41663,17.53241,17.11891,17.13545
2004-10-27,,,,18.49195,18.56809,18.67143,18.54634
2004-07-28,,,AMC,16.67862,16.76973,16.54999,16.48568
2004-04-28,,,AMC,15.66895,15.66895,15.48958,15.38406
2004-01-28,,,AMC,16.78968,16.91979,16.86255,17.10715
2003-10-29,,,AMC,14.65834,14.71472,15.03249,15.00686
2003-07-30,,,AMC,14.45854,14.73582,14.52912,14.27705
2003-04-30,,,,13.7776,13.59403,13.70318,13.77264
2003-01-29,,,AMC,11.93793,12.13284,12.05975,12.20593
2002-10-30,,,,11.39869,11.40348,11.62351,11.76701
2002-07-31,,,,12.02328,12.09373,11.95753,11.72739
2002-04-24,,,,11.79687,11.77378,11.88459,11.90768
2002-01-30,,,,10.62733,10.5775,10.5322,10.5775
2001-10-31,,,AMC,10.37365,10.4416,10.69075,10.41895
2001-07-25,,,,11.06756,11.08091,11.03641,10.7783
2001-04-25,,,,9.81775,9.85269,9.76097,9.82648
2001-01-31,,,,10.58624,10.71493,10.61198,10.55622
2000-10-25,,,AMC,9.71238,9.65974,9.63342,9.79134
2000-07-26,,,,9.96264,10.1179,10.29904,10.04027
2000-04-26,,,,8.38802,8.59137,8.66762,8.82013
2000-01-26,,,,8.00114,7.90144,7.82666,7.85159
1999-10-27,,,,7.37554,7.35112,7.44881,7.66861
1999-10-04,,,,7.47323,7.5465,7.61976,7.66861
1999-07-28,,,,8.29729,8.32127,8.24932,8.39321
