Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-30,,0.64,BMO,46.95,46.38,44.63,45.34
2015-02-26,,0.75,BMO,44.22365,44.12383,43.445,43.95412
2014-10-28,0.57,0.65,BMO,42.06286,41.58465,41.40532,41.58465
2014-07-29,0.61,0.6,BMO,42.83791,42.2015,42.08218,41.83358
2014-04-29,0.64,0.53,BMO,44.94481,44.8257,45.37163,45.64956
2014-02-25,0.76,0.7,BMO,43.04007,43.12925,44.43709,45.14056
2013-10-24,0.48,0.59,BMO,39.97601,39.44194,37.28589,36.70237
2013-07-25,0.48,0.53,BMO,43.14948,42.82363,41.97446,41.22404
2013-04-25,,0.45,BMO,37.98134,38.63211,38.0405,37.50805
2013-02-26,,0.6,BMO,37.82486,36.68283,37.26369,38.32696
2012-10-25,,0.49,BMO,27.63663,27.79271,30.3681,30.79733
2012-07-26,0.49,0.45,BMO,25.72833,25.65043,25.7186,25.65043
2012-04-26,0.4,0.35,BMO,26.51875,26.99508,28.31713,28.92955
2012-02-23,0.57,0.54,BMO,28.99235,29.00205,27.11968,27.09057
2011-10-27,,0.47,BMO,21.69559,22.19924,24.5044,24.95962
2011-07-28,0.47,0.4,BMO,27.40299,26.84256,26.62998,26.97783
2011-04-28,0.37,0.31,,29.57706,29.98289,29.9539,29.77031
2011-02-24,0.59,0.61,BMO,29.89593,29.26786,29.00697,29.89593
2010-11-02,0.45,0.5,,24.78444,25.99225,25.52845,26.16618
2010-07-29,0.46,0.43,,25.77968,25.71204,25.13229,25.29655
2010-04-29,0.32,0.35,,27.32569,28.50452,27.59624,27.36434
2010-02-25,0.72,0.49,,22.80361,22.76496,22.24319,22.99686
2009-10-29,0.59,0.52,BMO,22.37846,21.56681,23.62493,22.82294
2009-07-30,0.67,0.51,BMO,21.14165,20.74549,23.2964,23.30607
2009-04-28,0.55,0.33,BMO,18.77433,18.69703,19.9435,21.35423
2009-02-26,0.9,0.74,,16.94811,15.12189,14.88999,13.59521
2008-10-23,0.72,0.66,,16.69688,16.47464,15.77894,15.22818
2008-07-29,0.72,0.56,,26.53336,30.00221,30.17614,29.1036
2008-04-24,0.44,0.32,BMO,24.65882,24.62984,24.89072,24.85207
2008-02-21,0.75,0.66,BMO,21.35423,21.94365,23.38337,23.18045
2007-10-25,0.55,0.47,BMO,30.39838,30.06985,32.75604,33.32613
2007-07-26,0.39,0.34,BMO,34.28272,34.61125,35.2683,34.06048
2007-04-26,,0.18,,31.76563,31.44193,31.13756,30.28726
2007-02-22,0.4,0.36,BMO,29.06011,29.60122,29.9539,29.73166
2006-10-26,0.35,0.34,,30.22928,28.95383,28.74125,28.99248
2006-07-27,0.26,0.25,,22.6925,23.6974,24.75062,24.89072
2006-04-27,0.12,0.1,,24.27232,24.21918,24.18053,24.07907
2006-02-23,0.31,0.27,BMO,18.97724,19.31543,20.53775,21.07885
2005-10-27,0.23,0.21,,14.65084,14.5518,14.51798,14.73539
2005-07-28,0.13,0.11,,12.29559,12.65311,12.44053,12.51783
2005-04-28,,0.03,,10.85829,10.87761,10.79307,10.85587
2005-02-28,0.31,0.27,BMO,11.13367,11.18198,11.65062,11.65303
2004-10-28,0.23,0.21,,9.78092,9.49345,9.55868,9.81956
2004-07-22,0.13,0.11,,9.83164,10.43555,10.29061,10.03214
2004-04-29,,0.03,,9.67704,9.80266,9.87996,9.99591
2004-02-26,,,AMC,9.68912,9.84372,9.04656,9.32677
2003-10-23,,,,8.27356,8.45956,8.39434,8.52237
2003-07-24,,,,11.6482,10.15292,10.07321,9.83164
2003-04-24,,,BMO,11.92842,11.76415,11.86078,11.83904
2003-02-26,,,BMO,11.12401,11.11676,11.60472,11.63129
2002-10-23,,,BMO,12.31975,12.06611,12.27627,12.02987
2002-07-25,,,BMO,11.08777,11.74483,12.31975,12.64344
2002-04-30,,,BMO,14.61702,14.60253,14.69915,14.98661
2002-02-21,,,BMO,12.02987,12.30042,12.18447,12.06369
2001-10-25,,,BMO,9.26397,9.15526,9.17459,9.42098
2001-07-26,,,BMO,9.9017,9.94035,10.1336,10.14568
2001-04-24,,,,8.44507,8.51271,8.52478,8.60208
2001-02-20,,,BMO,7.24691,7.16236,7.31938,7.28556
