Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-27,,1.14,AMC,67.21,68.71,68.22,
2015-02-04,1.09,1.07,AMC,61.43211,60.67419,59.85642,60.07582
2014-11-05,0.96,1.01,AMC,60.96724,61.38489,60.04243,59.89327
2014-08-06,1.02,1.05,AMC,63.58489,63.08906,57.69446,59.54885
2014-05-27,1.18,1.1,,66.35808,67.4957,68.04967,69.17741
2014-02-05,1.07,1.03,AMC,65.69147,65.57297,71.64637,71.16247
2013-11-07,0.87,0.84,BMO,64.8654,64.42179,64.54995,65.93006
2013-08-08,0.83,0.8,BMO,52.23623,51.09531,52.30507,53.52467
2013-05-28,,,AMC,47.47503,48.34821,48.64254,48.90743
2013-02-07,0.88,0.78,BMO,40.36212,40.63682,39.97949,40.10704
2013-02-06,,,AMC,40.36212,40.63682,39.97949,40.10704
2012-11-05,,0.01,AMC,34.32841,35.06422,34.12238,33.21977
2012-08-08,-0.11,-0.16,AMC,35.03479,35.03479,37.47771,37.49733
2012-05-29,0.11,0.03,AMC,29.58973,30.87496,32.75866,32.35641
2012-02-09,0.8,0.7,BMO,30.5512,31.24778,32.6115,32.77828
2012-02-08,0.08,0.01,AMC,30.5512,31.24778,32.6115,32.77828
2011-11-10,0.58,0.56,BMO,23.13415,21.64289,25.72423,25.31217
2011-11-09,,,AMC,23.13415,21.64289,25.72423,25.31217
2011-08-11,0.68,0.69,BMO,23.80129,21.51534,20.34785,21.10329
2011-08-10,,,AMC,23.80129,21.51534,20.34785,21.10329
2011-05-31,,,AMC,34.48538,35.12309,33.11185,32.17981
2011-02-10,0.71,0.61,,33.76918,35.51553,36.81057,37.10489
2011-02-09,,,AMC,34.25973,33.76918,35.51553,36.81057
2010-11-09,,,AMC,27.10757,27.2253,29.21692,28.87353
2010-08-12,,0.49,,23.32055,22.09419,21.79986,22.16286
2010-08-11,,,AMC,24.12505,23.32055,22.09419,21.79986
2010-06-02,,0.43,BMO,22.07457,21.36818,22.18249,24.00732
2010-06-01,,,AMC,22.07457,21.36818,22.18249,24.00732
2010-02-04,,0.38,,20.42633,20.78934,21.78024,21.22102
2010-02-03,,,AMC,20.24973,20.42633,20.78934,21.78024
2009-10-30,,,,22.42776,21.68213,21.24064,21.35837
2009-10-29,,0.27,AMC,21.9274,22.42776,21.68213,21.24064
2009-08-06,,,,19.30789,21.39761,21.5644,21.58402
2009-06-01,-0.3,,,15.89369,16.90421,18.46415,18.83696
2009-02-05,-0.5,,,9.30075,10.92936,12.3127,11.73386
2008-11-05,-0.5,,AMC,13.08777,11.81235,9.85016,9.703
2008-08-05,-0.8,,AMC,31.08099,32.18962,27.69622,26.22458
2008-06-12,0.0,-0.4,,30.31574,35.00536,34.77971,35.03479
2008-02-06,-0.7,,AMC,23.96807,24.8903,27.10757,25.98912
2007-11-07,-0.8,,,17.63022,17.21816,18.83696,18.87621
2007-08-09,-10.8,,,18.07171,18.28755,19.01356,18.6015
2007-06-14,,,,17.49287,18.53283,18.67018,18.46415
2007-02-08,-0.9,,BMO,15.70728,15.94274,16.29594,16.51178
2006-11-08,,,,15.20692,14.95184,15.14806,14.9126
2006-08-08,,,AMC,18.63093,17.60079,17.6106,18.30717
2006-06-14,,,,14.83411,15.80539,16.92383,16.25669
2006-02-15,,,AMC,12.75419,12.19497,14.12772,13.79415
2005-11-15,,,AMC,14.62808,14.2847,13.62737,13.71566
2005-08-17,,,AMC,12.87193,12.80325,12.97003,12.8523
2005-06-20,,,AMC,12.8523,12.76401,12.60703,12.65609
2005-02-16,,,AMC,14.62808,14.22583,13.43115,13.46058
2004-11-16,,,AMC,14.06886,13.68623,13.73529,13.54888
2004-09-09,,,AMC,12.95041,13.0289,13.14663,13.24474
