Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-04,,,AMC,98.9,99.39,94.54,95.08
2015-02-18,,1.02,AMC,96.31881,95.1409,93.63358,90.91841
2014-11-04,1.31,1.28,BMO,94.69396,92.97044,89.94183,95.74003
2014-08-05,1.45,1.36,AMC,111.16798,108.00623,106.02766,105.451
2014-05-05,1.4,1.17,AMC,96.3984,98.57347,102.92361,104.07571
2014-02-25,2.0,1.96,BMO,88.28132,89.47163,91.2571,92.46725
2013-11-07,2.32,2.02,BMO,89.03993,87.50912,85.00235,84.6952
2013-08-07,2.1,1.76,BMO,76.30292,75.82782,77.31251,78.48045
2013-05-07,1.8,1.13,BMO,61.27737,62.29553,67.06506,68.15736
2013-02-14,,1.82,,65.9353,65.80204,63.75883,64.84953
2012-11-05,,,AMC,56.77685,57.57034,60.1184,59.14255
2012-08-03,1.16,0.92,AMC,47.29915,52.53001,52.033,53.50925
2012-08-02,,,AMC,49.42987,47.29915,52.53001,52.033
2012-05-09,,1.17,BMO,51.45942,51.07631,51.62151,52.31405
2012-05-08,,,AMC,51.45942,51.07631,51.62151,52.31405
2012-02-17,1.15,0.89,BMO,56.31231,57.6755,56.07204,56.7095
2012-02-16,,,AMC,56.31231,57.6755,56.07204,56.7095
2011-11-02,0.83,0.81,BMO,43.7844,42.04634,47.02061,48.97409
2011-11-01,,,AMC,43.7844,42.04634,47.02061,48.97409
2011-08-05,1.11,0.79,,45.01715,46.86904,43.2923,44.3966
2011-08-04,,,AMC,47.87561,45.01715,46.86904,43.2923
2011-05-05,,,AMC,51.84719,50.90566,52.41308,54.30588
2011-02-18,0.36,0.26,BMO,50.16861,50.76778,53.04263,52.76497
2011-02-17,0.36,0.26,AMC,50.16861,50.76778,53.04263,52.76497
2010-11-03,,0.18,,47.53493,43.10924,42.93902,43.09465
2010-11-02,,0.2,AMC,46.72275,47.53493,43.10924,42.93902
2010-08-05,0.18,0.25,AMC,50.01459,49.74267,48.19853,48.52872
2010-05-04,0.46,0.51,,55.06227,53.45249,50.99418,49.63654
2010-02-09,0.92,0.98,AMC,44.34065,45.77381,42.72351,44.08888
2009-11-05,0.81,0.66,AMC,41.23728,42.55707,43.67864,44.66969
2009-08-06,0.73,0.42,AMC,37.65683,37.75336,36.06889,36.7784
2009-05-04,0.53,0.59,AMC,31.82241,34.69259,34.19657,37.33643
2009-02-04,0.74,1.04,AMC,32.61756,32.94907,33.19409,32.86739
2008-11-03,2.34,2.24,AMC,38.79954,36.33501,40.35306,39.22628
2008-07-29,2.52,2.37,AMC,48.75648,47.86156,50.3214,48.11042
2008-05-02,1.89,1.65,,60.64513,61.0754,63.36543,65.91841
2008-02-07,1.29,1.1,,41.94557,43.02979,44.95465,47.01324
2007-10-29,,0.79,AMC,39.08498,39.37128,41.01274,42.27724
2007-08-02,1.17,1.04,AMC,34.1228,34.8616,33.58896,33.61279
2007-04-30,1.11,1.03,AMC,35.34797,34.96235,36.07635,36.85234
2007-02-01,1.02,0.98,BMO,32.36234,32.87112,33.08985,32.6619
2006-10-30,1.12,1.06,AMC,32.30621,31.82643,31.60317,31.36091
2006-07-31,1.16,1.07,AMC,34.1978,35.18967,33.89882,33.60933
2006-05-05,1.53,1.24,,33.87935,36.18382,35.34928,35.39669
2006-02-01,1.97,1.87,AMC,40.05368,39.30036,38.23909,37.48103
2005-11-01,1.4,1.38,AMC,32.09667,32.16771,33.38471,34.01452
2005-07-26,0.98,0.89,AMC,30.43091,30.92784,30.18955,28.79815
2005-04-27,0.86,0.79,BMO,22.84851,22.58365,22.59784,22.36609
2005-02-02,,,AMC,17.94534,18.10365,18.25959,18.11074
2004-10-27,,,BMO,16.26027,16.45857,16.02184,15.35141
2004-08-02,,,AMC,14.98883,14.98647,15.30488,14.4841
2004-05-03,,,BMO,11.53407,11.60476,12.28808,12.72871
2004-02-05,,,BMO,10.65815,10.46047,10.09571,10.18043
2003-11-03,,,AMC,9.90597,9.93183,9.88481,9.79078
2003-08-06,,,,9.04668,9.15703,9.40357,9.312
2003-05-05,,,BMO,8.68086,8.74651,8.85672,8.75589
2003-02-03,,,AMC,9.07937,9.06063,9.34406,9.30893
2002-10-21,,,AMC,8.73541,8.84539,8.71201,9.0911
2002-08-12,,,AMC,8.30023,8.41477,8.06181,8.14596
2002-04-29,,,AMC,9.83643,9.83176,9.93449,9.93682
2002-01-30,,,BMO,7.73673,7.44984,7.67375,7.92799
2001-10-24,,,BMO,8.01201,7.99104,8.1285,8.59445
2001-07-31,,,BMO,8.46799,8.23762,8.22598,8.05146
2001-04-23,,,,10.15681,10.90055,10.84245,11.08417
2001-02-07,,,BMO,10.50727,10.70697,10.99722,10.70464
2000-10-17,,,BMO,9.64392,9.4844,9.86145,9.80344
2000-04-18,,,AMC,5.31195,5.5001,5.36984,5.51457
2000-02-08,,,AMC,3.5994,3.58495,3.48375,3.67168
1999-10-12,,,BMO,4.71176,4.84144,5.01435,4.8337
1999-07-20,,,,4.55326,4.71176,4.61089,4.66853
1999-07-13,,,BMO,4.60391,4.56075,4.53885,4.53885
