Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-21,,0.64,AMC,41.53609,41.78487,41.76497,41.44653
2015-01-21,,0.65,AMC,35.56617,35.58596,37.68392,37.34745
2014-10-20,0.62,0.6,AMC,31.70654,31.71639,33.51835,33.70543
2014-07-16,,0.58,AMC,34.93027,34.42091,33.794,34.25439
2014-04-16,0.58,0.51,AMC,33.33561,34.09568,35.06037,35.23577
2014-01-22,0.55,0.54,AMC,34.64347,35.29292,35.52555,34.63378
2013-10-16,0.53,0.54,AMC,32.32008,33.11144,32.81227,32.89912
2013-07-17,0.52,0.51,AMC,27.39116,27.78493,29.14873,29.7538
2013-04-17,,,AMC,23.4582,22.94285,21.63537,22.29388
2013-01-23,,,AMC,21.97301,21.96353,21.90663,22.24803
2012-10-17,,,AMC,18.77473,19.12398,20.32277,20.39828
2012-07-18,,,AMC,22.51272,22.30601,20.89662,20.83084
2012-04-17,,,AMC,20.60727,21.03756,20.60727,20.60727
2012-01-19,,,AMC,20.26351,19.91895,20.50562,20.58012
2011-10-19,,,AMC,15.58659,15.58659,16.17179,16.73841
2011-07-20,,,AMC,17.84795,18.21843,18.66301,18.35736
2011-04-26,,,AMC,20.18951,20.42975,19.81991,19.87535
2011-01-25,,,AMC,18.76751,18.97993,20.16214,20.30991
2010-10-25,,,AMC,15.64666,15.55435,16.32976,16.44053
2010-07-27,,,AMC,16.39356,16.33821,14.5208,14.4839
2010-04-27,,,AMC,18.23835,17.86952,18.35822,18.31211
2010-01-27,,-0.23,,15.83068,16.58628,15.47131,15.13958
2010-01-26,,,AMC,16.06104,15.83068,16.58628,15.47131
2009-10-22,,-0.55,,7.69422,9.1668,8.76184,8.62379
2009-10-21,,,AMC,8.02555,7.69422,9.1668,8.76184
2009-07-16,,-0.42,,5.92157,6.7951,6.4273,6.17903
2009-07-15,,,AMC,5.62733,5.92157,6.7951,6.4273
2009-04-28,,,AMC,4.79385,4.72038,5.54691,6.27242
2009-01-27,,,AMC,8.22051,8.55043,9.43939,8.87119
2008-10-27,,,AMC,11.35016,11.73275,13.80966,14.1376
2008-07-24,,,AMC,11.53067,10.0306,9.86794,9.65106
2008-04-15,,,AMC,14.23385,14.22487,12.70815,12.98637
2008-01-28,,,AMC,21.15128,22.25086,21.36584,20.82945
2007-10-17,,,AMC,32.24838,32.51578,31.33031,30.84008
2007-07-18,,,AMC,34.70238,33.95572,35.19128,34.1335
2007-04-16,,,,31.30874,31.79641,35.33427,35.83968
2007-01-24,,,AMC,32.15533,32.42064,33.84446,33.52609
2006-10-18,,,AMC,32.729,32.68484,32.23445,32.14614
2006-07-19,,,AMC,32.89163,33.65901,35.87296,34.86742
2006-04-17,,,AMC,32.8766,32.5947,34.92918,36.03036
2006-01-25,,,AMC,31.6965,31.85486,32.53225,33.06008
2005-10-19,,,,29.04521,32.48917,32.04989,32.3486
2005-07-20,,,AMC,32.10808,32.82744,31.64313,31.11677
2005-04-14,,,AMC,31.09381,30.20917,27.91436,29.62233
2005-01-27,,,BMO,32.62872,34.42199,33.16233,32.61123
2004-10-21,,,BMO,30.18335,30.32312,32.25381,33.18858
2004-07-15,,,BMO,26.50693,26.2976,26.15804,26.75988
2004-04-15,,,BMO,24.16569,23.79565,23.71729,23.42996
2004-01-22,,,BMO,21.81015,21.73629,21.50603,21.63637
2003-10-16,,,BMO,20.91018,20.84081,20.47663,20.65438
2003-07-17,,,BMO,16.41529,16.12981,16.80458,17.89894
2003-04-17,,,BMO,13.58834,13.31234,14.13601,14.11014
2003-01-23,,,BMO,16.19264,16.05071,15.30467,14.91655
2002-10-10,,,BMO,12.73513,12.21147,12.87248,13.24591
2002-07-11,,,BMO,14.94365,14.77661,15.17922,15.12782
2002-04-11,,,BMO,12.70061,12.9058,13.96169,14.67987
2002-01-24,,,BMO,10.85159,11.0392,11.04773,11.04773
2001-10-11,,,BMO,8.7894,8.55944,8.58499,8.61906
2001-07-12,,,BMO,10.61163,10.27563,10.28414,10.31816
2001-04-12,,,BMO,7.85713,7.87412,8.00578,7.98454
2001-01-16,,,BMO,9.91492,9.8619,10.25955,9.96794
2000-10-12,,,BMO,8.17859,8.15212,8.04625,8.20505
2000-07-13,,,,6.52541,6.81602,6.63109,6.39332
