Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-01,,0.52,BMO,35.98304,35.55727,35.89393,36.29
2015-02-17,,0.76,AMC,36.8643,36.56725,35.7553,35.87412
2014-11-04,0.89,0.88,BMO,36.28677,36.39367,35.87862,36.40855
2014-08-05,0.48,0.45,BMO,29.9013,29.83406,31.02937,30.59206
2014-05-06,0.39,0.41,BMO,31.67828,32.10091,31.36131,32.55236
2014-02-25,0.75,0.68,BMO,30.12002,30.12002,29.26488,29.50242
2013-11-05,,0.91,BMO,35.2821,35.2821,34.87828,35.78922
2013-08-06,0.59,0.52,BMO,34.7823,34.2825,35.18029,35.36539
2013-05-07,,0.68,BMO,41.04001,40.30113,40.22815,39.80854
2013-02-25,,0.8,BMO,35.96228,36.53912,35.65584,35.06097
2012-11-08,,1.06,BMO,38.40083,37.60081,38.14305,37.76081
2012-08-07,0.6,0.64,BMO,43.4654,43.2986,40.50684,40.28736
2012-05-01,0.82,0.81,BMO,40.33564,40.17262,40.66169,40.46434
2012-02-28,0.77,0.76,AMC,37.60713,37.58997,38.00182,38.04472
2011-11-01,1.34,1.22,BMO,38.01287,37.63617,37.64455,38.31423
2011-08-02,0.65,0.71,BMO,36.91074,37.05954,36.4726,36.38889
2011-05-03,0.68,0.73,BMO,32.60128,32.3239,34.28193,34.59606
2011-05-02,0.69,0.73,AMC,32.60128,32.3239,34.28193,34.59606
2011-02-16,0.71,0.75,BMO,31.34705,31.51588,30.88878,30.76818
2010-10-26,1.28,1.12,BMO,29.31263,29.00794,28.47669,28.32825
2010-08-03,0.82,0.78,,29.60347,29.72669,29.57044,29.46107
2010-05-04,0.81,0.76,BMO,28.7318,28.71662,28.12484,27.50875
2010-02-23,,0.74,BMO,30.12021,30.15056,29.74845,29.68017
2010-02-11,0.77,0.73,BMO,31.66795,31.45551,30.03675,29.73327
2009-10-27,1.11,1.05,BMO,33.96208,33.26701,32.52758,32.29096
2009-08-03,0.87,0.84,BMO,30.35258,30.06072,30.57146,30.27232
2009-05-05,1.02,0.89,BMO,30.52572,30.93628,30.65172,30.25772
2009-02-24,1.21,1.03,,32.72259,34.58813,32.97469,31.33244
2008-11-04,1.6,1.42,,37.55289,40.3406,38.01037,38.07451
2008-08-01,0.86,0.96,BMO,51.8018,51.49376,50.05151,48.2732
2008-05-01,0.88,0.83,,52.58841,53.33232,54.93834,54.04219
2008-02-25,0.9,0.92,,48.94532,49.52238,49.51542,48.45865
2007-10-30,1.3,1.28,,47.56326,47.07001,47.74821,47.09742
2007-08-07,1.13,1.04,,42.92544,44.21334,44.02153,42.03487
2007-05-03,0.88,0.83,,47.36355,47.32956,47.45869,48.60727
2007-02-20,0.84,0.85,,42.55904,43.03139,42.62651,42.76822
2006-10-25,1.42,1.32,,39.39656,39.80168,39.58916,39.53603
2006-08-01,0.94,0.92,,36.89573,37.6007,37.26468,37.30453
2006-04-26,0.67,0.64,BMO,32.6753,32.12016,32.28997,33.23698
2006-02-15,0.77,0.75,,32.02872,31.4801,31.93075,32.5904
2005-10-25,1.04,1.02,,29.94337,30.04596,29.80872,29.75101
2005-07-27,0.71,0.68,,31.15675,31.7926,31.7926,31.65272
2005-04-27,0.47,0.43,,26.78098,27.00142,26.98252,27.41082
2005-02-15,,,,26.06295,25.96218,25.83621,26.13853
2004-10-21,,,,25.35664,25.29487,25.2331,25.369
2004-07-28,,,,23.20092,23.37224,23.80664,23.92289
2004-05-07,,,,23.57414,23.00513,22.85217,22.65638
2004-02-19,,,,23.11858,23.14282,22.9792,22.86406
2003-10-23,,,,19.70896,19.98195,20.18966,20.24307
2003-08-05,,,,20.10361,18.59324,18.85437,18.61105
2003-04-30,,,,19.61858,19.57795,19.60697,19.54893
2003-02-13,,,,16.04893,16.94279,16.97181,17.18077
2002-10-17,,,,14.90952,15.95829,16.12836,16.73495
2002-07-24,,,,14.03162,16.33382,16.58028,16.28341
2002-04-24,,,,18.05358,18.46893,18.24741,18.28618
2002-01-30,,,,19.91127,19.74127,20.39931,20.83801
2001-10-16,,,,18.95729,19.32613,19.45088,19.26104
2001-07-17,,,,16.68534,16.67999,16.70141,16.73891
2001-04-17,,,,15.0539,15.23374,15.01158,15.09093
2001-01-16,,,,14.02369,13.69756,13.46927,14.08892
2000-10-17,,,BMO,13.17764,13.33834,13.1455,12.85623
2000-07-18,,,,12.32823,12.455,12.89869,12.8353
2000-04-18,,,,12.39351,12.58082,12.33107,12.2062
2000-01-18,,,,11.42268,11.23845,11.20774,11.17704
1999-10-18,,,,12.04646,11.92539,11.68325,11.59245
1999-07-20,,,,14.34093,14.34093,14.37081,14.22142
1999-04-20,,,BMO,13.60217,14.10377,14.42833,14.45784
