Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-20,,0.06,AMC,26.05,26.78,29.2,29.05
2015-02-18,,0.09,AMC,29.33,30.36,27.01,26.46
2014-10-20,0.1,0.08,AMC,24.29,24.37,29.67,29.09
2014-07-21,0.09,0.08,AMC,22.6,22.25,25.75,25.74
2014-04-21,0.08,0.07,AMC,24.29,24.38,22.91,23.38
2014-02-18,0.06,0.07,AMC,30.8,31.26,28.59,28.76
2013-10-21,,0.08,AMC,39.46,37.95,37.7,37.2
2013-07-22,,0.09,AMC,29.03,28.98,32.29,32.45
2013-04-22,,0.06,AMC,20.14,20.26,23.54,23.58
2013-02-26,,0.08,AMC,21.21,21.11,21.16,21.39
2012-10-22,,0.08,AMC,28.36,28.79,27.0,26.8
2012-07-23,,0.09,AMC,24.1,23.27,26.56,26.6
2012-04-23,0.05,0.06,AMC,26.22,26.19,24.65,22.62
2012-02-21,0.07,0.06,AMC,17.38,17.34,22.55,21.38
2011-10-24,0.08,0.06,AMC,15.25,15.27,14.33,14.8
2011-07-25,0.08,0.06,AMC,13.77,13.67,13.95,13.65
2011-04-25,0.07,0.04,AMC,8.01,8.24,9.6,9.79
2011-02-22,0.05,0.04,AMC,7.97,7.83,7.43,7.53
2010-10-25,,0.04,AMC,5.96,5.99,6.22,6.35
2010-07-26,0.06,0.04,AMC,4.57,4.39,4.54,4.68
2010-04-26,,0.04,AMC,4.85,4.64,4.82,4.72
2010-02-23,0.06,0.04,AMC,3.97,4.12,3.99,3.89
2009-10-26,0.05,0.03,AMC,4.0,4.12,4.16,4.09
2009-07-27,0.08,0.04,AMC,2.96,3.08,3.25,3.85
2009-04-27,0.04,0.02,AMC,2.07,2.25,2.59,2.55
2009-02-25,0.07,,AMC,2.06,2.15,2.1,1.98
2008-10-28,,0.03,AMC,2.15,2.2,2.26,2.25
2008-07-22,0.03,0.02,AMC,2.62,2.65,2.5,2.4
2008-04-22,0.0,0.01,AMC,2.62,2.71,2.61,2.57
2008-02-19,0.13,0.03,AMC,3.02,3.3,3.24,3.1
2007-10-23,0.03,0.04,AMC,3.57,3.72,3.7,3.58
2007-07-24,0.02,0.01,AMC,3.09,3.05,3.2,3.16
2007-04-24,0.0,0.01,AMC,3.87,3.98,3.63,3.6
2007-02-20,0.05,0.03,,4.62,4.55,4.33,4.09
2006-10-24,,0.02,AMC,3.8,3.75,3.36,3.34
2006-07-25,0.01,0.02,AMC,3.43,3.84,3.15,2.89
2006-04-25,0.03,0.02,AMC,4.65,4.88,4.51,4.4
2006-02-21,0.05,0.01,AMC,2.84,3.0,3.24,3.11
2005-10-25,0.02,0.01,AMC,2.4,2.27,2.65,2.51
2005-07-26,0.0,-0.01,AMC,3.64,3.78,3.8,3.76
2005-04-26,0.01,,AMC,2.86,3.09,3.0,3.0
2005-02-22,,,AMC,3.53,3.53,3.26,3.09
2004-10-26,,,AMC,2.03,2.0,1.99,1.95
2004-07-27,,,AMC,1.77,1.83,1.86,1.77
2004-04-27,,,AMC,2.24,2.25,2.25,2.05
2004-02-25,,,AMC,2.74,2.61,2.7,2.6
2003-10-28,,,AMC,2.84,2.95,2.9,2.85
2003-07-29,,,AMC,3.26,3.85,3.72,3.02
2003-04-28,,,AMC,1.03,1.4,1.37,1.39
2003-02-25,,,AMC,1.44,1.26,1.26,1.27
2002-10-29,,,AMC,1.0,1.0,1.08,1.09
2002-07-30,,,AMC,1.25,1.07,1.25,1.1
2002-04-30,,,AMC,1.6,1.6,1.4,1.3
2002-02-25,,,AMC,1.37,1.41,1.31,1.3
2001-10-30,,,AMC,1.5,1.35,1.35,1.35
2001-07-31,,,AMC,1.7,1.61,1.61,1.66
2001-05-01,,,AMC,1.16,1.18,1.2,1.3
2001-02-26,,,AMC,1.75,1.78125,1.75,1.75
2000-11-06,,,AMC,2.0,2.0625,2.125,2.125
2000-08-07,,,AMC,3.375,2.75,2.0625,2.5625
