Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-03-20,,0.02,BMO,13.97635,14.05622,15.23422,14.96468
2015-01-13,0.27,0.52,BMO,16.50861,16.50861,13.81861,13.48983
2014-09-24,0.28,0.38,BMO,16.73148,16.88069,15.98543,15.48806
2014-06-27,0.27,0.21,BMO,17.81841,17.75882,18.56333,18.5534
2014-03-19,0.09,0.08,BMO,17.1266,17.53319,18.56456,18.05879
2013-12-19,0.31,0.45,BMO,16.85623,17.38113,16.31152,16.74729
2013-09-24,0.29,0.2,BMO,17.4345,16.84115,17.56306,17.89929
2013-06-27,-0.04,-0.05,BMO,19.16635,19.64032,19.45271,19.38359
2013-03-21,,-0.22,BMO,20.74327,21.2759,21.79868,21.47318
2012-12-20,,0.07,BMO,16.74564,16.41072,15.36659,14.93317
2012-09-21,0.04,-0.16,BMO,12.94301,12.89384,15.00839,14.38878
2012-06-29,-0.37,-0.34,BMO,8.44575,8.53403,9.61305,9.48553
2012-03-23,-0.57,-0.24,BMO,11.06229,10.99382,10.06463,9.40931
2011-12-21,0.18,0.03,BMO,6.83114,7.52106,7.01577,6.6951
2011-09-23,-0.13,-0.19,BMO,5.8835,5.50796,5.69091,5.69091
2011-06-29,-0.89,-0.31,BMO,11.2685,11.39275,9.63414,9.34741
2011-04-05,-1.49,-0.27,BMO,11.81578,11.59714,11.11235,11.25493
2011-01-07,0.23,-0.17,BMO,13.54513,13.56406,14.43489,13.92375
2010-09-24,-0.02,-0.15,BMO,11.28058,11.01715,11.39348,11.24295
2010-06-25,-0.4,-0.3,BMO,11.61376,11.43596,10.40653,10.5937
2010-03-23,-0.71,-0.42,BMO,16.16454,16.26715,15.99665,15.60489
2010-01-12,1.31,-0.42,BMO,14.83463,15.21548,14.6024,14.62098
2009-09-25,-0.87,-0.58,BMO,17.41418,17.14599,15.68479,15.6293
2009-06-26,-1.03,-0.64,BMO,12.56829,13.60951,12.36558,13.00136
2009-03-27,-0.75,-0.81,BMO,12.28889,13.00528,13.82271,12.62872
2009-01-09,-3.96,-1.23,BMO,12.98673,13.30637,12.94107,12.04606
2008-09-26,-1.87,-1.22,BMO,18.47235,19.23597,19.5996,17.58146
2008-06-27,-3.3,-0.94,BMO,17.16713,16.21887,15.85209,15.14537
2008-03-28,-3.47,-1.17,BMO,22.61992,22.84134,21.73426,21.90253
2008-01-08,-9.99,-1.08,BMO,16.37887,16.21218,14.72081,14.88749
2007-09-27,-6.19,-0.72,BMO,21.79188,20.92333,21.46183,21.76582
2007-06-28,-2.26,0.07,BMO,34.28067,34.84081,34.37547,33.92735
2007-03-22,0.34,0.25,BMO,39.10861,40.95093,40.4882,40.15402
2007-02-13,-0.64,-1.04,BMO,44.53274,44.50703,45.78381,46.38363
2006-09-21,1.9,1.84,AMC,37.63908,36.51109,37.52882,38.69073
2006-06-15,2.46,2.39,AMC,36.43407,38.0453,38.35743,37.80066
2006-03-22,2.02,1.97,AMC,53.97579,54.26142,56.97491,57.29414
2005-12-15,3.51,3.34,AMC,61.8203,61.89565,62.71601,61.30967
2005-09-22,2.55,2.4,BMO,59.05759,59.03255,61.52006,61.77048
2005-06-16,2.06,1.78,AMC,59.07918,60.1532,64.31605,62.19299
2005-03-21,1.41,1.29,AMC,47.53843,48.42645,49.21489,49.0738
2004-12-16,,,AMC,43.63756,43.67479,42.85167,42.7979
2004-09-20,,,AMC,31.84131,31.44541,34.37756,34.80233
2004-06-16,,,AMC,26.03952,26.17097,27.01719,27.19382
2004-03-16,,,AMC,31.97751,32.42346,32.358,32.09615
2003-12-18,,,AMC,26.90589,27.38693,28.53654,29.68208
2003-09-16,,,AMC,23.45275,24.23057,23.64007,24.27944
2003-06-19,,,AMC,28.20994,28.4499,26.13161,26.27803
2003-03-14,,,BMO,17.78372,18.36446,18.47411,18.90053
2003-01-16,,,BMO,18.03344,17.87532,18.90105,18.69023
2002-09-18,,,BMO,21.14383,20.88884,20.33434,19.01487
2001-03-21,,,BMO,10.84324,11.11973,11.62062,11.54047
2001-01-11,,,BMO,13.5182,13.76807,13.74308,13.59316
2000-09-28,,,BMO,10.61915,10.89335,10.71886,10.74379
2000-06-27,,,,7.50472,7.57928,7.56064,7.80293
2000-03-20,,,BMO,8.19269,8.11844,8.26695,8.19269
2000-01-13,,,BMO,9.00272,9.05205,9.52069,9.52069
1999-09-23,,,BMO,7.49907,7.13026,7.22861,7.22861
1999-06-22,,,BMO,9.03851,9.20998,9.20998,9.13649
