Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-07,,0.57,AMC,38.12639,37.94758,37.48068,36.85484
2015-02-05,1.02,0.74,AMC,35.6946,36.34593,36.86896,36.40514
2014-11-06,0.04,0.6,AMC,36.13804,36.25569,36.18707,36.17726
2014-08-07,0.18,0.41,AMC,34.19123,33.83092,34.21071,34.63919
2014-05-08,0.56,0.67,AMC,36.29607,36.22837,33.64616,33.72353
2014-02-06,0.83,0.57,AMC,35.25061,35.30828,35.86568,36.47113
2013-10-31,0.69,0.44,AMC,35.59982,35.35154,36.68844,37.07041
2013-08-01,0.55,0.34,AMC,33.14773,33.94441,33.63143,33.41329
2013-05-02,,0.53,AMC,29.66306,29.76665,30.43524,31.27334
2013-02-07,,0.04,AMC,31.54504,31.60112,30.36736,29.93741
2012-11-08,,0.34,AMC,27.56368,27.2949,27.82319,27.46173
2012-08-06,-0.01,0.1,AMC,30.03076,30.28829,29.44209,29.04659
2012-05-07,0.56,0.57,AMC,26.63026,26.7489,28.47375,28.14521
2012-02-01,0.42,0.7,AMC,26.94143,27.77402,26.23554,25.9007
2011-11-02,0.17,0.52,AMC,22.60654,23.74584,24.47248,24.38277
2011-08-03,-0.2,-0.36,AMC,24.68446,24.82668,22.84446,22.31112
2011-05-03,0.72,0.63,AMC,26.70914,26.77086,26.41815,25.96844
2011-02-03,0.74,0.68,AMC,23.98721,24.52065,25.73619,25.2902
2010-11-01,0.74,0.58,AMC,21.05838,20.99772,20.97173,20.92839
2010-08-02,0.58,0.64,AMC,23.87513,24.18441,21.74449,22.01082
2010-05-03,0.77,0.63,AMC,24.92943,25.50899,23.29304,22.68792
2010-02-01,0.95,0.56,AMC,18.31549,18.83879,19.96136,19.5731
2009-11-02,1.0,0.5,AMC,16.39325,16.35979,18.28349,17.22127
2009-08-03,0.72,0.38,AMC,10.89562,11.26734,13.01857,13.159
2009-05-04,0.15,0.47,AMC,13.68322,14.20542,13.07943,13.4466
2009-02-04,0.19,0.24,AMC,10.67271,10.41278,10.56244,11.01928
2008-11-03,-0.25,,AMC,16.13917,16.23908,15.83176,15.3399
2008-08-04,0.0,0.28,AMC,21.04792,20.88977,17.87755,18.22396
2008-05-05,0.33,0.59,AMC,29.48013,29.39087,29.16026,28.46101
2008-02-04,-0.03,0.59,AMC,30.82154,30.917,27.28187,27.12765
2007-10-29,0.74,0.72,AMC,34.1735,34.02081,33.56274,33.6718
2007-07-30,,0.78,,31.43636,31.54422,30.47285,30.86113
2007-04-30,0.85,0.91,AMC,33.96385,33.57927,33.8499,33.82854
2007-02-02,0.88,0.91,AMC,37.01959,37.11131,35.23457,35.12875
2006-10-31,1.22,0.63,AMC,30.19028,30.00854,30.54678,30.82638
2006-07-31,0.9,0.8,AMC,27.81941,27.66724,29.0506,29.11977
2006-05-01,0.77,0.87,AMC,33.48055,32.98708,33.35033,33.17213
2006-02-01,1.21,0.68,BMO,30.35871,30.00578,32.48307,32.21838
2005-10-27,,0.23,AMC,29.51404,29.89053,30.54939,30.92588
2005-07-28,0.75,0.84,BMO,34.65841,35.39852,35.79858,35.5052
2005-04-27,0.93,0.73,AMC,29.92682,30.13167,30.09863,30.06559
2005-02-02,,,AMC,28.21806,28.2377,28.26389,29.13465
2004-10-27,,,AMC,26.89465,27.47212,27.94578,28.01715
2004-07-30,,,BMO,27.30137,27.54548,26.75534,27.03799
2004-04-30,,,BMO,25.07194,25.29438,25.19905,25.07194
2004-01-30,,,BMO,27.37718,27.59126,27.74238,26.36345
2003-10-22,,,AMC,20.14614,19.73512,20.03404,19.99045
2003-07-24,,,AMC,17.70894,17.8625,18.30477,18.43376
2003-04-23,,,AMC,15.29161,15.48503,14.98941,14.77182
2003-01-30,,,,15.74302,15.51115,15.45764,15.30901
2002-11-06,,,AMC,17.71841,17.58943,17.76532,17.48975
2002-07-24,,,AMC,17.6262,18.37872,18.41345,18.69709
2002-04-24,,,AMC,23.79756,23.90068,24.18712,23.83193
2002-01-31,,,AMC,22.87503,22.79,22.62559,22.39316
2001-10-24,,,,21.27123,21.23195,21.40593,21.93912
2001-07-25,,,,20.26657,20.57195,20.51643,20.40538
2001-04-25,,,,19.97391,19.96292,19.84203,19.99589
2001-01-31,,,AMC,20.7004,20.46246,20.25852,20.46246
2000-10-25,,,AMC,17.0576,15.98311,16.82256,16.52036
2000-08-11,,,AMC,15.55121,15.91595,15.98227,15.51805
2000-04-28,,,AMC,17.31338,17.70686,17.18222,17.51012
2000-02-02,,,AMC,17.90572,17.90572,18.71667,18.5707
1999-10-12,,,BMO,18.25503,18.56035,18.19075,18.15861
1999-07-13,,,BMO,20.18082,20.14899,20.43547,20.35589
