Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-20,,0.6,AMC,88.12,88.7,88.46,87.46
2015-02-25,,1.8,AMC,91.53,92.47,91.98,91.86
2014-11-19,0.44,0.4,AMC,74.91972,75.59116,77.92662,76.74916
2014-08-20,0.63,0.62,AMC,60.9201,61.01698,61.73392,61.90831
2014-05-21,0.53,0.51,AMC,53.16744,53.51231,54.30742,54.91095
2014-02-26,1.65,1.61,AMC,52.10409,54.19247,53.69432,53.96256
2011-05-05,,0.26,BMO,33.04456,32.31523,32.39537,32.91633
2011-02-03,,0.28,BMO,23.61835,23.20413,24.92472,25.38673
2010-11-04,,0.27,BMO,21.62113,21.62838,22.78083,23.05626
2010-09-02,,0.27,BMO,17.10556,17.59118,18.6639,18.99731
2010-04-29,,0.25,BMO,19.87133,19.44168,19.72811,19.19105
2010-01-28,,0.2,BMO,13.25998,13.47187,13.13012,13.00025
2009-10-29,,0.14,BMO,12.13499,11.55907,12.35858,11.92495
2009-08-27,,0.19,BMO,10.36658,10.35302,10.3327,10.21751
