Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-21,,0.84,BMO,64.51,65.18,66.47,66.33
2015-02-17,,0.91,BMO,70.84896,71.90419,68.85799,69.78379
2014-10-30,0.94,0.9,BMO,69.19868,69.39695,70.59653,71.85558
2014-07-28,1.01,0.91,BMO,66.3839,65.97875,69.21989,69.00249
2014-04-23,0.91,0.9,BMO,68.47868,67.86806,64.54901,64.89371
2014-02-14,1.09,0.85,BMO,68.65201,69.54537,71.56773,72.15676
2013-10-31,0.86,0.84,BMO,66.07418,65.75125,67.75735,69.14695
2013-07-29,0.91,0.9,BMO,59.14422,59.45642,56.35384,57.3978
2013-04-23,,0.79,BMO,49.29721,49.87078,51.37759,50.77487
2013-02-15,,0.73,BMO,53.97052,53.8446,54.15456,54.87133
2012-10-31,,0.72,BMO,37.81157,37.61865,41.83387,42.32581
2012-07-30,0.81,0.84,BMO,41.20009,42.67907,38.84717,38.29976
2012-04-24,0.76,0.66,BMO,44.30596,43.67466,45.1764,46.39117
2012-02-17,0.68,0.63,BMO,42.73984,43.33067,43.64515,44.44563
2011-10-27,0.66,0.61,BMO,33.30476,34.32003,35.73383,35.54406
2011-07-21,0.68,0.55,BMO,33.88636,33.75418,36.294,35.80303
2011-04-26,0.5,0.44,BMO,35.76083,35.69504,36.59728,36.72416
2011-02-18,0.45,0.41,BMO,33.56491,33.87842,34.38379,33.69125
2010-10-27,0.4,0.39,BMO,28.32711,27.95451,27.71232,27.91259
2010-07-27,0.39,0.34,BMO,25.37506,25.91269,26.04709,25.38896
2010-04-27,0.29,0.28,BMO,28.14195,28.17423,27.82845,27.83306
2010-02-22,0.33,0.31,BMO,23.40894,23.68871,22.26234,21.71656
2009-10-30,0.32,0.2,BMO,19.75496,20.21587,21.64877,22.32872
2009-07-28,0.17,0.12,BMO,18.74723,19.15104,19.55484,19.00585
2009-04-28,0.05,0.11,BMO,18.66343,18.24459,18.19505,19.43807
2009-02-23,,0.44,BMO,17.97303,17.13292,15.11755,14.60812
2008-10-22,0.8,0.67,BMO,23.06858,21.9978,18.50996,17.07484
2008-07-23,0.81,0.69,BMO,32.3269,32.94661,36.16469,35.25726
2008-04-23,0.62,0.61,BMO,32.83559,32.75173,32.66787,32.69877
2008-02-22,0.56,0.54,BMO,28.10704,27.17922,29.52734,29.47017
2007-10-25,0.57,0.6,BMO,34.50531,35.07061,30.57449,32.37119
2007-07-26,0.64,0.61,BMO,31.85684,31.634,30.84752,31.21454
2007-04-26,0.56,0.52,BMO,26.15946,26.15946,27.67545,28.15028
2007-02-22,0.52,0.48,BMO,29.10629,29.18442,28.28163,28.48129
2006-10-25,0.52,0.47,BMO,25.14494,25.29631,26.38186,26.10074
2006-07-25,0.51,0.47,BMO,24.83926,25.59784,25.27027,24.92115
2006-04-26,0.44,0.36,BMO,22.61717,22.81907,22.83626,23.03386
2006-02-21,0.35,0.32,BMO,19.26227,19.30079,19.06536,20.00279
2005-10-31,0.36,0.32,BMO,16.3548,17.01938,16.8575,17.32611
2005-07-28,0.36,0.32,BMO,15.49833,15.64675,15.54074,15.52378
2005-04-29,0.28,0.26,,12.33174,12.87982,13.06954,12.70696
2005-02-17,,,BMO,14.1651,14.34531,13.25988,13.38141
2004-10-27,,,BMO,13.62972,13.56718,14.11337,13.8507
2004-07-20,,,BMO,13.14855,13.21489,13.99444,13.57979
2004-04-15,,,BMO,12.16274,12.12974,12.78573,12.66196
2004-02-13,,,BMO,10.09934,10.07884,10.09114,10.21005
2003-10-17,,,BMO,9.91336,9.89299,9.76668,9.99893
2003-07-18,,,BMO,8.70021,8.57477,8.85803,8.72854
2003-04-16,,,BMO,7.68773,7.73192,7.57125,7.95684
2003-02-07,,,,8.73058,8.14138,8.16128,7.96223
2002-10-18,,,BMO,8.50034,9.1606,8.86803,8.92338
2002-07-17,,,BMO,10.3334,9.66571,10.25092,9.35936
2002-04-17,,,BMO,11.65557,12.10085,11.97586,11.73759
2002-02-07,,,BMO,9.88673,9.73905,9.81289,10.10437
2001-10-17,,,,9.00292,8.7287,7.99487,8.58193
2001-07-18,,,BMO,9.21918,9.30359,9.32277,9.18849
2001-04-18,,,BMO,7.3448,7.32192,7.60412,7.64607
2001-02-08,,,BMO,7.35742,7.32193,7.4757,7.40473
2000-10-20,,,AMC,5.14978,5.68573,5.75564,5.87215
2000-07-19,,,BMO,5.80224,5.49931,5.52261,5.68573
2000-04-19,,,BMO,7.33697,7.45233,7.33697,7.17546
2000-02-03,,,BMO,6.96261,7.19165,7.32907,7.26036
1999-10-21,,,BMO,7.23244,7.55085,7.64182,7.77828
1999-07-22,,,BMO,7.50671,7.46149,7.37105,7.28061
