Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.11,AMC,13.98,14.07,13.88,13.4
2015-03-04,,0.16,AMC,17.93,17.8,17.8,17.54
2014-11-06,0.16,0.13,AMC,16.10077,16.07103,15.88266,15.72403
2014-08-06,0.17,0.15,AMC,14.71165,14.74112,14.29918,14.43667
2014-05-06,0.18,0.17,AMC,13.90449,13.43777,14.1573,13.63224
2014-02-25,0.18,0.22,BMO,17.65938,17.80381,15.42548,14.42407
2013-10-31,0.11,0.22,BMO,22.9721,22.9721,21.05856,21.28819
2013-08-01,0.22,0.23,BMO,16.93654,17.97018,16.91758,17.19258
2013-05-03,0.3,0.2,BMO,12.30537,12.22077,12.87881,12.8506
2013-02-28,,0.22,BMO,9.83946,10.03458,10.61064,10.50844
2012-11-01,0.24,0.21,AMC,7.20914,7.56639,7.53891,8.03357
2012-08-02,0.22,0.21,AMC,8.01885,7.82964,7.82964,7.92875
2012-05-03,0.25,0.26,AMC,7.82464,7.81577,8.12627,8.52549
2012-02-27,,0.19,BMO,12.19344,11.948,10.89608,10.90485
