Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-02-11,,0.04,AMC,10.47,10.45,10.36,10.74
2014-11-05,0.0,-0.01,AMC,13.84,13.45,13.94,13.7
2014-07-30,0.0,-0.01,AMC,9.67,10.16,11.78,12.19
2014-05-07,0.01,-0.01,AMC,9.49,9.29,9.21,9.3
2014-02-12,0.01,,AMC,13.11,13.2,12.06,12.17
2013-11-06,0.0,-0.02,AMC,9.25,9.11,11.17,11.31
2013-07-31,,-0.02,AMC,9.93,9.24,10.0,10.05
2013-05-08,,0.07,AMC,12.77,12.75,8.12,8.39
2013-02-12,,0.08,AMC,14.0,13.66,13.15,13.07
2012-11-06,,0.08,AMC,14.87,14.68,13.01,13.5
2012-08-01,0.08,0.09,AMC,18.7,17.93,16.04,16.26
2012-05-08,,0.09,AMC,15.41,14.89,15.74,16.03
2012-02-13,0.1,0.09,AMC,12.69,12.59,14.96,15.43
2011-11-03,0.09,0.08,AMC,12.13,12.39,13.52,13.31
2011-08-03,,0.08,AMC,11.64,11.56,11.08,11.67
2011-05-02,0.09,0.07,AMC,13.36,13.03,11.2,10.88
2011-02-10,,0.09,AMC,11.49,11.49,10.69,10.55
2010-11-04,0.09,0.08,AMC,9.67,9.99,9.18,9.88
2010-08-04,0.06,0.07,AMC,7.14,7.25,6.96,7.0
2010-05-05,,0.07,AMC,8.28,8.15,6.51,7.23
2010-02-10,0.09,0.07,AMC,6.05,5.96,6.5,6.61
2009-11-05,0.08,0.06,AMC,5.02,5.11,5.9,5.8
2009-08-04,0.06,0.05,AMC,4.23,4.14,4.14,4.0
2009-05-06,0.06,0.04,AMC,2.94,2.83,3.0,3.15
2009-02-11,0.03,0.04,AMC,1.97,1.9,1.99,1.99
2008-11-05,,0.04,AMC,1.92,1.98,1.75,1.66
2008-08-06,,0.04,AMC,2.76,2.85,2.67,2.91
2008-05-01,0.03,0.04,AMC,3.37,3.44,2.81,2.78
2008-02-13,0.09,0.06,AMC,3.81,3.8,3.53,3.49
2007-11-01,,0.06,AMC,5.74,5.53,6.15,5.81
2007-08-02,,0.05,AMC,5.6,5.94,5.2,5.08
2007-05-01,,0.05,AMC,7.0,6.85,6.75,6.51
2007-02-08,,0.04,AMC,5.93,5.95,6.2,6.19
2006-11-02,,0.03,AMC,5.18,5.45,5.64,5.82
2006-08-03,,0.03,AMC,4.15,4.25,4.24,3.71
2006-05-04,0.03,0.02,,6.8,6.6,5.78,5.84
2006-02-02,0.03,0.02,AMC,5.83,5.13,5.31,5.49
2005-11-01,0.02,0.01,,4.44,4.28,4.22,4.5
2005-08-04,,0.01,AMC,3.24,3.38,3.36,3.17
2005-05-05,0.01,,AMC,2.53,2.49,2.53,2.4
2005-02-03,,,AMC,2.98,3.17,2.56,2.61
2004-10-28,,,AMC,2.49,2.67,2.13,2.15
2004-08-03,,,AMC,2.65,2.75,2.66,2.41
2004-04-29,,,AMC,5.07,4.97,4.58,3.9
2004-01-29,,,AMC,5.66,5.34,4.93,4.78
2003-10-28,,,AMC,5.58,5.35,5.05,5.5
2003-07-23,,,AMC,2.03,2.14,2.6,2.7
2003-05-01,,,AMC,0.98,0.92,1.04,1.05
2003-02-06,,,AMC,0.94,0.96,0.9,0.89
2002-10-31,,,AMC,0.65,0.66,0.69,0.6
2002-07-25,,,AMC,0.7,0.76,0.66,0.7
2002-05-02,,,AMC,0.42,0.42,0.42,0.37
2002-02-06,,,,0.51,0.7,0.47,0.38
2001-11-01,,,,0.35,0.3,0.31,0.33
2001-04-26,,,,0.47,0.53,0.51,0.46
2001-02-08,,,AMC,1.5,1.4375,1.4375,1.4375
2000-10-26,,,AMC,1.96875,1.6875,2.25,2.4375
2000-07-27,,,AMC,8.8125,8.75,8.5625,9.5
