Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-03-26,,0.23,BMO,51.21,48.67,47.64,47.02
2015-03-25,,0.23,BMO,50.77,51.21,48.67,47.64
2015-03-24,,0.23,BMO,50.34,50.77,51.21,48.67
2015-03-23,,0.23,BMO,49.91,50.34,50.77,51.21
2014-12-18,0.21,0.22,BMO,45.89,47.71,49.1,48.28
2014-09-22,0.24,0.23,BMO,41.25,40.84,39.86,40.15
2014-07-22,0.2,0.21,BMO,40.1,38.64,36.97,42.99
2014-03-25,,0.18,BMO,46.43,45.32,47.08,45.28
2013-12-19,0.17,0.25,BMO,47.88,48.28,43.97,45.6
2013-09-24,,0.32,BMO,39.64,39.80667,40.64667,39.68667
2013-07-23,0.29,0.31,BMO,39.09333,39.44,38.83333,37.47333
2013-03-26,,0.27,BMO,32.46,32.38667,32.66667,32.55333
2012-12-20,,0.27,BMO,31.95333,31.06667,31.11333,30.84
2012-09-25,0.28,0.27,BMO,26.55333,26.66667,28.55333,28.66667
2012-07-24,0.25,0.26,BMO,28.65333,28.18,26.48667,26.47333
2012-03-27,,0.22,BMO,24.76667,25.64667,26.45333,26.30667
2011-12-22,0.22,0.27,BMO,22.02667,21.4,20.66,20.63333
2011-09-27,0.25,0.26,BMO,22.78,23.72667,21.92,22.6
2011-07-26,0.25,0.24,BMO,31.18,30.45333,28.47333,26.44667
2011-03-22,,0.21,BMO,25.97333,26.65333,27.4,26.40667
2011-01-04,,0.26,BMO,27.35333,28.17333,27.62,26.62
2010-09-23,,0.23,BMO,21.66667,21.6,21.5,22.18
2010-07-20,,0.19,BMO,17.02,17.17333,17.97333,17.72667
2010-03-29,,0.16,BMO,17.0,16.88667,17.26667,16.87333
2009-12-18,,0.19,BMO,16.22667,15.84667,15.28,15.73333
2009-09-24,,0.26,BMO,13.28444,13.54667,14.15556,14.68444
2009-07-21,,0.22,BMO,13.09333,12.88889,12.90667,13.07111
