Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-05,,0.08,AMC,38.99,36.99,36.05,35.24
2015-02-24,,0.44,AMC,31.71,31.67,36.0,33.6
2014-10-28,,0.52,AMC,28.17,29.38,32.58,31.8
2014-07-29,0.43,0.51,AMC,44.0,43.47,41.48,40.3
2014-04-29,0.44,0.4,AMC,31.83,32.24,33.85,33.56
2014-02-25,0.49,0.45,AMC,25.32,25.66,27.54,27.35
2013-11-05,0.47,0.49,BMO,30.45,31.02,30.8,30.09
2013-07-24,,0.37,AMC,26.89,26.48,24.8,24.78
2013-04-23,,0.45,AMC,19.95,19.84,21.31,21.91
2013-02-20,0.28,0.43,BMO,27.15,27.3,24.75,24.43
2012-10-23,,0.52,AMC,33.95,33.32,27.46,27.23
2012-07-25,0.61,0.64,BMO,31.41,30.47,29.88,30.96
2012-04-25,0.91,0.76,BMO,32.48,33.71,35.18,35.75
2012-02-22,0.95,1.01,BMO,42.0,42.25,36.88,36.96
2011-10-20,1.04,1.16,BMO,41.14,42.05,35.81,36.73
2011-07-21,1.02,1.05,,71.6,72.85,72.91,72.04
2011-07-20,1.02,1.05,AMC,71.33,71.6,72.85,72.91
2011-04-21,0.98,0.92,,72.46,71.69,70.42,70.19
2011-04-20,0.98,0.94,AMC,71.7,72.46,71.69,70.42
2011-02-17,1.16,1.25,,71.57,69.2,68.53,65.98
2011-02-16,1.16,1.25,AMC,71.49,71.57,69.2,68.53
2010-10-21,,1.05,,58.85,58.91,59.11,59.99
2010-10-20,1.1,1.05,,58.01,58.85,58.91,59.11
2010-07-23,1.06,1.08,,52.21,51.5,52.64,53.36
2010-07-22,,1.08,AMC,50.11,52.21,51.5,52.64
2010-04-28,1.19,1.12,,55.69,57.12,58.02,58.19
2010-02-17,1.4,1.35,BMO,52.02,52.69,50.75,50.68
2009-10-22,,1.34,,48.04,47.5,46.08,45.25
2009-10-21,1.58,1.34,AMC,49.16,48.04,47.5,46.08
2009-07-23,1.28,1.11,BMO,35.36,35.52,39.36,40.53
2009-07-22,,1.08,AMC,35.36,35.52,39.36,40.53
2009-04-22,0.85,0.7,AMC,27.67,27.5,30.0,32.5
2009-02-05,0.2,0.45,AMC,19.42,20.17,22.57,23.02
2008-10-22,1.02,1.14,BMO,23.73,22.18,19.77,20.78
2008-07-24,1.06,0.98,,52.0,52.27,51.72,51.73
2008-04-23,0.87,0.74,AMC,63.46,62.37,61.9,65.49
2008-02-12,,0.64,,52.7,50.72,50.53,49.21
2007-10-25,,0.76,BMO,50.28,52.27,51.6,53.62
2007-07-25,0.87,0.77,AMC,46.42,47.85,48.99,48.97
2007-04-25,,0.92,AMC,44.34,45.46,45.91,44.9
2007-02-07,0.86,0.97,BMO,43.03,43.06,42.7,40.85
2006-10-25,0.89,0.83,AMC,40.55,41.83,41.99,40.74
2006-07-27,0.81,0.93,BMO,47.78,48.96,45.28,45.65
2006-04-27,1.13,1.03,,45.08,44.11,44.6,45.41
2006-02-08,0.77,1.12,AMC,47.17,47.15,44.07,42.54
2005-10-26,1.0,1.08,AMC,46.5,46.25,44.35,45.12
2005-07-26,1.05,0.99,AMC,41.89,41.82,42.54,42.57
2005-04-28,0.96,0.89,BMO,36.45,35.685,35.225,35.515
2005-02-09,,,AMC,32.025,32.085,35.045,34.665
2004-10-28,,,BMO,31.36,30.235,29.305,29.1
2004-07-28,,,BMO,27.7,28.475,28.67,29.275
2004-04-28,,,AMC,27.275,26.96,26.22,26.34
2004-02-12,,,BMO,24.565,24.69,24.705,23.125
2003-10-29,,,BMO,19.765,19.815,20.005,19.95
2003-07-23,,,AMC,17.255,17.36,17.445,17.765
2003-04-24,,,BMO,16.995,16.95,17.0,17.045
2003-02-12,,,AMC,16.775,16.34,16.4,16.155
2002-10-30,,,AMC,17.25,17.485,17.495,17.965
2002-07-22,,,,15.685,14.575,14.1,14.475
2002-04-24,,,AMC,19.065,18.7,18.81,18.71
2002-02-14,,,,17.0,17.045,16.965,17.17
2001-10-31,,,,17.65,17.405,17.51,17.295
2001-07-26,,,,15.8,16.345,16.625,16.65
2001-04-26,,,,17.8,18.305,18.12,18.0
2001-02-15,,,,19.255,18.35,18.63,18.565
2000-10-26,,,,18.9375,19.0625,18.5,18.46875
2000-07-27,,,BMO,16.0,16.1875,16.57812,16.28125
2000-04-27,,,BMO,19.15625,19.15625,19.53125,20.3125
2000-02-10,,,BMO,14.125,13.875,15.3125,14.78125
1999-10-28,,,BMO,13.84375,14.15625,14.75,14.71875
1999-07-29,,,,13.90625,14.1875,14.46875,13.96875
