Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-30,,0.47,AMC,39.48,39.05,40.21,40.89
2015-01-27,-0.52,0.34,AMC,36.13653,35.95699,35.33859,35.80738
2014-10-23,0.49,0.47,AMC,35.66782,36.41381,36.04579,35.449
2014-07-21,0.51,0.5,AMC,41.71607,41.27936,41.99398,41.89473
2014-04-30,0.44,0.39,AMC,37.70343,37.11895,37.29727,38.4464
2014-01-28,,0.26,AMC,33.05619,33.26378,35.09254,35.13209
2013-10-24,0.36,0.33,AMC,30.57192,30.5522,30.84805,30.67054
2013-07-30,0.37,0.35,AMC,26.98459,27.55538,28.45093,29.01188
2013-05-01,,0.26,AMC,22.12099,21.19806,23.25011,23.18139
2013-01-29,,0.21,AMC,22.5328,22.34674,21.7396,21.38706
2012-10-25,0.32,0.31,AMC,17.9346,17.78807,18.31556,18.49139
2012-07-31,0.37,0.33,AMC,14.47081,14.34421,14.23709,14.21762
2012-05-03,0.29,0.26,BMO,13.31949,13.56201,13.09636,12.85384
2012-02-17,0.43,0.49,BMO,14.052,14.2163,14.30328,13.83939
2011-10-25,0.61,0.56,BMO,11.37424,11.73059,10.70007,10.25704
2011-08-03,1.09,1.0,BMO,14.91409,14.1847,13.92558,12.95626
2011-05-04,0.3,0.68,BMO,13.57997,13.40771,13.81922,13.52255
2011-02-03,,,,13.03433,12.78624,13.75952,13.64502
2010-11-04,,,BMO,12.64311,12.58586,12.97708,12.75762
2010-08-02,,,BMO,9.84731,9.83777,10.9351,10.70609
2010-05-05,,,BMO,11.04006,10.47709,9.71373,9.46564
2010-02-04,,,BMO,7.16602,7.18511,7.00381,6.7748
2009-11-04,,,BMO,5.33396,5.51526,5.99236,6.20228
2009-08-06,0.38,,BMO,4.48473,4.31297,4.37022,4.54198
2009-05-06,-0.35,,BMO,2.74809,2.83397,2.94847,2.92939
2009-02-05,-0.31,,BMO,2.04198,2.0229,2.3187,2.5
2008-11-05,1.37,,BMO,4.52289,4.44656,4.09351,3.78816
2008-08-07,0.73,,BMO,7.40457,7.83396,7.20419,7.5477
2008-05-06,0.42,,AMC,7.06106,6.8893,6.479,6.71755
2008-02-06,,,AMC,6.02098,5.92556,6.71755,6.55534
2007-10-29,,,AMC,7.60495,7.57633,7.9103,7.62404
2007-08-07,,,AMC,6.86068,6.82251,7.05152,6.7748
2007-05-02,,,AMC,6.24045,6.43129,6.76526,6.75572
2007-01-30,,,AMC,7.01335,6.9561,6.99427,6.86068
2006-11-01,,,AMC,7.82442,7.73854,8.01526,7.9103
2006-08-02,,,AMC,7.79579,7.88167,7.89121,7.83396
2006-05-03,,,AMC,8.87403,8.72136,9.03625,8.90266
2006-03-23,,,,8.88358,8.84541,8.99808,9.00762
2006-02-07,0.13,0.07,AMC,7.22327,7.02289,7.99617,7.82442
2005-10-27,,0.1,,5.13358,5.15267,5.49618,5.50572
2005-07-28,0.24,0.2,AMC,6.479,6.6603,6.81297,6.81297
2005-04-28,0.17,0.12,AMC,7.41411,7.0706,7.3664,7.51907
2005-02-03,,,AMC,8.28243,8.08205,8.00572,8.23472
2004-10-27,,,AMC,7.06106,7.28052,7.05152,7.22327
2004-07-28,,,AMC,6.22137,6.19274,7.01335,6.89885
2004-04-28,,,AMC,6.65075,6.45992,6.71755,6.52671
2004-02-04,,,AMC,6.2977,5.61068,5.91602,6.33587
2003-10-29,,,AMC,4.24618,4.20801,4.49427,4.60877
2003-07-29,,,AMC,3.8645,3.82633,4.05534,4.35114
2003-04-29,,,BMO,4.16984,4.38931,4.32251,4.40839
2003-01-30,,,AMC,3.15839,3.05343,3.35877,3.43511
2002-10-30,,,AMC,8.37831,8.52032,7.57361,8.33097
2002-07-30,,,AMC,9.86497,9.57344,9.33834,9.73332
2002-04-30,,,AMC,11.13397,11.35852,11.83569,12.05088
2002-01-30,,,AMC,9.52251,9.32722,9.34582,9.55041
2001-10-30,,,AMC,7.75551,7.98633,7.894,8.21715
2001-07-31,,,AMC,9.54304,9.65315,9.64398,9.81832
