Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-03-24,,0.12,AMC,35.54473,36.55175,32.03513,31.85566
2015-01-06,0.18,0.16,AMC,26.88264,26.93234,29.54704,30.58099
2014-10-21,0.34,0.33,AMC,23.4975,23.34891,24.29,24.07206
2014-06-23,0.3,0.29,AMC,22.18988,22.43754,22.5366,22.55641
2014-03-24,0.07,0.06,AMC,21.07048,20.72377,23.0121,22.36819
2014-01-06,,0.13,AMC,19.53502,19.06943,19.96099,19.00999
2013-10-21,,0.3,AMC,18.44534,18.47506,18.08872,18.13825
2013-06-24,,0.26,AMC,14.16586,14.05689,14.17577,14.53239
2013-03-25,,0.05,AMC,11.73884,11.61997,12.74928,12.75918
2013-01-03,,0.1,AMC,10.54019,10.63926,10.5501,10.59963
2012-10-16,0.25,0.24,AMC,9.53967,9.60901,10.28263,10.3916
2012-06-20,0.24,0.22,AMC,9.08398,9.25239,9.51986,9.39108
2012-03-21,0.03,0.02,AMC,7.73674,7.97449,7.46927,7.41974
2012-01-04,,0.09,AMC,6.88481,6.78575,6.62725,6.48856
2011-10-18,0.2,0.22,AMC,7.05321,7.25134,6.83528,6.7164
2011-06-22,0.21,0.18,AMC,10.74823,10.42132,10.35198,10.32226
2011-03-22,0.02,0.03,AMC,9.1137,8.99483,9.12361,9.01464
2011-01-04,,0.1,AMC,9.98545,10.00526,11.20391,11.08504
2010-10-19,,0.23,AMC,9.57929,9.18305,8.97502,9.12361
2010-06-21,0.18,0.19,AMC,9.35145,9.20286,8.44008,8.21224
2010-03-23,-0.01,0.02,AMC,11.00578,11.08504,10.78785,10.99588
2010-01-05,0.1,0.13,AMC,10.19348,10.15385,8.82642,8.59858
2009-10-20,0.29,0.27,AMC,11.12466,11.06522,9.92601,10.0746
2009-06-23,0.24,0.2,AMC,8.42027,8.71745,9.71798,9.66845
2009-03-23,0.08,0.09,AMC,8.44999,9.19295,9.08398,9.62882
2009-01-07,0.12,0.16,AMC,11.84781,11.29307,11.09494,10.99588
2008-10-17,,0.33,BMO,10.38169,11.05532,10.95625,11.0256
2008-06-24,0.28,0.31,AMC,16.1372,16.35513,14.62155,14.17577
2008-03-24,,0.15,AMC,21.79363,23.07154,22.34838,22.42763
2008-01-03,0.22,0.21,AMC,21.39739,19.79258,20.47611,21.58561
2007-10-15,0.34,0.33,AMC,24.55746,24.31972,25.4094,24.78531
2007-06-20,,0.31,AMC,23.70553,23.60647,21.51626,21.27851
2007-03-28,,0.14,AMC,21.38748,21.27851,21.31814,22.07101
2007-01-03,,0.2,AMC,23.72534,23.6461,22.38801,22.08092
2006-10-16,0.29,0.28,AMC,23.56684,23.79469,22.49697,22.25923
2006-06-20,0.27,0.26,AMC,21.03086,21.26861,21.04076,21.27851
2006-03-20,0.15,0.14,AMC,21.89931,22.14365,22.42763,22.82388
2006-01-04,,0.18,AMC,19.502,19.36992,18.45854,18.75573
2005-10-12,,,AMC,18.5312,18.5312,18.41892,17.98965
2005-06-27,,,AMC,21.55589,21.33134,20.49922,20.17563
2005-03-22,,,AMC,22.30876,22.34177,22.01818,22.11063
2005-01-03,,,AMC,20.1426,19.57465,20.76339,20.40016
2004-10-12,,,AMC,16.20654,16.65562,17.46133,17.63964
2004-06-28,,,AMC,15.11025,15.30837,14.8659,15.0244
2004-03-24,,,AMC,15.1851,14.99138,14.76243,14.72722
2004-01-05,,,AMC,13.25229,13.71018,15.15428,15.13227
2003-10-14,,,AMC,11.85662,11.92706,12.21324,12.36293
2003-06-23,,,AMC,10.85279,10.7119,11.31949,11.13896
2003-03-24,,,AMC,11.01129,10.58422,11.58805,11.23143
2003-01-06,,,AMC,8.85834,9.05646,10.17037,10.20558
2002-10-14,,,AMC,11.02009,11.01129,9.7433,9.79172
2002-06-24,,,AMC,14.08441,13.79823,13.22148,13.8951
2002-03-25,,,AMC,12.17362,12.03713,11.6673,11.68931
2002-01-02,,,AMC,10.56661,10.53139,10.31712,10.51084
2001-10-17,,,AMC,9.70954,9.51288,9.39547,9.41896
2001-06-25,,,AMC,8.49732,8.60005,8.29185,8.64408
2001-03-26,,,AMC,6.95268,6.49407,7.0811,7.17282
2001-01-02,,,AMC,6.84262,6.32896,6.82427,7.04441
2000-10-16,,,AMC,6.65305,6.32285,6.43292,6.55521
2000-06-22,,,AMC,5.62574,5.56459,5.62574,5.79696
2000-03-27,,,AMC,5.17323,5.20993,5.20993,5.16101
2000-01-04,,,AMC,5.50345,5.66243,5.36891,5.35669
1999-10-18,,,AMC,6.10883,6.16385,6.16998,5.87034
1999-06-22,,,AMC,5.62574,5.69912,5.85811,5.90703
