Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-27,,0.41,AMC,31.49,31.51,31.7,
2015-03-03,,0.42,AMC,26.67278,26.76236,27.17041,27.12065
2014-11-05,0.46,0.42,AMC,22.22619,22.59267,22.79076,23.0681
2014-08-13,0.5,0.43,AMC,21.34334,21.40244,21.10696,20.54556
2014-05-21,0.4,0.41,AMC,21.08958,21.2463,23.88128,23.53844
2014-03-05,0.31,0.25,AMC,22.65217,22.6814,22.4086,22.11631
2013-10-23,0.55,0.5,AMC,22.40263,22.29586,22.52882,22.99473
2013-07-31,0.3,0.27,AMC,19.56019,19.00934,19.07699,19.16396
2013-05-22,,0.37,AMC,17.00507,17.00507,17.05316,17.12049
2013-02-13,,0.24,AMC,15.60483,16.59091,16.1218,16.13138
2012-10-24,,0.46,AMC,13.53411,13.43887,13.83889,13.78175
2012-08-01,0.35,0.27,AMC,16.29837,15.55926,15.1518,14.37478
2012-05-16,0.46,0.39,AMC,16.77727,16.53207,16.80556,16.40947
2012-02-08,0.22,0.21,AMC,17.44869,17.12922,16.79096,16.53726
2011-10-19,0.48,0.49,AMC,15.81769,15.59306,15.66794,15.90193
2011-07-27,0.29,0.3,AMC,18.45953,17.97474,16.27795,16.46441
2011-05-11,0.34,0.28,AMC,15.21382,14.69369,15.38101,14.97234
2011-02-02,0.24,0.26,AMC,13.60919,13.96099,14.48869,13.88693
2010-10-13,0.47,0.44,AMC,13.68639,14.02786,15.15378,14.74771
2010-07-28,0.29,0.27,AMC,13.43415,13.07554,13.13071,13.20427
2010-05-12,0.29,0.22,AMC,13.93011,14.1134,15.49724,14.9657
2010-02-03,0.23,0.22,AMC,12.59277,12.66583,12.14531,12.401
2009-10-14,0.47,0.46,AMC,13.45772,13.75799,13.10285,13.28483
2009-07-28,0.31,0.33,AMC,13.10928,13.6351,11.67687,11.88539
2009-05-13,0.4,0.38,AMC,13.66867,13.3256,12.86516,12.52209
2009-02-04,0.4,0.39,AMC,17.06281,16.62185,17.07181,17.55778
2008-10-15,0.55,0.54,AMC,22.86069,20.68776,23.57003,22.86069
2008-07-30,0.35,0.33,AMC,20.38545,20.56466,21.31736,21.33528
2008-05-14,0.36,0.32,AMC,18.58893,19.01811,21.17296,20.28778
2008-02-06,0.36,0.33,AMC,15.99517,16.51258,18.8231,19.44756
2007-10-17,0.53,0.47,AMC,19.7695,20.02764,21.95919,20.64182
2007-08-01,0.31,0.29,AMC,26.0016,25.55743,25.10438,23.94954
2007-05-16,0.35,0.28,AMC,23.99213,24.43544,24.24039,25.07382
2007-01-31,0.28,0.27,AMC,20.38752,20.93614,20.79456,21.69713
2006-10-11,0.45,0.39,AMC,15.68634,15.87171,15.51862,17.32824
2006-07-26,0.26,0.15,AMC,11.41744,12.15689,12.23611,12.86993
2006-05-10,0.22,0.17,AMC,12.07685,11.98037,11.87513,11.61202
2006-02-01,0.22,0.21,AMC,10.36752,10.55094,10.00942,10.19284
2005-10-12,0.33,0.31,AMC,7.84333,7.79966,8.06169,8.63815
2005-07-20,0.13,0.11,AMC,12.66462,12.79564,9.92208,9.86094
2005-05-04,,,AMC,10.04436,9.84347,10.12297,10.04436
2005-01-26,,,AMC,6.14016,6.2275,6.44586,6.69042
2004-10-06,,,AMC,3.74698,3.83432,4.2361,4.07015
2004-07-21,,,AMC,2.74255,2.9347,3.27533,3.66837
2004-05-05,,,AMC,3.47622,3.41508,3.55483,3.45002
2004-02-04,,,AMC,4.50686,4.80382,4.98724,4.25357
2003-10-15,,,AMC,2.55913,2.70761,3.6247,3.83432
2003-07-30,,,AMC,3.10938,3.23166,3.28407,3.22293
2003-06-24,,,AMC,2.27963,2.30584,2.39318,2.28837
2003-02-12,,,AMC,2.31457,2.02634,1.45862,1.89533
2002-10-17,,,AMC,2.22723,2.31457,1.9652,2.01761
2002-07-31,,,AMC,3.04824,3.18799,2.96964,2.70761
2002-05-08,,,AMC,7.05725,6.98738,5.79079,5.65978
2002-02-04,,,AMC,6.71662,6.69042,7.20573,6.98738
2001-10-11,,,,11.54664,11.53791,11.4069,11.62525
2001-07-25,,,AMC,14.41147,14.41147,13.26729,12.68209
2001-05-10,,,BMO,8.86524,9.03992,9.83474,10.93525
2001-01-31,,,BMO,8.29751,8.29751,8.13375,8.29751
2000-10-10,,,BMO,6.11396,5.78642,6.46878,5.8956
