Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-08,,,BMO,23.83,23.86,23.67,23.5
2015-03-04,,0.4,BMO,19.77093,19.71987,19.54114,19.72838
2014-11-07,0.0,0.06,BMO,15.0048,15.43035,15.34524,15.79632
2014-08-08,0.09,0.12,BMO,18.51982,18.12832,16.9538,16.06867
2014-05-09,-0.01,-0.13,BMO,15.96654,14.9282,16.12824,17.35382
2014-03-04,0.14,0.11,BMO,16.69848,16.60486,18.21342,17.77086
2013-11-08,-0.09,-0.05,BMO,16.34102,16.13675,15.87292,15.53248
2013-08-05,0.05,0.07,BMO,14.19627,14.20477,12.65578,12.29832
2013-05-06,,-0.07,BMO,11.96639,12.27279,11.98342,12.07704
2013-02-26,,0.56,BMO,9.66844,9.65993,9.13225,8.82585
2012-11-09,,-0.06,BMO,8.68968,8.65564,9.0131,8.90245
2012-08-07,-0.05,-0.07,BMO,8.19604,8.18754,8.38329,8.45989
2012-05-08,,,BMO,7.36197,7.32792,7.52367,7.71092
2012-02-24,,-0.08,BMO,7.88965,8.0088,8.20455,8.19604
2011-11-08,-0.09,-0.08,BMO,7.20878,7.21728,7.58325,7.04707
2011-08-09,-0.09,-0.01,BMO,6.71514,6.02575,6.95344,6.19597
2011-05-10,,,BMO,7.87263,7.94923,7.77049,7.74496
2011-02-24,,,BMO,7.88965,7.74496,7.74496,7.99178
2010-11-02,-0.02,-0.01,BMO,7.43857,7.42155,8.02583,7.80454
2010-08-09,-0.02,-0.01,BMO,6.77472,6.57045,7.17473,6.80025
2010-05-10,-0.03,,BMO,7.8556,7.86412,7.6173,7.82156
2010-02-23,,,BMO,5.96617,5.94064,6.21299,6.4513
2009-11-05,,,BMO,5.54914,5.37041,5.78745,5.77893
2009-08-10,,,BMO,3.82142,4.64698,6.6045,4.92784
2009-05-04,,,BMO,1.67665,1.80432,1.60857,1.48942
2009-02-19,,,BMO,1.33622,1.27664,1.20004,1.19154
2008-11-07,,,BMO,4.05973,3.51503,3.24267,3.06394
2008-07-24,,,BMO,7.37395,7.66558,7.09065,6.21578
2008-04-24,,,BMO,8.28765,8.38144,8.52307,8.50776
2008-01-31,2.25,2.11,BMO,7.76883,7.82226,7.76883,7.93482
2007-10-25,1.5,1.25,BMO,8.09045,8.06572,8.28824,8.3529
2007-07-24,1.86,1.82,,8.88665,8.34652,8.29724,7.81965
2007-04-25,1.17,1.09,BMO,8.5492,8.53031,8.21857,8.177
2007-01-30,2.25,2.11,BMO,9.87221,9.83075,9.3313,9.20314
2006-10-17,1.44,1.19,BMO,9.20322,9.2333,9.12801,9.24834
2006-07-24,1.92,1.81,BMO,7.92907,7.85969,8.03781,7.97219
2006-04-25,1.44,1.2,BMO,8.14766,8.3328,8.46183,8.56655
2006-02-02,1.62,1.48,BMO,9.01923,9.00243,9.37559,9.31775
2005-10-14,1.05,1.12,BMO,9.02974,9.08558,9.03719,9.02788
2005-07-19,1.74,1.59,BMO,8.8557,8.77584,9.07673,9.33861
2005-04-14,1.26,1.14,BMO,9.00148,8.95514,9.58712,9.70202
2005-01-25,,,BMO,8.97113,8.85832,8.80099,8.75106
2004-10-14,,,BMO,9.03306,9.06074,8.75626,8.68983
2004-07-15,,,BMO,9.51492,9.48545,9.72489,9.71844
2004-04-14,,,BMO,9.54061,9.48271,9.71065,9.71985
2004-01-22,,,BMO,8.52366,8.54843,8.45943,8.62458
2003-11-14,,,,8.52727,8.54101,8.46406,8.43109
2003-10-14,,,BMO,7.99231,8.0601,8.50803,8.41185
2003-07-14,,,BMO,8.06144,8.12911,7.76426,7.73591
2003-05-21,,,BMO,7.49525,7.57649,7.72254,7.78188
2003-04-10,,,BMO,7.33185,7.24696,7.16572,7.27982
2003-04-01,,,,6.91378,6.96946,7.27708,7.21227
2003-01-23,,,BMO,7.61158,7.38562,7.55144,7.36466
2002-11-04,,,BMO,7.01952,7.09682,7.04862,7.04862
2002-10-10,,,BMO,6.0292,5.97919,6.51845,6.84765
2002-09-06,,,,6.34203,6.45661,6.4166,6.50754
2002-07-11,,,BMO,7.02413,6.81177,6.73827,6.93701
2002-04-19,,,,7.35687,7.38041,7.29256,7.24094
2002-04-10,,,BMO,7.74631,7.77891,7.90299,7.72186
2002-02-14,,,,6.63521,6.70481,6.62075,6.69035
2002-01-23,,,BMO,6.20498,6.31073,6.26734,6.35411
2001-10-25,,,,5.85755,5.79533,5.78541,5.65737
2001-10-10,,,,5.28406,5.49957,5.65196,5.76197
2001-07-12,,,,6.21498,6.24287,6.10342,6.15561
2001-05-15,,,,5.80521,5.79354,5.86266,6.05027
2001-04-11,,,,5.26391,5.25404,5.31418,5.28007
2001-01-29,,,AMC,5.6863,5.74899,5.81973,5.75794
2001-01-23,,,BMO,5.66951,5.61914,5.75906,5.76466
2000-11-13,,,AMC,5.20376,5.17584,5.29868,5.40476
2000-10-10,,,BMO,4.63425,4.62308,4.84084,4.77942
2000-09-01,,,BMO,4.57841,4.52816,4.4835,4.45
2000-07-12,,,BMO,4.31498,4.37066,4.48758,4.54883
2000-04-13,,,AMC,4.28543,4.22991,4.04673,4.06893
2000-04-11,,,BMO,4.27432,4.13,4.22436,4.28543
2000-02-02,,,AMC,4.26053,4.21626,4.20519,4.18859
2000-01-24,,,,4.32692,4.29926,4.19966,4.24946
1999-10-11,,,,4.50723,4.37482,4.24794,4.08243
1999-07-12,,,BMO,4.32919,4.3787,4.47221,4.45021
