Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-06,,1.06,BMO,50.41,48.94,46.84,47.91
2014-10-30,0.37,0.18,BMO,68.96,66.67,71.1,73.19
2014-07-31,1.29,1.25,BMO,51.11,51.27,51.82,56.04
2014-05-07,1.4,1.29,BMO,42.64,42.85,51.87,51.74
2014-02-21,1.32,0.98,BMO,33.65,34.21,47.17,47.26
2013-10-31,0.3,0.05,BMO,49.17,49.26,39.42,37.85
2013-07-25,1.42,1.38,BMO,50.55,49.15,43.84,44.01
2013-05-02,,1.46,BMO,47.36,48.55,45.81,45.63
2013-02-14,,1.44,BMO,62.28,63.97,53.49,51.95
2012-11-09,,0.32,BMO,57.27621,55.01376,45.55261,45.53302
2012-07-26,1.85,1.86,BMO,88.31846,87.53671,76.66942,74.40137
2012-04-26,,2.09,BMO,80.03326,82.22779,94.50758,95.93879
2012-02-16,2.3,2.26,BMO,109.26085,108.81643,100.76961,104.13584
2011-11-03,1.2,1.08,BMO,77.32075,73.58803,84.98265,85.31944
2011-07-28,2.53,2.39,BMO,134.48456,132.58714,113.15028,112.59495
2011-04-28,2.8,2.67,BMO,109.04079,111.24362,116.17249,113.70346
2011-02-17,2.73,2.65,BMO,120.48447,117.46848,120.94005,124.48451
2010-10-28,1.72,1.7,BMO,115.50442,114.01141,115.82111,126.64316
2010-07-29,2.6,2.56,BMO,210.75285,212.51814,211.85165,215.61638
2010-04-29,2.65,2.58,BMO,223.32788,221.53227,219.59302,218.27325
2010-02-11,2.32,2.3,BMO,184.66388,187.9744,182.8118,184.54756
2009-10-29,1.21,1.15,BMO,194.92291,188.80009,179.87878,180.89481
2009-07-30,2.0,1.97,BMO,193.61812,192.88898,188.81657,188.84325
2009-04-30,2.07,1.97,BMO,155.92537,158.71007,167.9776,164.28831
2009-02-12,1.71,1.7,BMO,192.60948,199.77364,164.57202,169.15353
2008-10-30,0.83,0.81,BMO,165.92836,170.30511,187.15031,199.6629
2008-07-24,1.5,1.47,BMO,182.34709,181.36049,194.29214,193.12936
2008-04-30,1.64,1.58,BMO,156.69466,158.15408,163.25328,173.53079
2008-02-14,1.34,1.31,BMO,142.16875,138.55533,146.90479,146.46626
2007-11-01,0.64,0.61,BMO,152.23619,161.32053,155.5152,160.05737
2007-07-26,1.2,1.14,BMO,119.58443,118.56551,136.15475,134.59184
2007-05-03,1.3,1.29,BMO,109.37428,110.82123,108.79722,111.69112
2007-02-15,1.11,1.08,BMO,97.69551,98.58037,104.03558,106.24343
2006-10-26,0.44,0.4,BMO,88.20545,88.24829,92.77209,92.70354
2006-07-27,0.97,0.93,BMO,84.65895,83.65039,92.41116,93.33424
2006-05-04,1.1,1.03,BMO,88.58274,88.32697,90.42431,92.50459
2006-02-16,1.03,0.99,BMO,77.61799,77.20129,84.94862,84.94862
2005-10-27,0.44,0.42,BMO,77.37328,76.78796,76.55891,76.98306
2005-07-28,0.85,0.83,BMO,71.0061,71.77708,83.53658,83.39256
2005-05-04,0.94,0.93,BMO,91.9276,87.48605,71.58103,71.11572
2005-02-16,,,BMO,92.31082,90.65457,88.90536,91.3644
2004-10-28,,,BMO,88.08689,89.23372,84.68855,81.8299
2004-08-05,,,BMO,80.26987,79.89884,80.19398,78.64239
2004-05-06,,,BMO,105.87698,104.50327,102.1098,101.13219
2004-02-12,,,BMO,99.39367,98.39131,96.74036,95.05573
2003-11-03,,,BMO,83.08698,82.54822,87.54859,89.2238
2003-08-01,,,BMO,71.9597,71.12688,71.76621,72.44762
2003-05-09,,,BMO,53.79408,53.14687,53.57555,54.83634
2003-02-13,,,BMO,45.01073,45.01073,45.07789,44.83442
2002-11-01,,,BMO,45.78154,44.53196,46.96403,44.79194
2002-08-02,,,BMO,46.49385,48.07716,46.28442,43.69585
2002-05-03,,,BMO,45.82174,46.02257,48.65841,48.53289
2002-02-15,,,BMO,40.27928,40.71383,39.41018,39.08427
2001-11-01,,,BMO,41.39244,40.06555,40.01548,38.53002
2001-08-02,,,BMO,42.31144,43.88625,37.95365,39.32848
2001-04-24,,,BMO,31.07857,30.87055,31.70264,33.99089
2001-02-06,,,,22.99224,23.56316,23.87457,23.97837
2000-10-24,,,,16.59152,16.92801,17.44569,19.46463
2000-07-25,,,AMC,19.09138,18.62699,18.88498,18.4722
2000-04-25,,,,18.63026,18.63026,18.11561,17.65243
2000-02-08,,,AMC,20.99958,21.05092,21.15361,21.56436
1999-10-27,,,AMC,15.8182,15.66462,13.30981,14.38483
1999-07-27,,,AMC,22.90144,22.95244,20.50418,20.50418
