Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-21,,2.54,BMO,105.4,106.14,101.88,102.02
2015-01-22,3.07,2.53,BMO,105.299,104.47324,107.61709,106.45307
2014-10-21,2.61,2.2,BMO,92.27842,92.23883,93.26811,94.59429
2014-07-22,1.93,2.06,BMO,93.8059,93.7272,90.1556,90.30319
2014-04-22,2.95,2.13,BMO,84.79134,84.51744,84.99677,86.20974
2014-01-21,2.68,2.17,BMO,84.83339,84.08463,82.65519,82.22733
2013-10-22,2.35,1.99,BMO,83.71281,83.88685,83.8385,83.42274
2013-07-23,2.13,1.58,BMO,81.34898,82.08886,78.99479,78.96597
2013-04-23,,2.02,BMO,80.99764,80.77799,82.46842,82.00045
2013-01-22,,0.14,BMO,72.07883,72.46819,74.02562,73.73123
2012-10-18,2.22,1.61,BMO,66.52507,67.36501,69.78102,69.37521
2012-07-19,1.26,1.34,BMO,59.32302,59.96956,59.67908,58.7608
2012-04-19,2.01,1.52,BMO,55.78681,55.30324,57.377,58.35343
2012-01-24,1.48,1.53,BMO,56.86266,55.66244,53.54821,54.60994
2011-10-19,0.79,0.87,BMO,45.43542,47.15826,49.84333,49.97162
2011-07-21,-0.91,-0.64,BMO,51.8211,51.84837,52.42082,52.32087
2011-04-21,1.89,1.51,BMO,52.51207,53.36952,55.34617,55.76136
2011-01-25,1.89,1.67,BMO,49.33876,49.89495,50.44216,50.41525
2010-10-21,1.81,1.51,BMO,47.90982,48.69405,48.99706,49.104
2010-07-22,1.39,1.49,BMO,44.54866,44.12397,43.61079,44.36286
2010-04-23,1.22,1.37,BMO,46.36796,47.23736,46.8773,45.59516
2010-01-26,2.12,1.49,BMO,42.16537,42.6716,43.84116,44.42595
2009-10-22,1.61,1.31,BMO,42.02028,41.63876,44.82973,44.48288
2009-07-30,1.25,1.28,BMO,37.36434,36.74376,36.14903,37.123
2009-04-30,1.34,1.31,BMO,35.02802,36.43188,35.21634,35.27626
2009-01-27,1.58,1.46,BMO,32.17307,31.8846,33.84451,34.98991
2008-10-22,0.55,0.6,BMO,30.45935,30.61102,31.1924,34.54588
2008-07-23,1.5,1.45,BMO,36.04684,37.36889,38.15543,35.87949
2008-04-24,1.61,1.53,BMO,40.58086,40.16499,42.15286,41.76194
2008-01-29,1.63,1.61,BMO,37.55545,39.67999,39.37412,39.53945
2007-10-25,1.81,1.49,BMO,42.50163,42.26318,42.54274,43.75143
2007-07-26,1.73,1.48,BMO,41.10528,41.97186,41.89828,41.40776
2007-04-26,1.55,1.45,BMO,43.95415,44.5234,43.84844,43.64513
2007-02-01,1.69,1.42,BMO,41.7508,41.14396,42.07445,42.42237
2006-10-26,1.46,1.32,BMO,39.40821,39.11838,40.78487,40.18912
2006-07-27,1.34,1.29,BMO,36.12012,36.13613,36.02408,36.92849
2006-05-02,1.41,1.29,BMO,35.02531,34.52415,36.27422,36.47309
2006-02-02,0.22,0.94,BMO,35.90445,36.08643,35.84115,35.43764
2005-10-27,0.07,0.05,BMO,34.046,34.2979,34.65214,34.9985
2005-07-28,1.38,1.14,BMO,31.96232,32.4243,33.70843,34.46795
2005-05-03,1.23,1.11,BMO,27.86443,28.00453,28.69725,29.4211
2005-01-31,,,AMC,28.7206,29.21874,29.92702,29.55342
2004-10-27,,,AMC,25.6322,25.91073,25.98036,26.27436
2004-08-04,,,AMC,28.56618,28.04344,26.71353,26.02935
2004-04-28,,,AMC,32.73397,32.30577,32.00756,31.09765
2004-01-28,,,AMC,30.97601,30.62864,31.42909,31.81422
2003-10-29,,,AMC,26.83184,27.07917,28.5107,28.57816
2003-07-30,,,BMO,26.47615,26.43896,25.77706,26.15635
2003-04-30,,,BMO,26.62911,25.67728,25.33787,25.5666
2003-01-27,,,BMO,24.69765,23.91511,22.92048,23.27152
2002-10-23,,,BMO,24.94526,24.33613,23.21214,23.97355
2002-07-23,,,BMO,20.35936,19.6053,18.73635,18.21211
2002-04-25,,,BMO,34.89436,34.75179,34.01755,34.12448
2002-01-23,,,BMO,28.64678,27.97399,28.89465,30.08443
2001-10-23,,,BMO,33.59125,35.3081,34.65372,34.89296
2001-07-24,,,BMO,28.53778,28.11862,29.27131,30.00484
2001-04-24,,,BMO,29.73889,29.96124,29.44706,29.71804
2001-01-23,,,BMO,31.0979,32.26245,33.16822,33.81519
2000-11-06,,,BMO,34.33572,33.04813,33.8636,34.24988
2000-07-27,,,BMO,27.40393,29.04731,30.47726,30.56264
2000-04-27,,,BMO,22.36425,22.19483,22.53368,24.14323
2000-01-27,,,BMO,21.07162,21.74322,20.52594,20.14816
1999-10-28,,,BMO,17.78384,18.24197,20.03285,21.32395
1999-07-28,,,BMO,22.1655,22.20678,21.67018,20.84465
1999-04-30,,,BMO,19.5314,18.83531,18.79436,19.77708
