Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-04-29,,0.5,BMO,54.59,54.08,52.75,50.97
2015-02-11,,0.37,BMO,52.68,53.96,53.05,53.01
2014-10-23,0.56,0.52,AMC,40.76,41.15,44.85,44.41
2014-07-24,0.55,0.54,AMC,37.4,36.99,38.07,37.45
2014-04-24,,0.42,AMC,30.8,30.11,31.07,30.6
2014-02-13,0.31,0.32,AMC,31.7,31.73,30.79,31.01
2013-10-24,0.47,0.45,AMC,27.34,27.07,29.0,29.24
2013-07-25,0.5,0.47,AMC,27.78,27.88,27.9,28.25
2013-04-25,,0.36,AMC,21.47,21.6,23.96,24.07
2013-02-14,,0.24,AMC,22.1,21.85,22.82,22.99
2012-10-25,,0.36,AMC,19.07,19.33,19.47,19.58
2012-07-26,0.41,0.45,AMC,20.31,19.51,18.09,18.16
2012-04-26,0.34,0.33,AMC,23.2,23.34,23.96,23.66
2012-02-16,0.21,0.25,AMC,22.69,23.05,22.38,22.38
2011-10-27,,0.37,AMC,17.95,18.26,20.79,20.32
2011-07-28,0.45,0.44,AMC,20.09,19.89,19.54,18.89
2011-04-28,0.33,0.35,AMC,24.82,24.74,24.6,24.77
2011-02-17,0.24,0.21,AMC,23.87,23.75,25.88,25.2
2010-10-21,0.37,0.4,AMC,22.31,22.07,19.98,20.23
2010-07-22,0.44,0.49,AMC,22.22,22.95,20.75,20.89
2010-04-26,0.37,0.38,AMC,28.43,28.37,28.45,28.29
2010-02-18,,0.28,AMC,25.44,25.27,24.06,24.32
2009-10-22,,0.42,AMC,27.2,27.44,24.96,23.1
2009-07-23,0.48,0.47,AMC,25.92,26.91,26.31,26.09
2009-04-22,0.37,0.36,AMC,22.98,24.31,24.44,24.78
2009-02-19,0.3,0.23,AMC,20.8,20.56,22.62,22.01
2008-10-23,0.42,0.43,AMC,22.37,20.86,17.86,16.66
2008-07-24,0.47,0.45,AMC,29.02,28.52,28.03,27.76
2008-04-23,0.36,0.34,AMC,27.92,27.91,30.27,31.34
2008-02-21,,0.26,AMC,33.02,32.99,31.6,32.95
2007-10-24,0.38,0.37,,44.5,44.22,42.05,42.1
2007-07-26,0.42,0.4,,37.4,36.61,41.02,40.64
2007-04-25,0.33,0.31,AMC,39.71,40.06,38.62,39.24
2007-02-21,0.23,0.21,AMC,36.06,36.22,39.0,38.75
2006-10-25,0.32,0.3,AMC,34.14,33.99,32.2,32.96
2006-07-26,0.35,0.32,,31.63,30.91,34.69,34.96
2006-04-26,0.27,0.24,,27.13,26.94,30.55,31.09
2006-02-21,0.2,0.19,AMC,29.11,29.26,27.9,27.73
2005-10-25,0.26,0.24,AMC,23.85,23.79,25.95,25.61
2005-07-26,0.27,0.26,AMC,23.7,23.63,23.45,24.03
2005-04-26,0.21,0.19,AMC,21.48,21.5,23.49,23.68
2005-02-24,,,AMC,19.0,19.23,20.39,20.08
2004-10-26,,,AMC,21.3,21.25,22.06,22.29
2004-07-27,,,AMC,21.25,21.9,20.53,20.7
2004-04-27,,,AMC,19.5,19.375,19.785,20.205
2004-02-24,,,AMC,15.2,15.245,15.595,15.7
2003-10-22,,,AMC,13.0,12.58,13.735,13.765
2003-07-23,,,AMC,10.02,9.875,10.55,10.78
2003-04-24,,,AMC,8.26,8.2,8.38,8.5
2003-02-20,,,,7.48,7.525,7.815,7.845
2002-10-24,,,AMC,6.75,7.095,7.53,7.195
2002-07-25,,,AMC,7.245,6.955,6.925,6.91
