Earning Date,EPS-a,EPS-e,Time,PPrev Close,Prev Close,Next Close,NNext Close
2015-05-01,,-0.4,BMO,10.95,10.95,13.7,15.94
2015-02-26,,0.02,BMO,15.09832,13.93,14.65,15.09
2014-11-06,0.15,0.34,BMO,19.73865,20.09771,18.60161,18.40213
2014-08-07,0.32,0.46,BMO,23.44885,24.21619,22.92068,22.93064
2014-04-30,0.25,0.4,BMO,25.95798,25.89824,26.24673,25.0718
2014-02-27,-0.12,0.13,BMO,26.69515,27.17274,26.57532,27.39179
2013-10-31,0.12,0.39,BMO,30.88093,30.48324,27.21221,26.13843
2013-08-09,0.23,0.37,BMO,27.01291,25.86046,28.27464,28.4932
2013-05-03,,,BMO,19.70547,19.6062,22.15748,22.27661
2013-02-21,,,BMO,21.42128,20.31055,19.32874,20.09237
2012-11-08,,,BMO,18.71389,18.34734,17.33685,17.85201
2012-08-09,,,BMO,16.40461,16.53323,16.71133,16.65197
2012-05-03,,,BMO,20.97107,20.64494,19.91362,19.41949
2012-02-23,,,BMO,25.16986,24.43916,24.1528,23.48134
2011-11-04,,,BMO,20.27277,21.53551,22.31485,21.7624
2011-08-04,,,BMO,25.26914,24.86507,22.50964,22.2534
2011-05-06,,,,27.25131,27.34979,29.23089,29.10286
2011-02-24,,,,27.65447,26.79827,26.91645,26.48311
2010-11-04,,,,22.06392,23.62727,22.47688,22.5162
2010-08-05,,,,25.48245,24.55903,24.17591,23.63561
2010-04-29,,,BMO,31.6966,31.96164,31.78494,31.19597
2010-02-25,,,BMO,31.69676,31.96164,29.02658,27.15168
2009-10-29,,,BMO,27.72365,25.97867,26.74332,24.80227
2009-07-30,,,BMO,22.85424,21.43381,24.49998,24.98979
2009-04-29,,,BMO,19.18741,19.45159,17.05439,17.94478
2009-02-12,,,,17.00953,15.86906,16.3272,14.97228
2008-10-30,,,,19.8422,21.70787,22.21316,21.54268
2008-07-31,,,,56.28864,48.28403,49.01518,46.59386
2008-04-30,,,BMO,46.84913,47.54186,48.58569,47.81705
2008-02-21,,,,37.2205,36.71803,37.52388,40.35855
2007-11-01,,,,24.63873,23.20944,22.98227,22.81189
2007-08-03,,,,25.6471,23.19012,23.65317,23.96501
2007-04-27,,,,30.60912,32.04422,31.42109,30.8074
2007-02-15,,,,27.06885,26.61613,27.28578,27.07828
2006-11-01,,,,23.26084,24.6269,24.51385,23.62826
2006-08-03,,,,31.48618,29.22775,29.07719,29.38773
2006-04-27,,,,34.05215,29.62406,29.62406,30.80864
2006-02-15,,,,27.56285,25.52498,27.36563,26.53922
2005-10-27,,,,14.81914,14.88488,15.14783,16.69736
2005-07-28,,,,14.80036,15.06331,15.02574,14.93183
2005-04-28,,,,14.89427,13.81429,13.73916,13.51378
2005-02-22,,,,23.99423,21.85307,23.41199,24.27596
2004-10-19,,,,17.56134,15.96485,16.19024,16.4438
2004-07-29,,,BMO,17.32656,18.19054,20.9703,22.08784
2004-04-29,,,BMO,12.25537,11.13783,11.22235,11.26931
2004-02-12,,,BMO,7.52226,7.51287,8.26416,8.25477
2003-10-30,,,BMO,4.57346,4.64859,4.73311,4.80824
2003-07-31,,,BMO,3.74704,3.75644,3.78461,3.70948
2003-05-08,,,BMO,3.14601,3.2681,3.28688,3.38079
2003-03-27,,,BMO,3.14601,3.19297,3.34323,3.28688
2002-10-31,,,BMO,2.99576,2.82672,2.80794,2.86428
2002-08-01,,,BMO,4.56407,4.78946,4.7425,4.55468
2002-04-25,,,,4.78946,4.88337,4.8458,5.02423
2002-02-14,,,,3.88791,3.75644,3.75644,3.72826
2001-10-25,,,,3.67192,3.33384,3.17419,3.14601
2001-07-26,,,,3.52166,3.32445,3.55922,3.63435
2001-04-26,,,,2.53559,2.53559,2.35716,2.39473
2001-02-02,,,BMO,2.113,2.113,2.34777,2.17169
2000-10-19,,,BMO,2.23038,2.28908,2.23038,2.23038
2000-07-27,,,BMO,3.16949,3.28688,3.28688,3.34558
2000-04-26,,,BMO,3.87382,4.04991,4.69554,4.57816
2000-02-03,,,,4.46077,4.46077,4.46077,4.34338
