EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150330,BMO,20150330,32.76826,32.85803,31.38171,30.62361
20141218,AMC,20141219,28.07528,29.0602,27.16,27.33908
20140923,AMC,20140924,27.70062,27.77004,24.50706,24.96328
20140715,AMC,20140716,25.7957,25.3605,27.71455,27.13099
20140320,AMC,20140321,30.30908,30.49648,28.06032,28.32662
20131219,AMC,20131220,30.06176,29.89453,28.7436,28.51735
20130924,AMC,20130925,29.02927,29.36283,26.64532,27.36148
20130725,AMC,20130726,25.09035,24.9481,24.92848,24.49682
20130319,AMC,20130320,17.63002,17.51314,19.05211,18.34107
20121218,AMC,20121219,15.6038,16.24425,18.40821,17.94242
20120919,AMC,20120920,16.48918,16.58578,15.57151,16.10279
20120717,AMC,20120718,12.39184,12.1709,13.5926,13.44851
20120320,AMC,20120321,21.68178,21.20378,19.15797,18.64174
20111215,AMC,20111216,16.34617,16.67005,17.73693,17.52736
20110915,AMC,20110916,21.06589,21.48323,19.46295,19.10253
20110706,AMC,20110707,26.80512,27.12682,28.47985,28.78262
20110315,AMC,20110316,25.09279,24.67772,24.57396,24.65886
20101215,AMC,20101216,25.31919,25.27203,26.6493,26.44177
20100915,AMC,20100916,16.55558,16.65935,17.64985,17.59325
20100713,AMC,20100714,16.29145,16.89518,16.20655,16.05561
20100316,AMC,20100317,23.99852,24.18719,23.51742,23.30988
20091215,AMC,20091216,19.84783,19.8384,23.44195,22.32881
20090922,AMC,20090923,17.55552,17.91399,19.87613,19.31013
20090714,AMC,20090715,14.2444,14.64061,16.93292,17.04612
20090317,AMC,20090318,11.08422,10.60312,12.00869,11.62192
20081216,AMC,20081217,14.52741,14.14064,15.31038,15.64054
20080916,AMC,20080917,14.90474,14.78211,15.31981,17.12159
20080709,AMC,20080710,13.40483,13.61237,13.35767,13.23503
20080318,AMC,20080319,22.42315,24.19662,24.86639,25.12109
20071218,AMC,20071219,30.03588,30.30945,32.85646,33.70547
20070919,BMO,20070919,29.07368,31.36599,28.30957,28.01714
20070711,BMO,20070711,32.59233,32.09236,31.79049,32.61119
20070321,BMO,20070321,30.16795,30.85659,28.11147,28.35674
20061220,BMO,20061220,25.26259,25.37579,25.70596,26.80967
20060920,BMO,20060920,21.95148,21.90431,23.55515,23.54572
20060712,BMO,20060712,21.39491,22.21561,23.74382,22.57408
20060322,BMO,20060322,25.86633,26.3663,26.30026,25.73426
20051222,BMO,20051222,20.95154,21.46094,22.14958,22.20618
20050921,BMO,20050921,16.05561,15.96128,15.15001,15.80091
20050713,BMO,20050713,15.57451,15.37641,15.33868,15.70658
20050316,BMO,20050316,11.94266,12.16906,13.07467,13.91424
20041217,BMO,20041217,13.17843,12.92373,13.18787,13.40483
20040922,BMO,20040922,11.94266,12.45206,12.13133,11.90493
20040629,BMO,20040629,9.57488,9.76355,10.56539,10.70689
20040317,BMO,20040317,10.81065,10.96159,11.72569,11.71626
20031218,BMO,20031218,11.31062,11.61249,11.88606,11.57476
20030917,BMO,20030917,8.20704,8.54664,8.72588,8.65984
20030703,BMO,20030703,6.71657,6.9241,6.6128,5.94303
20030327,BMO,20030327,3.82052,3.60355,3.80165,3.71675
20021219,BMO,20021219,4.95252,4.63179,4.75442,4.71669
20020926,BMO,20020926,3.94315,4.19785,4.62236,4.45256
20020627,BMO,20020627,8.98094,8.60477,8.83987,9.5922
20020320,BMO,20020320,9.24428,9.4789,9.57275,9.43198
20011220,BMO,20011220,8.50526,8.19648,8.28069,8.51461
20010920,BMO,20010920,10.03732,8.53545,7.22948,6.99627
20010628,BMO,20010628,14.19413,14.05497,14.2869,15.86403
20010320,BMO,20010320,11.28313,11.83577,11.69761,10.98839
20001220,BMO,20001220,10.64415,10.47247,9.44239,10.41524
20000920,NaN,20000921,10.89583,11.00933,10.61208,10.44184
20000628,BMO,20000628,12.3391,11.9447,10.59247,10.7615
20000315,BMO,20000315,18.54723,19.21964,20.62049,20.67652
19991216,BMO,19991216,15.84077,14.66944,14.16745,14.11167
19990915,NaN,19990916,19.09004,19.42301,18.81257,18.59059
