EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150514,AMC,20150515,19.83129,19.76163,20.09995,20.09
20150211,AMC,20150212,24.05966,24.03984,23.92093,24.00054
20141113,AMC,20141114,22.18677,22.31502,22.51232,22.1769
20140814,AMC,20140815,20.59365,20.77042,22.07656,21.70337
20140515,AMC,20140516,18.51741,18.26335,19.74865,19.66071
20140212,AMC,20140213,17.28205,17.40841,18.34152,18.52718
20131114,AMC,20131115,17.07374,16.96745,16.9288,16.36838
20130815,AMC,20130816,15.10146,14.70784,14.99586,14.92865
20130516,AMC,20130517,14.11333,13.97982,14.2659,14.21822
20130213,AMC,20130214,12.94181,13.04603,13.15972,13.10251
20121115,AMC,20121116,9.72828,9.67194,9.53109,9.81531
20120815,AMC,20120816,10.91329,10.99716,11.16492,11.18356
20120517,AMC,20120518,9.85085,9.68451,9.57362,9.85085
20120216,NaN,20120217,11.84741,12.13211,11.93006,11.74524
20111116,AMC,20111117,11.52592,11.37091,10.51376,10.2402
20110824,AMC,20110825,10.35624,10.28381,9.78592,10.01224
20110524,AMC,20110525,12.41039,12.3384,12.47339,12.2754
20110224,NaN,20110225,14.01419,14.18444,14.44429,14.78628
20101117,AMC,20101118,11.10238,11.0311,11.27168,11.16476
20100818,AMC,20100819,10.08491,10.07605,10.05835,9.81928
20100519,AMC,20100520,11.39426,11.4647,11.17412,11.20054
20100217,AMC,20100218,11.34833,11.38338,11.11172,10.95398
20091111,AMC,20091112,11.39214,11.61122,11.2344,11.14677
20090811,AMC,20090812,11.74689,11.52888,11.91259,12.18293
20090512,AMC,20090513,10.17543,9.96706,9.54164,9.60241
20090210,AMC,20090211,8.75882,8.37011,8.43922,8.13689
20090202,BMO,20090202,8.2436,8.04609,8.08044,8.22642
20081112,NaN,20081113,9.14524,8.54414,9.76351,8.78458
20080812,AMC,20080813,15.76758,15.77612,16.51069,16.33132
20080513,AMC,20080514,16.86586,16.90843,16.94248,16.72112
20080212,NaN,20080213,15.64357,15.338,16.89981,16.28867
20071114,AMC,20071115,15.7451,15.91431,15.96507,15.69434
20070814,NaN,20070815,18.28238,17.91134,17.16925,17.14395
20070515,NaN,20070516,17.17232,16.63411,16.12113,15.92771
20070213,NaN,20070214,14.9587,15.24379,15.83912,16.00682
20061115,NaN,20061116,15.46875,15.59418,15.03396,15.15102
20060815,NaN,20060816,12.79943,13.08293,13.09961,13.183
20060516,NaN,20060517,14.71103,14.8357,14.07106,13.94639
20060504,BMO,20060504,14.66131,14.96796,15.37406,15.78846
20060215,NaN,20060216,16.7913,16.95705,16.54266,16.34375
20060127,BMO,20060127,15.69841,16.32734,16.34389,16.20321
20051116,AMC,20051117,14.68053,14.70536,14.34952,14.26677
20051020,BMO,20051020,14.23462,14.12722,14.0446,13.98677
20050816,AMC,20050817,14.57334,14.18505,15.05251,14.9699
20050517,AMC,20050518,13.25342,13.22868,13.1462,12.96476
20050421,BMO,20050421,12.34799,12.15042,12.45501,12.31506
20050215,NaN,20050216,14.10141,14.39776,14.40599,14.26605
20050120,BMO,20050120,13.60749,13.17942,13.0971,12.83368
20050114,AMC,20050118,13.37699,13.60749,13.60749,13.17942
20041117,NaN,20041118,13.79682,14.27428,14.52947,13.98616
20041021,BMO,20041021,13.08064,13.26997,13.484,13.13826
20041013,AMC,20041014,13.3029,13.49224,12.92423,12.92423
20040817,AMC,20040818,12.87484,13.22881,13.3029,13.07241
20040721,NaN,20040722,14.20842,13.68157,13.93677,13.46754
20040708,AMC,20040709,14.95753,15.1304,15.3609,14.96576
20040518,NaN,20040519,15.18803,15.51731,15.34444,15.05632
20040421,NaN,20040422,16.64509,16.65332,16.24172,16.44752
20040407,AMC,20040408,18.38204,18.2421,18.53845,18.80187
20040218,NaN,20040219,18.061,18.36558,18.2174,17.90459
20040121,NaN,20040122,20.0449,19.74855,19.38634,18.53845
20040107,AMC,20040108,19.69093,19.62507,19.98728,19.97082
20031112,NaN,20031113,20.49767,20.94219,20.36595,19.32872
20031022,NaN,20031023,18.00337,17.55884,16.99907,16.99907
