EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,129.64508,130.92828,126.50168,127.07863
20150128,AMC,20150129,127.76761,125.17284,127.02483,123.73681
20141028,AMC,20141029,116.8294,118.60403,122.01525,122.36031
20140729,AMC,20140730,119.19562,118.54813,121.10863,117.33166
20140428,AMC,20140429,101.03386,101.01434,106.90871,108.93856
20140204,AMC,20140205,98.54324,100.55353,100.4467,102.59296
20131029,AMC,20131030,95.56838,96.03217,97.38486,97.14331
20130724,AMC,20130725,83.25262,82.83958,84.14595,84.70308
20130422,AMC,20130423,68.83981,69.03055,70.23224,69.28806
20130130,AMC,20130131,63.83726,63.33521,62.82367,63.60992
20121024,AMC,20121025,53.69154,53.64454,55.4587,55.74069
20120725,AMC,20120726,45.25241,44.79494,47.39039,49.0429
20120423,AMC,20120424,49.57994,49.01411,48.65234,49.71907
20120201,AMC,20120202,49.41945,50.55457,46.49397,49.51174
20111026,AMC,20111027,38.60406,39.34768,44.55303,44.74582
20110727,AMC,20110728,49.47919,47.13044,49.15018,49.44263
20110425,AMC,20110426,57.83532,57.01586,55.43158,55.57726
20110202,AMC,20110203,57.11755,56.70905,52.81467,52.72389
20101027,AMC,20101028,45.74813,46.00143,48.33543,46.76133
20100728,AMC,20100729,34.89881,34.48441,38.7184,38.18689
20100426,AMC,20100427,44.01333,43.52878,40.31639,41.69825
20100203,AMC,20100204,35.71389,35.00819,33.60571,33.88264
20091021,AMC,20091022,31.71893,31.55002,33.99472,32.95461
20090723,AMC,20090724,22.07361,23.1159,22.76258,24.04336
20090421,AMC,20090422,20.86037,21.23774,22.24697,22.96659
20090128,AMC,20090129,17.82641,19.25391,18.48794,17.53917
20081029,AMC,20081030,20.59204,18.82923,16.41833,18.66505
20080723,AMC,20080724,34.99873,34.86961,35.82507,35.45494
20080422,AMC,20080423,44.10266,43.15025,40.37024,41.05666
20080124,AMC,20080125,42.76373,42.97763,42.44715,44.03004
20071024,AMC,20071025,55.83261,56.1655,54.01448,54.45834
20070725,NaN,20070726,52.63358,52.24193,51.32242,49.17689
20070424,AMC,20070425,51.43969,50.82822,51.97472,52.05116
20070125,AMC,20070126,49.8942,48.69897,49.57208,48.76678
20061024,AMC,20061025,41.90184,41.95259,43.04369,43.09444
20060725,AMC,20060726,35.61604,36.09699,37.40485,36.9239
20060425,AMC,20060426,39.49213,39.75311,41.04117,42.09351
20060126,AMC,20060127,36.2809,36.35647,35.6008,34.8871
20051024,BMO,20051024,28.11033,28.46191,30.37891,31.12394
